,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,13983000,9397000,None,13983000,4586000,3450000,None,None,4586000,None,9397000,None,4586000,671000,2414000,1136000,17638000,15224000,None,None,None,1136000,None,None,3450000,3450000,None,USD,2093756000,1810000,287220000,29456000,1904314000,189442000,None,1670364000,59000,89781000,126801000,10835000,1649975000,116965000,1689881000,5000000,131801000,3915000,20972000,153194000,1839118000,178607000,234982000,6773000,79336000,None,14517000,None,None,59000,None,89781000,None,None,62642000,None,6565000,8296000,79336000,135097000,214433000,None,None,None,95687000,2093756000,116965000,None,None,USD,-148378000,502000,-146862000,1578000,104784000,261851000,157775000,360000,3450000,120579000,5590000,101000,600000,-708000,0,None,-1696000,2633000,62000,-1696000,None,120579000,24.4,
1,2020-03-31,USD,12374000,9683000,None,12374000,2691000,2748000,None,None,2691000,None,9683000,None,2691000,745000,3686000,-57000,18039000,14353000,None,None,None,-57000,None,None,2748000,2748000,None,USD,1826621000,1961000,235111000,None,1641354000,185267000,None,1512589000,59000,87070000,None,10835000,1521809000,25842000,1553604000,27000000,27000000,2557000,21735000,30919000,1691250000,174432000,214163000,5077000,79353000,None,14015000,None,None,59000,None,87070000,None,None,65461000,None,6421000,8397000,79353000,8397000,87750000,None,None,None,95581000,1826621000,25842000,None,6000000,USD,-41299000,-1325000,-40645000,700000,25983000,26033000,752000,2011000,2748000,-6627000,7985000,3438000,350000,-702000,0,None,-58000,2832000,46000,-58000,None,-6627000,22.1,24.4
2,2019-12-31,USD,15121000,9488000,None,15121000,5632000,4075000,None,None,5633000,None,9488000,-1000,5633000,1066000,4566000,1558000,18279000,13713000,None,None,None,-9772000,-372000,None,15405000,4075000,None,USD,1797536000,2118000,223916000,11449000,1616042000,181494000,None,1511837000,59000,85059000,None,10835000,1492336000,32469000,1532177000,5000000,5000000,902000,22092000,245675000,1445109000,170659000,208187000,5019000,75370000,7773000,15340000,None,None,59000,None,85059000,None,None,67657000,None,6168000,8495000,75370000,8500000,83870000,None,None,None,95474000,1797536000,240656000,None,6000000,USD,-27197000,971000,-24804000,2588000,-25051000,-63017000,-47968000,-1597000,4075000,-84222000,3599000,-2373000,388000,-664000,10632000,None,194000,344000,195000,194000,None,-84222000,35.57,22.1
3,2019-09-30,USD,14314000,9224000,None,14314000,5090000,3693000,None,None,5090000,None,9224000,None,5090000,896000,4734000,1397000,18259000,13525000,None,None,None,1397000,-434000,None,3693000,3693000,None,USD,1855732000,2281000,308094000,42205000,1688323000,167409000,None,1559960000,56000,81682000,None,10835000,1450350000,74486000,1589329000,15000000,15000000,958000,22320000,253192000,1405856000,156574000,131288000,5213000,90387000,10195000,14369000,None,None,56000,None,81682000,None,None,157529000,None,5979000,8607000,90387000,8600000,98987000,None,None,None,84713000,1855732000,205774000,None,6000000,USD,-22562000,1208000,-22709000,-1275000,29984000,94838000,65517000,1828000,3693000,78345000,6216000,892000,234000,-663000,0,None,218000,-29000,147000,218000,None,78345000,33.47,35.57
4,2019-06-30,USD,14137000,9116000,None,14137000,5021000,3627000,None,None,5021000,None,9116000,None,5021000,926000,4859000,1394000,18118000,13259000,None,None,None,1394000,-767000,None,3627000,3627000,None,USD,1756448000,2450000,245369000,8350000,1592803000,163645000,None,1494442000,56000,78689000,None,10835000,5915000,29996000,1517603000,10000000,10000000,287000,22575000,173977000,1377631000,152810000,130200000,5431000,65403000,10742000,13161000,None,None,56000,None,78689000,None,None,165503000,None,5915000,9797000,65403000,9797000,75200000,None,None,None,84613000,1756448000,160196000,None,6000000,USD,-23369000,-40000,-23142000,278000,-15016000,39589000,55275000,-1628000,3627000,18638000,2191000,-1721000,437000,-670000,0,None,-100000,-12000,51000,-100000,None,18638000,33.73,33.47
5,2019-03-31,USD,13598000,8405000,None,13598000,5193000,3877000,None,None,5193000,None,8405000,None,5193000,771000,4760000,1316000,17797000,13037000,None,None,None,1316000,-412000,None,3877000,3877000,None,USD,1711947000,2625000,235486000,5331000,1552867000,159080000,None,1439167000,56000,75757000,None,10835000,1397044000,19708000,1487368000,35000000,35000000,-1230000,22922000,153439000,1353591000,148245000,128400000,5331000,55419000,10949000,13201000,None,None,56000,None,75757000,None,None,164928000,None,6232000,10080000,55419000,10080000,65499000,None,None,None,84497000,1711947000,148108000,None,6000000,USD,-25438000,-1479000,-25807000,46000,-17000,8795000,9500000,-649000,3877000,-13328000,3684000,889000,474000,-671000,-17000,None,-374000,297000,415000,-374000,None,-13328000,28.37,33.73
6,2018-12-31,USD,13434000,8249000,4682000,13434000,5185000,3814000,0,0,5185000,0,8249000,None,5185000,718000,4217000,None,None,None,0,0,0,1371000,-491000,0,3814000,3814000,None,USD,1689227000,2824000,None,5700000,1534745000,154482000,None,1429629000,56000,72594000,14680000,10835000,1381837000,27336000,1479309000,35000000,None,-2565000,22922000,157969000,1337129000,143647000,119976000,4957000,55436000,8111000,14680000,None,None,56000,None,72594000,None,None,153679000,None,6693000,None,55436000,None,55436000,None,None,None,84397000,1689227000,147312000,None,6000000,USD,-50621000,1243000,-51681000,-149000,29984000,6798000,-22643000,1751000,3814000,-38559000,6324000,889000,343000,-540000,-3000,None,None,-35000,911000,70000,None,-38559000,29.24,28.37
7,2018-09-30,USD,13791000,8492000,3763000,13791000,5299000,3858000,0,0,5299000,0,8492000,None,5299000,779000,3723000,None,None,None,0,0,0,1441000,-554000,0,3858000,3858000,None,USD,1676409000,2993000,None,36099000,1526261000,150148000,0,1452371000,56000,69295000,13439000,10708000,1343107000,35496000,1470810000,5000000,None,-3449000,22433000,184589000,1297915000,139440000,107962000,5032000,55451000,8207000,13439000,0,0,56000,0,69295000,0,None,153765000,None,6999000,None,55451000,None,55451000,None,None,None,84246000,1676409000,143458000,None,6000000,USD,-41474000,231000,-41365000,495000,-41516000,86392000,128445000,2105000,3858000,51210000,6183000,1748000,873000,-537000,0,0,0,-280000,386000,-247000,None,51210000,33.43,29.24
8,2018-06-30,USD,12904000,9741000,3743000,12904000,3163000,2335000,0,0,3163000,0,9741000,None,3163000,891000,3343000,None,None,None,0,-2868000,0,828000,-1282000,0,2335000,2335000,None,USD,1586288000,3186000,None,5386000,1439042000,147246000,0,1323868000,56000,66021000,13207000,10603000,1327156000,20385000,1373575000,36500000,101967000,-2937000,22472000,104197000,1280812000,136643000,79026000,4786000,65467000,8305000,13207000,0,0,56000,0,66021000,0,None,161580000,None,6624000,None,65467000,None,65467000,None,None,None,84106000,1586288000,99411000,None,6000000,USD,9502000,-213000,-23413000,-32521000,-30016000,7311000,37934000,-1790000,2335000,-14070000,2032000,-1405000,688000,-543000,-64000,0,143000,671000,394000,-44000,None,-14070000,35.36,33.43
9,2018-03-31,USD,13421000,11667000,3503000,13421000,1754000,1221000,0,0,1754000,0,11667000,None,1754000,937000,3003000,None,None,None,0,2868000,0,533000,-3385000,0,1221000,1221000,None,USD,1576996000,13662000,None,730000,1431339000,145657000,0,1285936000,56000,64307000,13420000,10277000,238050000,33725000,1350856000,51500000,131983000,-2653000,22496000,110228000,1270302000,135380000,71024000,4749000,80483000,11693000,13420000,0,0,56000,0,64307000,0,None,163693000,None,1466768000,None,80483000,None,80483000,None,None,None,83947000,1576996000,104749000,None,6000000,USD,13149000,99000,80269000,67206000,-46016000,-66092000,-19530000,2502000,1221000,19038000,4861000,2342000,678000,-543000,-3000,0,187000,334000,86000,187000,None,19038000,37.22,35.36
