,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,35120000,43083000,10208000,24912000,-7243000,-13850000,1105000,None,-7927000,None,31770000,None,-7963000,None,None,5923000,None,None,None,None,None,5923000,36000,None,-13850000,-13850000,None,USD,141530000,1674000,None,None,38145000,103385000,None,2578000,19000,5519000,2861000,None,13145000,31341000,20486000,None,None,29000,22135000,104576000,None,101711000,14702000,30552000,None,24826000,5686000,None,None,None,None,None,None,None,2519000,None,36954000,16306000,None,None,17659000,None,None,None,None,None,None,None,None,USD,6125000,-3139000,6125000,None,None,1808000,None,-2433000,-13850000,-956000,-8889000,None,720000,None,None,-2641000,229000,9718000,375000,None,None,None,41.43,
1,2020-03-31,USD,43675000,48126000,12602000,31073000,-3721000,-1307000,1684000,None,-4185000,None,33840000,None,-4451000,None,None,-2878000,None,None,None,None,None,-2878000,266000,None,-1307000,-1307000,None,USD,155519000,5206000,None,None,42479000,113040000,None,1073000,19000,19369000,2912000,None,15369000,32297000,24721000,None,None,38000,22623000,112321000,None,107834000,21419000,30781000,None,22363000,8739000,None,None,None,None,None,None,None,2239000,None,43198000,16431000,None,None,17758000,None,None,None,93614000,None,53716000,None,19000000,USD,9606000,4741000,9606000,10000000,None,-988000,-1160000,-2125000,-1307000,9527000,909000,None,730000,None,172000,-3304000,2663000,3664000,394000,None,None,None,40.16,41.43
2,2019-12-31,USD,57063000,51014000,15963000,41100000,7004000,4283000,1192000,None,6200000,None,33859000,None,6049000,None,None,1917000,None,None,None,None,None,1917000,151000,None,4283000,4283000,None,USD,151752000,5312000,None,None,39157000,112595000,None,903000,19000,20676000,2595000,None,14162000,22770000,21428000,None,None,26000,23293000,108335000,650000,107283000,30611000,33444000,None,19059000,3843000,None,None,None,None,None,None,None,1658000,None,43417000,16588000,None,None,17729000,None,None,None,91874000,None,53381000,None,20000000,USD,954000,-2368000,954000,3653000,None,1913000,-3391000,-2490000,4283000,2956000,89000,None,955000,None,5887000,-2177000,-5763000,3170000,1558000,None,None,None,67.51,40.16
3,2019-09-30,USD,49612000,46409000,14239000,35373000,3953000,2431000,1467000,None,3363000,None,30703000,None,3203000,None,None,932000,None,None,None,None,None,932000,160000,None,2431000,2431000,None,USD,143775000,5074000,None,None,39808000,103967000,None,817000,19000,16393000,2281000,None,13270000,19814000,24128000,None,None,31000,22703000,102728000,None,98893000,32548000,27681000,None,16882000,6289000,None,None,None,None,None,None,None,1405000,None,41047000,15389000,None,None,15680000,None,None,None,87524000,None,52362000,None,20000000,USD,-7003000,-658000,-7003000,1141000,None,207000,-3107000,2429000,2431000,-5226000,1570000,None,750000,None,3690000,-3717000,-2923000,3851000,2573000,None,None,None,42.32,67.51
4,2019-06-30,USD,45200000,42152000,13695000,31505000,3885000,2785000,1234000,None,3207000,None,27223000,None,3048000,None,None,422000,None,None,None,None,None,422000,159000,None,2785000,2785000,None,USD,121836000,5157000,None,None,22828000,99008000,None,810000,19000,13962000,2097000,None,14324000,25040000,18658000,None,None,40000,8276000,94079000,None,93851000,26293000,24758000,None,13165000,6855000,None,None,None,None,None,None,None,1358000,None,27757000,3364000,None,None,4170000,None,None,None,84987000,None,51333000,None,20000000,USD,-11000,915000,-11000,5571000,None,1925000,-3018000,-2576000,2785000,1492000,-422000,None,837000,None,3394000,-1844000,-3097000,2986000,1082000,None,None,None,56.92,42.32
5,2019-03-31,USD,37617000,39419000,19308000,18309000,-806000,1472000,1281000,None,-1641000,None,18830000,None,-1802000,None,None,-3113000,None,None,None,None,None,-3113000,161000,None,1472000,1472000,None,USD,113517000,5244000,None,None,21518000,91999000,None,803000,19000,11177000,1896000,None,12319000,23548000,17304000,1147000,1147000,15000,8012000,85770000,None,86755000,24746000,21661000,2318000,11321000,5832000,None,None,None,None,None,None,None,1242000,None,27747000,3465000,None,2318000,4214000,None,None,None,80788000,None,48294000,None,20000000,USD,3725000,722000,3725000,4500000,None,-1549000,-2410000,-3945000,1472000,3449000,1273000,None,996000,None,861000,-132000,2671000,519000,775000,None,None,None,52.72,56.92
6,2018-12-31,USD,46448000,42512000,14433000,32015000,3936000,2355000,1340000,0,2271000,0,26739000,None,3936000,0,0,None,None,None,0,0,0,-84000,-1665000,0,2355000,2355000,None,USD,107071000,5339000,None,None,17801000,89270000,None,2136000,19000,9705000,1725000,None,11311000,20099000,16076000,None,None,-8000,4810000,84961000,650000,83931000,25786000,26125000,None,11189000,5110000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,79554000,None,45885000,None,19000000,USD,-3388000,1198000,-9498000,-5180000,None,1138000,-2379000,-602000,2355000,-3037000,5323000,None,1161000,None,4229000,3009000,-3739000,-314000,1812000,None,None,None,45.55,52.72
7,2018-09-30,USD,36322000,34952000,10141000,26181000,1370000,1746000,1223000,0,1498000,0,23588000,None,1370000,0,0,None,None,None,0,0,0,-248000,128000,0,1746000,1746000,None,USD,101735000,3035000,None,2370000,18317000,83418000,0,3131000,18000,7350000,1560000,0,5435000,23136000,16757000,None,None,-31000,4063000,89202000,None,80383000,22800000,25977000,0,14919000,3929000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20000000,USD,1052000,-817000,217000,0,None,516000,None,2534000,1746000,5816000,5083000,None,787000,0,0,1518000,-2814000,1133000,684000,None,None,None,71.05,45.55
8,2018-06-30,USD,34133000,32822000,9610000,24523000,1311000,2572000,1289000,0,1443000,0,21923000,None,1311000,0,0,None,None,None,0,0,0,-1129000,132000,0,2572000,2572000,None,USD,92733000,2984000,None,947000,13964000,78769000,0,1233000,18000,5604000,1437000,0,4497000,17320000,12527000,None,None,-38000,4012000,81240000,None,75785000,23802000,22734000,0,16437000,4649000,0,0,0,0,0,-493000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19000000,USD,-7844000,-576000,-10013000,0,None,1246000,None,2133000,2572000,-7993000,774000,None,1224000,0,0,-1781000,-3768000,2228000,1268000,None,None,None,52.0,71.05
9,2018-03-31,USD,26848000,28675000,7309000,19539000,-1827000,-50000,1437000,0,-1736000,0,19929000,None,-1827000,0,0,None,None,None,0,0,0,-1686000,91000,0,-50000,-50000,None,USD,87073000,2157000,None,1116000,13911000,73162000,0,1536000,18000,3032000,1172000,0,5835000,25313000,12739000,None,None,-50000,3912000,75169000,None,71005000,15928000,18156000,0,14656000,5234000,0,0,0,0,0,-493000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,5000000,885000,4568000,0,None,-1050000,-1188000,-2922000,-50000,1345000,-2173000,None,463000,0,0,-3616000,3612000,1283000,432000,None,None,None,31.8,52.0
