,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,6329000,118763000,2409000,3920000,-117651000,-128846000,9123000,None,-128846000,None,22726000,-2808000,-114843000,4995000,11195000,None,None,None,None,81919000,None,None,None,None,-128846000,-128846000,None,USD,315900000,None,None,13131000,239987000,75913000,123032000,None,2627000,-775206000,1120000,None,133966000,88314000,106523000,33892000,None,None,79173000,102761000,None,75852000,None,1316000,106144000,None,72631000,None,None,2627000,61000,-775206000,None,None,213139000,None,213139000,None,106144000,27320000,133464000,None,None,None,848431000,315900000,88314000,None,284292876,USD,None,3514000,-117000,-117000,37013000,59974000,245000,262000,-128846000,32759000,-27098000,5641000,12094000,None,22716000,None,None,84013000,0,None,None,32759000,1.15,
1,2020-03-31,USD,8217000,39759000,2879000,5338000,-34338000,-40734000,11183000,None,-40734000,None,17239000,83000,-34421000,5832000,6396000,0,-6396000,-6396000,None,5505000,None,None,-5422000,None,-40734000,-40734000,None,USD,364299000,None,None,11340000,217655000,146644000,122132000,4499000,2344000,-646360000,2538000,None,134021000,55452000,64409000,None,None,None,162170000,68108000,None,146583000,2362000,1316000,128589000,None,64409000,None,None,2344000,61000,-646360000,None,None,296191000,None,296191000,3755000,128589000,24657000,153246000,None,None,None,790599000,364299000,55452000,None,255462543,USD,-269000,3280000,-269000,-269000,-2000000,11303000,-2021000,4100000,-40734000,-9460000,-20494000,9874000,9063000,None,13324000,None,1811000,1303000,269000,None,None,-9460000,0.9039,1.15
2,2019-12-31,USD,9137000,41988000,8935000,202000,-26393000,-37541000,13391000,None,-37541000,None,19662000,None,-32851000,None,None,0,-6290000,-6290000,None,None,None,None,1600000,None,-37541000,-37541000,None,USD,382322000,None,None,126000,216037000,166285000,119263000,2726000,2211000,-605626000,2431000,None,131215000,64615000,132579000,None,None,None,168872000,82235000,None,166224000,5069000,5006000,58121000,None,21048000,None,None,None,None,None,None,None,20470000,None,300087000,3729000,66621000,25337000,83458000,None,None,None,769639000,None,64615000,None,219000000,USD,1676000,3281000,1676000,-63211000,-2224000,-2224000,-21000,-2485000,-37541000,-26875000,-26327000,None,20446000,None,None,None,-134000,620000,308000,None,None,None,7.28,0.9039
3,2019-09-30,USD,9344000,47704000,9650000,-306000,-31353000,-39607000,15685000,None,-39607000,None,22369000,4832000,-38360000,23094000,6079000,0,-6079000,-6079000,None,None,None,None,4832000,None,-39607000,-39607000,None,USD,394107000,None,None,18570000,191155000,202952000,109335000,3554000,2210000,-568085000,1046000,None,121069000,91057000,115990000,75322000,75322000,None,162095000,110943000,None,202891000,498000,4872000,57853000,None,7334000,None,None,2210000,61000,-568085000,None,None,19750000,None,283164000,2217000,57853000,17312000,75165000,None,None,None,768766000,394107000,91057000,None,242214647,USD,-15963000,5569000,-15963000,-8406000,15000000,14954000,-46000,610000,-39607000,-26616000,-25607000,5555000,13988000,None,None,None,-1527000,-1646000,13713000,None,None,-26616000,8.315,7.28
4,2019-06-30,USD,5333000,47369000,5288000,5333000,-37094000,-40493000,18678000,None,-40493000,None,24643000,4942000,-42036000,22726000,3399000,0,-3399000,-3399000,None,None,None,None,4942000,None,-40493000,-40493000,None,USD,417355000,None,None,10589000,175699000,241656000,99429000,3133000,2210000,-528478000,914000,None,123247000,104005000,100287000,56651000,56651000,None,161279000,115910000,None,241595000,None,1316000,57584000,None,43636000,None,None,2210000,61000,-528478000,None,None,140166000,None,301445000,2178000,57584000,17828000,75412000,None,None,None,767863000,417355000,104005000,None,242214647,USD,-22788000,8413000,-22788000,-21421000,57800000,56509000,-1291000,802000,-40493000,5682000,-28039000,12864000,6415000,None,None,None,319000,-6825000,1367000,None,None,5682000,7.85,8.315
5,2019-03-31,USD,4959000,37571000,1112000,4959000,-33539000,-34126000,11875000,None,-34126000,None,23165000,-927000,-32612000,14406000,587000,0,-587000,-587000,None,None,None,None,-927000,None,-34126000,-34126000,None,USD,384012000,None,None,4625000,106401000,277611000,87838000,3532000,2209000,-487985000,1404000,None,121516000,88251000,30141000,2133000,2133000,None,147193000,97856000,None,277550000,None,4980000,57316000,None,30141000,None,None,2209000,61000,-487985000,None,None,63963000,None,75000000,2133000,57316000,18944000,76260000,None,None,None,763326000,384012000,88251000,None,241863897,USD,-28868000,205000,-28868000,-27502000,60000000,-5395000,-5395000,-1709000,-34126000,-67298000,-33035000,-3670000,3253000,None,None,None,-2166000,1508000,1366000,None,None,-67298000,11.2,7.85
6,2018-12-31,USD,3485000,33159000,11895000,3485000,-32166000,-31516000,0,0,-31516000,0,21463000,-880000,-31286000,13308000,-650000,None,None,None,0,0,0,0,-229000,0,-31516000,-31516000,None,USD,408548000,None,None,3906000,57844000,297934000,81585000,11386000,2195000,-453859000,796000,None,137534000,133714000,52770000,None,None,None,130580000,140434000,None,350643000,None,2814000,57048000,None,52770000,None,None,2195000,61000,-453859000,None,None,68534000,69000000,268114000,None,57048000,796000,57844000,None,None,None,749537000,408548000,133714000,None,240655607,USD,None,9703000,-16785000,-9745000,-442000,-443000,-1000,-8717000,-31516000,-46168000,-28940000,-71000,800000,None,133800000,None,-1057000,1847000,7040000,None,None,-46168000,6.95,11.2
7,2018-09-30,USD,799000,35183000,11727000,-10928000,-34305000,-33191000,0,0,-33381000,0,21160000,79000,-34384000,13224000,-924000,None,None,None,0,0,0,-190000,-1701000,0,-33191000,-33191000,None,USD,420909000,1190000,None,2438000,95756000,325153000,63270000,7082000,2193000,-422343000,670000,1190000,124209000,172317000,38306000,None,None,None,118999000,176511000,None,325095000,0,1756000,56780000,0,38306000,0,0,2193000,58000,-422343000,0,None,68849000,None,56550000,None,56780000,670000,57450000,None,None,None,745245000,420909000,172317000,None,240511126,USD,None,5937000,-1468000,13000,57221000,57152000,-69000,456000,-33191000,32911000,-22773000,11001000,315000,0,133800000,0,95000,-898000,1481000,None,None,32911000,8.97,6.95
8,2018-06-30,USD,813000,37471000,13112000,-12299000,-36036000,-35854000,0,0,-36036000,0,22425000,622000,-36658000,14233000,-289000,None,None,None,0,0,0,-182000,-1187000,0,-35854000,-35854000,None,USD,373538000,1190000,None,3160000,28484000,345054000,50820000,4436000,2193000,-389152000,659000,1190000,54036000,196846000,27825000,None,None,None,116437000,201875000,None,345011000,0,1869000,0,0,27825000,0,0,2193000,43000,-389152000,0,None,11126000,None,44100000,None,None,659000,659000,None,None,None,731970000,373538000,196846000,None,240522514,USD,None,3804000,-2705000,156000,59400000,115155000,-81000,-988000,-35854000,84359000,-28091000,4538000,342000,0,115236000,0,1722000,2883000,2861000,None,None,84359000,8.32,8.97
9,2018-03-31,USD,6801000,32193000,13415000,6801000,-25002000,-25184000,0,0,-25002000,0,22844000,390000,-25392000,9349000,-289000,None,None,None,0,0,0,182000,390000,0,-25184000,-25184000,None,USD,280014000,1190000,None,4670000,27792000,252222000,38369000,7354000,2072000,-353298000,649000,1190000,41963000,112487000,27143000,None,None,None,116041000,120820000,None,252194000,0,3663000,0,0,27143000,0,0,2072000,28000,-353298000,0,None,11503000,None,31650000,None,None,649000,649000,None,None,None,603420000,280014000,112487000,None,228421102,USD,None,3807000,-729000,-257000,59400000,8891000,-5583000,-2586000,-25184000,-15786000,-23948000,-435000,377000,0,14474000,0,-1656000,1294000,472000,None,None,-15786000,7.21,8.32
