,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,838661000,253524000,367188000,471473000,223334000,188908000,94102000,None,217291000,None,113259000,5385000,217949000,8941000,6043000,28383000,1368000,-4675000,None,37222000,None,28383000,-33205000,None,188908000,188908000,None,USD,3249189000,107563000,None,238176000,1504638000,1744551000,67631000,161013000,20725000,1610000,329038000,422003000,108881000,725431000,729713000,None,None,-8500000,353595000,2094007000,106968000,1214985000,229791000,694521000,402305000,206088000,568700000,None,None,20725000,None,1610000,None,None,85843000,None,79210000,63582000,402305000,304989000,774925000,None,None,None,1730716000,3249189000,955222000,None,165806,USD,-16246000,170226000,-63014000,546000,None,-26450000,-449000,-11098000,188907000,133433000,222897000,19709000,32560000,-16580000,-9421000,-19546000,-204261000,35302000,47314000,-204261000,-1496000,131937000,84.51,
1,2020-03-31,USD,704355000,198832000,298805000,405550000,202620000,176191000,85159000,None,197069000,None,111388000,-4098000,206718000,9891000,5551000,20878000,2751000,-2800000,None,-7606000,None,20878000,757000,None,176191000,176191000,None,USD,2820388000,114321000,None,227740000,1269715000,1550673000,62419000,119068000,20742000,-164323000,310960000,409933000,101994000,593494000,513961000,None,None,-27113000,332241000,1702578000,100513000,1026419000,211001000,487365000,398466000,182978000,394893000,None,None,20742000,None,-164323000,None,None,86309000,74493000,1117810000,65919000,398466000,294869000,755754000,None,None,None,1721367000,2820388000,804495000,None,165938000,USD,-73657000,-21307000,-110208000,149000,None,-113895000,-30922000,-40882000,176191000,-181001000,43102000,-40533000,31880000,-16686000,-66287000,15818000,-126779000,7832000,36700000,-126779000,571000,-180430000,54.17,84.51
2,2019-12-31,USD,654650000,211584000,271412000,383238000,154833000,125073000,86795000,None,148883000,None,117094000,-16821000,171654000,9783000,5950000,23810000,6144000,194000,None,-2088000,None,23810000,-20877000,None,125073000,125073000,None,USD,2787014000,125480000,None,188598000,1306856000,1480158000,60044000,133458000,20801000,-241918000,327291000,416431000,103974000,773924000,539029000,None,None,-18854000,320216000,1658884000,104490000,938247000,137303000,362368000,394687000,196691000,405571000,None,None,20801000,None,-241918000,None,None,86328000,75185000,1128130000,65325000,394687000,313096000,767827000,None,None,None,1720129000,2787014000,911227000,None,166410000,USD,206605000,44801000,110239000,-57772000,None,-146413000,-191000,-8977000,125073000,180154000,216328000,3868000,40026000,-15036000,-131186000,-13265000,-3651000,4476000,38594000,-3651000,-169000,179985000,68.19,54.17
3,2019-09-30,USD,582038000,433617000,237000000,345038000,186914000,135860000,77804000,None,151733000,None,109166000,2494000,148421000,-41000,5682000,15873000,5159000,-523000,None,-6500000,None,15873000,3835000,None,135860000,135860000,None,USD,2698791000,96573000,None,182013000,1216156000,1482635000,57982000,6297000,21061000,-226390000,284690000,370717000,108202000,593939000,493711000,None,None,-24221000,365162000,1654579000,103558000,1015345000,342538000,357886000,390942000,178203000,117936000,None,None,21061000,None,-226390000,None,None,22724000,69120000,1044212000,65199000,390942000,11783000,722445000,None,None,None,1712185000,2698791000,936477000,None,168490000,USD,22288000,47184000,22288000,2639000,None,-122723000,-8852000,-412000,135860000,98832000,199148000,12902000,29499000,-15250000,-121560000,-11696000,12689000,2275000,37092000,12689000,119000,98832000,57.91,68.19
4,2019-06-30,USD,564178000,440588000,240260000,323918000,166242000,97397000,81434000,None,131177000,None,108811000,2983000,123590000,10083000,5800000,33780000,5430000,-370000,None,-10404000,None,33780000,7957000,None,97397000,97397000,None,USD,2671514000,109494000,None,184832000,1192102000,1479412000,None,11753000,21305000,-222513000,291399000,383936000,110047000,495107000,467000000,18041000,18041000,-7591000,295895000,1616826000,99001000,985982000,400227000,372199000,387243000,164461000,103449000,None,None,21305000,None,-222513000,None,None,25712000,67886000,1054688000,64501000,387243000,15094000,725102000,None,None,None,1688211000,2671514000,895334000,None,170436000,USD,-28236000,45526000,-28236000,-15000000,None,-105453000,-128000,377000,97397000,11379000,145258000,10952000,29265000,-15392000,-90754000,470000,-37772000,-1028000,33245000,-37772000,-190000,11379000,47.91,57.91
5,2019-03-31,USD,494099000,194550000,206464000,287635000,99692000,109138000,76791000,None,93979000,None,102013000,6607000,93085000,10634000,5713000,-15159000,8052000,2339000,None,5112000,None,-15159000,-6557000,None,109138000,109138000,None,USD,2616643000,119372000,None,852379000,1146415000,1470228000,None,211158000,21544000,-215607000,282795000,379513000,97757000,483728000,441968000,17176000,17176000,-15706000,283300000,1594042000,91926000,1470228000,421088000,414806000,383590000,161342000,551667000,None,None,21544000,None,-215607000,None,None,11279000,None,283300000,55238000,383590000,15510000,383590000,None,None,None,1679997000,2616643000,904816000,None,172353000,USD,-228543000,-77337000,-260951000,-6697000,None,-199760000,-41933000,-19858000,109138000,-442695000,18016000,-12193000,29593000,-15627000,-142200000,-2917000,-41706000,13438000,25711000,-41706000,-329000,-443024000,39.84,47.91
6,2018-12-31,USD,519558000,197265000,210023000,309535000,124308000,143787000,74706000,0,111125000,0,100555000,12038000,112270000,10558000,13183000,None,None,None,51200000,20246000,0,-32662000,-15791000,0,143787000,143787000,None,USD,2706606000,125482000,None,782772000,1184252000,1522354000,None,560985000,21940000,-158191000,327984000,381850000,99240000,926752000,476287000,None,None,-13040000,279821000,1732482000,87731000,1522354000,190096000,373624000,379981000,153541000,623267000,None,None,21940000,None,-158191000,None,None,None,None,279821000,None,379981000,None,None,None,None,None,1671645000,2706606000,1116848000,None,175522000,USD,230074000,-60621000,203964000,273000,None,-277385000,-182000,-30773000,143788000,112955000,186376000,-16304000,26873000,-16002000,-261201000,4619000,59869000,36952000,26110000,59869000,-222000,112733000,31.38,39.84
7,2018-09-30,USD,566848000,190100000,233155000,333693000,146401000,119981000,77049000,0,140844000,0,100199000,2808000,143593000,11142000,5557000,None,None,None,0,1710000,0,20863000,-4167000,0,119981000,119981000,None,USD,2882487000,139963000,None,139785000,1214727000,1667760000,51135000,113485000,22911000,-23243000,379898000,392998000,100078000,814019000,458412000,None,None,3524000,278071000,1879395000,91982000,1134799000,418410000,352476000,376417000,154705000,344927000,0,0,22911000,0,-23243000,0,None,29306000,70772000,1003092000,None,376417000,328763000,756315000,None,None,None,1664568000,2882487000,1232429000,None,183289000,USD,315899000,15669000,300497000,10204000,None,-207918000,-90000,-31431000,119981000,333163000,240584000,-30360000,29773000,-16638000,-191190000,-12834000,101596000,16759000,25606000,101596000,472000,333635000,36.98,31.38
8,2018-06-30,USD,526929000,186934000,219595000,307334000,125651000,101037000,75342000,0,120012000,0,99410000,5251000,120400000,9793000,5639000,None,None,None,0,2389000,0,18975000,-1829000,0,101037000,101037000,None,USD,2931720000,148173000,None,111820000,1191780000,1739940000,47656000,118402000,23495000,74270000,366573000,388625000,104018000,480384000,452310000,372897000,372897000,-3504000,285302000,1894185000,111417000,1203142000,712309000,454122000,372897000,135550000,333908000,0,0,23495000,0,74270000,0,None,30444000,73574000,1037535000,None,372897000,318917000,739470000,None,None,None,1645679000,2931720000,1192693000,None,187962000,USD,128799000,24070000,-44343000,-145276000,None,-243708000,-122000,1167000,101036000,-156200000,131851000,2320000,27722000,-17094000,-226492000,-266000,-38656000,15625000,27866000,-38656000,-1289000,-157489000,38.07,36.98
9,2018-03-31,USD,487467000,172298000,217635000,269832000,102710000,86974000,74408000,0,95820000,0,90505000,5176000,97534000,7698000,6890000,None,None,None,0,-313000,0,8846000,-1401000,0,86974000,86974000,None,USD,2995193000,84413000,None,112191000,1090210000,1904983000,27911000,101473000,24226000,216120000,323279000,275700000,557484000,637873000,391325000,369421000,369421000,25881000,281284000,2156425000,89259000,1544870000,860526000,413978000,369421000,131857000,289852000,0,0,24226000,0,216120000,0,None,30407000,77705000,838768000,None,369421000,301553000,698885000,None,None,None,1638756000,2995193000,1498399000,None,193808000,USD,523045000,-50188000,462892000,-25356000,None,-174410000,-33200000,-1699000,86974000,206552000,-81930000,-679000,25540000,-17588000,-123622000,-21017000,-140747000,18187000,34797000,-140747000,1478000,208030000,45.71,38.07
