,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,11614000,20497000,16063000,-4449000,-4774000,-13367000,None,None,-10922000,None,4374000,None,-8883000,-162000,491000,2445000,34000,-555000,None,None,None,2445000,-1484000,None,-13367000,-13367000,None,USD,221347000,None,None,None,77756000,143591000,None,None,152805000,-32707000,16723000,None,4022000,34837000,33555000,None,None,-1425000,148074000,68667000,None,143007000,None,19189000,27071000,9518000,None,None,None,None,None,None,None,None,None,None,152680000,1332000,None,146000,44201000,None,None,None,None,None,None,None,None,USD,-2823000,2103000,-2823000,-1594000,-10309000,-10821000,-512000,-459000,-13367000,11007000,24551000,None,None,0,None,-2752000,28423000,4788000,1168000,None,None,None,0.5716,
1,2020-03-31,USD,53234000,38107000,35509000,17725000,-37566000,-55218000,None,None,-50633000,None,2530000,None,15127000,-8476000,815000,4585000,58000,-757000,None,None,None,4585000,-65003000,None,-55218000,-55218000,None,USD,241219000,577000,None,4159000,86604000,154615000,None,None,152805000,-19340000,17161000,None,5334000,23830000,32534000,None,None,-3672000,149480000,85828000,None,154038000,None,47612000,36591000,6183000,None,None,None,None,None,None,None,None,155391000,None,155391000,1458000,36909000,195000,54070000,None,None,None,24822000,None,23830000,None,73000000,USD,-4645000,-301000,-4645000,932000,-298000,-916000,-618000,274000,-55218000,-9420000,-3672000,None,12252000,0,None,7603000,-36931000,-5009000,5491000,None,None,None,0.36,0.5716
2,2019-12-31,USD,28473000,28448000,23883000,4590000,7415000,-8202000,None,None,-2199000,None,4506000,None,25000,1478000,850000,6003000,70000,-875000,None,None,None,6003000,-1349000,None,-8202000,-8202000,None,USD,308325000,33706000,None,None,93835000,214490000,None,217000,152805000,35878000,22613000,None,8387000,33251000,33592000,None,None,1134000,200446000,65786000,None,180784000,None,10681000,37041000,17516000,None,None,None,None,None,None,None,None,242539000,None,242539000,1808000,37630000,614000,60243000,None,None,None,24673000,None,33251000,None,73000000,USD,-8809000,6669000,-8809000,2187000,-5409000,-6199000,-790000,-239000,-8202000,8807000,23740000,None,34948000,0,547000,-24000,14163000,2500000,10538000,None,None,None,1.38,0.36
3,2019-09-30,USD,31200000,23966000,19737000,11463000,18493000,2967000,None,None,9383000,None,4178000,None,7234000,-2453000,937000,6416000,85000,-945000,None,None,None,6416000,3094000,None,2967000,2967000,None,USD,312654000,29128000,None,740000,90943000,221711000,None,None,152805000,44080000,24099000,None,9957000,24444000,24253000,None,None,311000,202166000,71403000,None,192583000,None,24844000,41726000,17342000,None,None,None,None,None,None,None,None,241251000,None,241251000,2155000,42591000,447000,66690000,None,None,None,24515000,None,24444000,None,73000000,USD,-11355000,5380000,-11355000,-2177000,-6949000,-10381000,-893000,-1084000,2967000,-9681000,12042000,None,26184000,-2539000,547000,-3354000,1671000,-1446000,9253000,None,None,None,1.33,1.38
4,2019-06-30,USD,43071000,25576000,21655000,21416000,27817000,10046000,None,None,17522000,None,3872000,None,17495000,49000,1050000,7476000,133000,-1007000,None,None,None,7476000,1034000,None,10046000,10046000,None,USD,315999000,28663000,None,None,94463000,221536000,None,1321000,152805000,43652000,22871000,None,8704000,34125000,22432000,None,None,721000,202122000,76510000,None,192873000,None,26515000,48109000,13022000,None,None,None,None,None,None,None,None,239489000,None,239489000,2631000,49160000,364000,72031000,None,None,None,24358000,None,34125000,None,73000000,USD,-8931000,-2989000,-8931000,-834000,-356000,-3881000,-986000,-21000,10046000,9390000,22125000,None,18011000,-2539000,547000,-1829000,7848000,-314000,7665000,None,None,None,1.39,1.33
5,2019-03-31,USD,37352000,25697000,20299000,17053000,7214000,-8806000,None,None,-2603000,None,5342000,None,11655000,5052000,1051000,6203000,183000,-958000,None,None,None,6203000,-13300000,None,-8806000,-8806000,None,USD,308113000,23729000,None,None,97933000,210180000,None,2244000,152805000,33606000,19252000,None,4523000,24735000,29615000,1670000,1670000,-398000,206646000,73215000,None,186451000,None,34363000,47687000,10715000,25701000,None,None,None,None,None,None,None,234898000,None,234898000,3049000,49066000,857000,68318000,None,None,None,24167000,None,24735000,None,73000000,USD,-8014000,-6174000,-8014000,533000,-5278000,-5926000,-1195000,1788000,-8806000,-26970000,-13071000,None,17213000,0,547000,-1491000,-22349000,6658000,8547000,None,None,None,1.89,1.39
6,2018-12-31,USD,40605000,2777000,13116000,27489000,37828000,30719000,0,0,37331000,0,2455000,None,37828000,-21370000,-1152000,6612000,None,None,0,0,0,6612000,-497000,0,30719000,30719000,None,USD,318296000,36266000,None,1198000,98005000,220291000,None,None,152084000,44951000,17643000,None,4694000,51705000,28007000,None,None,-939000,198342000,78994000,None,184025000,None,12014000,52355000,8692000,28007000,None,None,None,None,None,None,None,None,None,None,None,52355000,None,None,None,None,None,24195000,None,51705000,None,72000000,USD,None,3818000,-19776000,-2343000,113000,-940000,-1053000,-1290000,30719000,-10958000,9822000,None,8641000,-2527000,None,-466000,-1082000,-30606000,15181000,None,None,None,1.87,1.89
7,2018-09-30,USD,42453000,46559000,12242000,30211000,-4106000,-12283000,0,0,-5359000,0,5631000,None,-4106000,5797000,-1222000,None,None,None,0,0,0,6924000,-1253000,0,-12283000,-12283000,None,USD,314203000,34376000,None,3862000,121781000,192422000,None,4417000,152084000,14232000,36344000,None,None,62663000,32905000,None,None,2114000,194571000,85256000,None,158046000,None,10932000,52532000,7799000,28488000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,74000000,USD,None,-791000,-9549000,3229000,-9854000,-13617000,-1236000,1520000,-12283000,24575000,47639000,None,22961000,-2527000,None,-666000,30558000,6254000,7328000,None,None,None,3.34,1.87
8,2018-06-30,USD,68454000,36506000,17299000,51155000,31948000,7361000,0,0,14146000,0,8663000,None,31948000,66000,-1353000,None,None,None,0,0,0,6785000,-17802000,0,7361000,7361000,None,USD,329542000,43059000,None,4450000,123474000,206068000,None,6777000,152084000,29042000,29830000,None,None,38088000,31471000,62173000,62173000,1114000,194548000,91935000,None,163009000,None,41490000,62173000,7907000,24694000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,73000000,USD,None,666000,-5692000,159000,-4892000,-6125000,-1233000,-1475000,7361000,7004000,18886000,None,10544000,-2527000,None,4435000,-18239000,15507000,5182000,None,None,None,2.77,3.34
9,2018-03-31,USD,24715000,27762000,10641000,14074000,-3047000,-10120000,0,0,-4101000,0,4042000,None,-3047000,6231000,-1348000,None,None,None,0,0,0,6019000,-1054000,0,-10120000,-10120000,None,USD,312691000,42386000,None,2849000,113666000,199025000,None,6312000,152084000,21681000,19415000,None,None,31084000,27084000,67167000,67167000,1789000,197969000,72336000,None,156639000,None,23251000,67167000,15152000,20772000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72000000,USD,None,-5668000,-5231000,-794000,-2656000,-3904000,-1248000,2149000,-10120000,-16365000,-7155000,None,6915000,-2527000,None,-2398000,-5161000,7030000,3727000,None,None,None,1.34,2.77
10,2017-12-31,USD,30645000,253794000,11083000,70382000,-163618000,-164485000,0,0,3333000,0,4205000,None,4891000,-40849000,1483000,None,None,None,0,79025000,0,5715000,-232000,0,-164485000,-164485000,None,USD,327702000,41478000,None,4745000,117695000,210007000,3955000,4015000,152084000,34594000,16577000,None,3485000,47449000,31119000,69999000,69999000,2793000,245944000,81758000,None,168529000,None,18090000,69999000,11474000,27104000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72000000,USD,None,4367000,-21423000,16736000,-14088000,-22594000,-8506000,-3044000,-78736000,15981000,59450000,None,119317000,-2527000,None,5789000,-3254000,14682000,38159000,None,None,None,1.439,1.34
11,2017-09-30,USD,39700000,-31472000,14522000,50277000,139165000,90863000,0,0,128222000,0,4233000,None,139165000,75303000,1485000,None,None,None,0,0,0,5179000,-10943000,0,90863000,90863000,None,USD,338802000,40945000,None,2564000,125835000,212967000,None,465000,152084000,37638000,12999000,None,None,21464000,32997000,79839000,79839000,3455000,246990000,91812000,None,172022000,4812000,49707000,79839000,13265000,32532000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72000000,USD,None,7531000,-6530000,1073000,-4875000,-6301000,-1426000,-625000,-6855000,7684000,15187000,None,21148000,None,None,4856000,-7797000,4830000,29081000,None,None,None,1.435,1.439
12,2017-06-30,USD,48546000,-51519000,15079000,-35340000,-20347000,7763000,0,0,-13832000,0,4864000,None,-20347000,-26995000,1717000,None,None,None,0,0,0,5505000,6515000,0,7763000,7763000,None,USD,337596000,49002000,None,4773000,122008000,215588000,None,None,152084000,40423000,13167000,None,None,13780000,25116000,83725000,83725000,-615000,252161000,85435000,None,166586000,7858000,41910000,83725000,17114000,25116000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,73000000,USD,None,709000,-2151000,516000,-901000,-2792000,-1891000,-146000,-56622000,-7544000,-2753000,None,77940000,None,None,2036000,-20068000,-4554000,18948000,None,None,None,1.34,1.435
13,2017-03-31,USD,18732000,28259000,10321000,12140000,-5798000,-12877000,0,0,-7457000,0,4446000,None,-5798000,3789000,1548000,None,None,None,0,0,0,5420000,-1659000,0,-12877000,-12877000,None,USD,403686000,115126000,None,1865000,131611000,272075000,None,3729000,152084000,97077000,12667000,None,None,21324000,41173000,84808000,84808000,-583000,319754000,83932000,None,156949000,16372000,21842000,77771000,22529000,30407000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72000000,USD,None,3609000,-5816000,4902000,1625000,-2066000,-3691000,-132000,-12877000,-10144000,-2497000,None,9763000,None,None,-1470000,-7006000,5567000,10718000,None,None,None,1.56,1.34
14,2016-12-31,USD,5217000,129351000,5629000,22799000,-66217000,-87665000,0,0,-75219000,0,5813000,None,-66217000,7983000,1713000,None,None,None,0,33426000,0,4718000,-9002000,0,-87665000,-87665000,None,USD,406142000,105869000,None,1772000,120826000,285316000,None,None,152084000,110537000,12480000,None,4245000,31468000,102765000,78236000,78236000,None,320141000,86001000,None,179447000,18323000,14836000,5581000,19602000,24529000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72000000,USD,None,1286000,-86877000,-11906000,-14088000,-5288000,-5288000,1159000,-87665000,-95442000,-1065000,None,62603000,-2527000,None,-3242000,8093000,15977000,74971000,None,None,None,1.69,1.56
15,2016-09-30,USD,20704000,0,10945000,0,0,0,0,0,0,0,4094000,None,0,0,1470000,None,None,None,0,0,0,4067000,0,0,0,0,None,USD,414363000,None,None,3311000,95314000,319049000,None,None,152084000,144534000,402000,None,876000,100405000,94912000,None,None,None,265546000,None,None,None,None,None,None,12305000,20058000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72000000,USD,None,None,None,4844000,None,None,None,None,None,None,None,None,None,None,None,1364000,None,None,17794000,None,None,None,1.97,1.69
