,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,41706000,26883000,None,41706000,14823000,11924000,None,None,14823000,None,26883000,None,14823000,7676000,3361000,2899000,39256000,35895000,None,None,None,-2899000,None,None,17722000,11924000,None,USD,4368112000,9829000,None,None,3777828000,590284000,None,3569893000,2006000,509029000,73905000,78592000,2895897000,386507000,3569893000,None,100096000,9515000,63270000,1311145000,2757375000,501863000,907433000,17205000,28117000,None,None,None,None,2006000,None,509029000,-70369000,None,147901000,None,3056967000,None,None,207935000,207935000,None,None,None,140103000,4368112000,1293940000,None,13714524,USD,-127068000,0,-127267000,313000,16312000,288706000,278925000,None,11924000,175473000,14034000,-31000,3270000,7131000,0,None,None,76000,1269000,None,None,175473000,36.84,
1,2020-03-31,USD,42755000,27554000,None,42755000,15201000,12181000,None,None,15201000,None,27554000,None,15201000,7422000,5053000,3020000,41403000,36350000,None,None,None,3020000,None,None,12181000,12181000,None,USD,4062414000,10236000,932042000,1000,3480643000,581771000,None,3291231000,2005000,504236000,72289000,78592000,2740547000,211034000,3291231000,None,83784000,6001000,63140000,1160174000,2605468000,492943000,932041000,17098000,27494000,None,None,None,None,2005000,None,504236000,-70369000,None,144804000,None,2902240000,None,None,189412000,189412000,None,None,None,139898000,4062414000,1143075000,None,13714524,USD,24264000,0,50349000,38000,3665000,7580000,16281000,None,12181000,83608000,25679000,-194000,2862000,7142000,1724000,None,None,11528000,1557000,None,None,83608000,33.72,36.84
2,2019-12-31,USD,48302000,29811000,None,48302000,18491000,14364000,None,None,18491000,None,29811000,None,18491000,9390000,5176000,4127000,43651000,38475000,None,None,None,9172000,-5099000,None,9319000,14364000,None,USD,4023250000,10643000,934217000,7500000,3465642000,557608000,None,3275357000,2005000,492055000,73179000,78592000,2774410000,127426000,3275357000,80119000,80119000,-7501000,62576000,3716613000,3625000,468373000,926717000,2654970000,30973000,3625000,3275357000,None,None,2005000,None,492055000,-68645000,None,151201000,None,306637000,None,30973000,159312000,190285000,None,None,None,139694000,4023250000,1054143000,None,13741825,USD,16447000,0,-5005000,-45916000,-10733000,41477000,77210000,None,14364000,47233000,10761000,-26000,3128000,-25296000,-630000,None,None,-5802000,434000,-903000,None,47233000,45.72,33.72
3,2019-09-30,USD,42245000,27409000,None,42245000,14836000,12257000,None,None,14836000,None,27409000,None,14836000,9302000,5596000,2579000,39595000,33999000,None,None,None,2579000,-155000,None,12257000,12257000,None,USD,3988119000,11261000,939944000,18735000,3431537000,556582000,None,3220122000,2004000,484834000,58422000,75417000,2782076000,80193000,3220122000,90852000,90852000,145000,70592000,1038872000,2652394000,469904000,939944000,18735000,55948000,3717000,3220122000,None,None,2004000,None,484834000,-69474000,None,139583000,None,2949247000,None,None,211415000,211415000,None,None,None,139073000,3988119000,1020137000,None,13713355,USD,29453000,0,17621000,12830000,-35250000,-9638000,612000,None,12257000,19309000,11326000,-6000,2563000,0,0,None,None,-3488000,632000,None,None,19309000,43.47,45.72
4,2019-06-30,USD,39265000,23492000,None,39265000,15773000,12569000,None,None,15773000,None,23492000,None,15773000,7183000,3507000,3204000,33259000,29752000,None,None,None,3204000,-199000,None,12569000,12569000,None,USD,3064212000,969000,793737000,2200000,2586392000,477820000,None,2463018000,1826000,472577000,56524000,34355000,2107866000,60884000,2463018000,60492000,60492000,-4282000,45662000,868498000,1990446000,442496000,791537000,13877000,None,498000,2463018000,None,None,1826000,None,472577000,-69474000,None,124282000,None,2195714000,None,None,123374000,123374000,None,None,None,77173000,3064212000,852421000,None,12290212,USD,-22872000,0,-23023000,445000,3844000,15916000,43462000,None,12569000,6257000,13364000,-16000,2083000,6390000,0,None,None,-1272000,596000,None,None,6257000,40.16,43.47
5,2019-03-31,USD,35592000,23693000,None,35592000,11899000,9682000,None,None,11899000,None,23693000,None,11899000,7166000,3190000,2217000,32616000,29426000,None,None,None,2217000,-140000,None,9682000,9682000,None,USD,3025565000,1083000,788211000,14379000,2562769000,462796000,None,2419556000,1825000,466398000,55128000,34355000,2079641000,54627000,2419556000,56648000,56648000,-12927000,45977000,855217000,1963950000,427358000,786211000,14379000,25000000,857000,2419556000,None,None,1825000,None,466398000,-69474000,None,122983000,None,2168348000,None,None,143213000,143213000,None,None,None,76974000,3025565000,840838000,None,12290212,USD,-22141000,0,-22459000,-9000,-13008000,-11752000,-17171000,None,9682000,-19761000,14450000,4000,1900000,6258000,315000,None,None,2864000,309000,None,None,-19761000,42.0,40.16
6,2018-12-31,USD,36358000,23098000,4444000,36358000,13260000,11056000,0,0,13260000,0,23098000,None,13260000,6679000,2974000,None,None,None,0,0,0,-273000,-256000,0,13533000,11056000,None,USD,3008718000,1197000,None,29970000,2566017000,442701000,None,2436727000,1824000,456716000,59634000,34355000,2048104000,74388000,2436727000,None,None,-23454000,46554000,2806826000,603000,407149000,784916000,1947522000,None,603000,2436727000,None,None,1824000,None,456716000,-69159000,None,119183000,None,201892000,None,None,129290000,129290000,None,None,None,76774000,3008718000,859304000,None,12278295,USD,3082000,0,2801000,213000,10976000,5642000,29666000,None,11056000,24370000,15927000,4161000,1954000,-24992000,-782000,None,None,-187000,494000,-1057000,None,24370000,40.15,42.0
7,2018-09-30,USD,36266000,22297000,4018000,36266000,13969000,11313000,0,0,13969000,0,22297000,None,13969000,6022000,2548000,None,None,None,0,0,0,2656000,-223000,0,11313000,11313000,None,USD,2980935000,1310000,None,14630000,2553161000,427774000,0,2407061000,1824000,451918000,52420000,34355000,2039824000,50018000,2407061000,None,None,-32310000,46985000,850341000,1921999000,392109000,785693000,14630000,35000000,520000,2407061000,0,0,1824000,0,451918000,-69839000,None,118345000,None,2122994000,None,None,146100000,146100000,None,None,None,76181000,2980935000,835711000,None,12255045,USD,-30892000,0,-31521000,-86000,26091000,12417000,-47274000,None,11313000,-63000,19041000,-4161000,1985000,-6258000,0,0,0,5746000,543000,None,None,-63000,50.2,40.15
8,2018-06-30,USD,42290000,22683000,3574000,42290000,19607000,15261000,0,0,19607000,0,22683000,None,19607000,6599000,2219000,None,None,None,0,0,0,4346000,-223000,0,15261000,15261000,None,USD,2968048000,1424000,None,12345000,2548353000,419695000,0,2454335000,1823000,440605000,60029000,34355000,2039365000,50081000,2454335000,33989000,33989000,-28889000,47372000,845035000,1908998000,383916000,782609000,12345000,1400000,497000,2454335000,0,0,1823000,0,440605000,-69839000,None,130864000,None,2123013000,None,None,92618000,92618000,None,None,None,75995000,2968048000,832690000,None,12255045,USD,-1329000,0,-332000,1541000,3511000,-4193000,-2854000,None,15261000,8925000,13450000,-2000,1926000,6250000,0,0,0,423000,544000,None,None,8925000,45.35,50.2
9,2018-03-31,USD,34103000,23211000,3377000,34103000,10892000,8953000,0,0,10892000,0,23211000,None,10892000,6545000,1904000,None,None,None,0,0,0,1939000,-227000,0,8953000,8953000,None,USD,2956653000,1527000,None,1500000,2541753000,414900000,0,2457189000,1823000,431594000,55486000,34355000,977100000,41156000,2457189000,29078000,29078000,-24488000,47771000,861197000,1889126000,379018000,805558000,12983000,0,1923000,2457189000,0,0,1823000,0,431594000,-69839000,None,122677000,None,2095456000,None,None,84564000,84564000,None,None,None,75810000,2956653000,846714000,None,12223750,USD,-4942000,0,-5272000,102000,-28608000,-36709000,-1464000,None,8953000,-32951000,9030000,None,1921000,6246000,391000,0,0,-1844000,432000,None,None,-32951000,41.6,45.35
