,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,17162000,21649000,7380000,9782000,-2334000,-5806000,3622000,None,-5806000,None,10647000,None,-4487000,None,1363000,None,80000,-1299000,None,None,None,None,-20000,None,-5806000,-5806000,None,USD,111754000,35884000,None,387000,96332000,15422000,None,3487000,287312000,-287812000,4631000,None,9763000,21440000,37548000,None,None,4453000,3707000,72163000,0,-10699000,10203000,12191000,51553000,24735000,None,None,None,None,None,None,None,None,9763000,None,39591000,2973000,58755000,4631000,58784000,None,None,None,11469000,None,31643000,None,None,USD,918000,5031000,918000,90000,-135000,10000,-1653000,133000,-5806000,-2172000,-3100000,None,2109000,0,145000,-4424000,None,2158000,10000,None,None,None,1.8,
1,2020-03-31,USD,17162000,21649000,7380000,9782000,-2334000,-5806000,3622000,None,-5806000,None,10647000,None,-4487000,None,1363000,None,80000,-1299000,None,None,None,None,-20000,None,-5806000,-5806000,None,USD,111754000,None,None,None,96332000,15422000,None,3487000,287312000,-287812000,4631000,None,9763000,21440000,37548000,None,None,4453000,3707000,72163000,0,-10699000,10203000,12191000,51553000,24735000,None,None,None,None,None,None,None,None,9763000,None,39591000,2973000,None,4631000,58784000,None,None,None,None,None,None,None,None,USD,None,5031000,918000,90000,-135000,None,None,133000,None,None,-3100000,None,None,None,None,None,None,2158000,0,None,None,None,1.6,1.8
2,2020-02-29,USD,15719000,19111000,6761000,8958000,-1210000,-4544000,3419000,None,-4544000,None,8931000,None,-3392000,None,1304000,None,166000,-1138000,None,None,None,None,-14000,None,-4544000,-4544000,None,USD,110667000,37823000,None,486000,90005000,20662000,None,3452000,287035000,-282006000,4618000,None,10983000,23600000,31525000,None,None,4486000,3858000,68795000,191000,-6178000,10979000,9886000,51133000,20670000,None,None,None,None,None,None,None,None,10983000,None,41872000,3092000,58451000,4589000,58480000,None,None,None,11147000,None,34579000,None,76000000,USD,1557000,-5424000,1557000,191000,-141000,-1794000,-1653000,1106000,-4544000,-5062000,-4825000,None,2030000,0,None,256000,None,1521000,3000,None,None,None,2.41,1.6
3,2019-12-31,USD,15719000,19111000,6761000,8958000,-1210000,-4544000,3419000,None,-4544000,None,8931000,None,-3392000,None,1304000,None,166000,-1138000,None,None,None,None,-14000,None,-4544000,-4544000,None,USD,110667000,None,None,None,90005000,20662000,None,3452000,287035000,-282006000,4618000,None,10983000,23600000,31525000,None,None,4486000,3858000,68795000,191000,-6178000,10979000,9886000,51133000,20670000,None,None,None,None,None,None,None,None,10983000,None,41872000,3092000,None,4589000,58480000,None,None,None,None,None,None,None,None,USD,None,-5424000,1557000,191000,-141000,None,-1653000,1106000,None,None,-4825000,None,None,None,None,None,None,1521000,0,None,None,None,3.3,2.41
4,2019-11-30,USD,16400000,21797000,6989000,9411000,-3261000,-6455000,3877000,None,-6455000,None,10931000,None,-5397000,None,1264000,0,217000,-1067000,None,None,None,None,9000,None,-6455000,-6455000,None,USD,117555000,39684000,None,637000,92721000,24834000,None,3417000,287035000,-277462000,4836000,None,None,28661000,37144000,None,None,4478000,1071000,76181000,619000,-14850000,11964000,9538000,50741000,20929000,13106000,None,None,None,None,None,None,None,12204000,None,41374000,None,55311000,4570000,55577000,None,None,None,10783000,None,40625000,None,77000000,USD,1339000,10058000,1339000,1217000,-141000,-3417000,-3417000,-1822000,-6455000,-2374000,-296000,None,1930000,None,110000,-8082000,None,2817000,394000,None,None,None,3.16,3.3
5,2019-09-30,USD,16400000,21797000,6989000,9411000,-3261000,-6455000,3877000,None,-6455000,None,10931000,None,-5397000,None,1264000,0,217000,-1067000,None,None,None,None,9000,None,-6455000,-6455000,None,USD,117555000,39684000,None,None,92721000,24834000,None,3417000,287035000,-277462000,4836000,None,None,28661000,37144000,None,None,4478000,1071000,76181000,619000,-14850000,11964000,9538000,50741000,20929000,13106000,None,None,None,None,None,None,None,12204000,None,41374000,None,None,4570000,55577000,None,None,None,None,None,None,None,None,USD,None,10058000,1339000,1217000,-141000,None,-3417000,-1822000,None,None,-296000,None,None,None,None,None,None,2817000,0,None,None,None,4.33,3.16
6,2019-08-31,USD,16111000,16750000,6437000,9674000,1565000,-1639000,2152000,None,-1639000,None,8161000,None,-639000,None,1275000,0,253000,-1027000,None,None,None,None,27000,None,-1639000,-1639000,None,USD,108070000,22537000,None,797000,78048000,30022000,None,3382000,287035000,-271007000,259000,None,13425000,31034000,27440000,None,None,4469000,1130000,68810000,2168000,7485000,10933000,11374000,50349000,12860000,21780000,None,None,None,None,None,None,None,13425000,None,39260000,None,50349000,None,50608000,None,None,None,9525000,None,41967000,None,77000000,USD,-103000,1018000,-103000,-15000,-3500000,-3500000,-3417000,560000,-1639000,954000,4557000,None,1929000,None,110000,1000,2042000,646000,47000,None,None,None,3.76,4.33
7,2019-06-30,USD,16111000,16750000,6437000,9674000,1565000,-1639000,2152000,None,-1639000,None,8161000,None,-639000,None,1275000,0,253000,-1027000,None,None,None,None,27000,None,-1639000,-1639000,None,USD,108070000,22537000,None,None,78048000,30022000,None,3382000,287035000,-271007000,259000,None,13425000,31034000,27440000,None,None,4469000,1130000,68810000,2168000,7485000,10933000,11374000,50349000,12860000,None,None,None,None,None,None,None,None,13425000,None,39260000,None,None,None,50608000,None,None,None,None,None,None,None,None,USD,None,1018000,-103000,-15000,-3500000,None,-3417000,560000,None,None,4557000,None,None,None,None,None,None,646000,0,None,None,None,5.34,3.76
8,2019-05-31,USD,15609000,17626000,6585000,9024000,30000,-3174000,2285000,None,-3174000,None,8756000,None,-2017000,None,1282000,None,292000,-1004000,None,None,None,None,-153000,None,-3174000,-3174000,None,USD,110635000,22802000,None,1007000,79277000,31358000,None,3488000,287035000,-269368000,3593000,None,14646000,30089000,25716000,None,None,4429000,1180000,69156000,2851000,8556000,10122000,13421000,49968000,12861000,20633000,None,None,None,None,None,None,None,14646000,None,41479000,None,53315000,3347000,53561000,None,None,None,9262000,None,40211000,None,77000000,USD,-195000,-2887000,-678000,2503000,-3500000,70000,-1764000,-289000,-3174000,-10105000,-9980000,None,1922000,None,110000,-1359000,-5435000,1242000,726000,None,None,None,4.8,5.34
9,2019-02-28,USD,15096000,15556000,6065000,9031000,1655000,-1228000,2527000,None,-1228000,None,6964000,None,-460000,None,1169000,None,335000,-834000,None,None,None,None,66000,None,-1228000,-1228000,None,USD,116490000,23443000,None,1481000,82366000,34124000,None,3452000,286905000,-266194000,3314000,None,15867000,40194000,29462000,3452000,3452000,4394000,841000,72486000,3853000,10681000,9826000,7986000,49590000,11502000,24312000,None,None,None,None,None,None,None,44004000,None,15867000,None,52903000,3314000,52904000,None,None,None,9019000,None,50020000,None,61000000,USD,-1171000,-2009000,-1171000,-15000,-3500000,40000,-3417000,739000,-1228000,1197000,2328000,None,1714000,None,40000,-421000,2966000,567000,2455000,None,None,None,7.05,4.8
