,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,970000000,910000000,296000000,673000000,388000000,-115000000,None,None,-53000000,219000000,None,None,59000000,None,137000000,65000000,2000000,-167000000,None,None,None,65000000,55000000,-1000000,-118000000,-115000000,None,USD,12552000000,None,None,172000000,10227000000,2106000000,4000000,268000000,153000000,2127000000,982000000,None,334000000,1186000000,2249000000,None,103000000,-620000000,3506000000,2539000000,2696000000,-1371000000,237000000,354000000,5857000000,36000000,256000000,None,None,None,None,None,None,None,95000000,None,10014000000,1012000000,None,-1000000,7978000000,None,None,None,None,None,None,None,None,USD,-62000000,None,None,None,None,-519000000,None,None,-115000000,-358000000,218000000,None,303000000,None,0,16000000,-6000000,None,198000000,None,None,None,26.15,
1,2020-03-31,USD,1088000000,999000000,305000000,783000000,265000000,-122000000,None,None,-167000000,216000000,None,None,89000000,-3000000,136000000,-16000000,6000000,-141000000,None,None,None,-16000000,-113000000,-1000000,-151000000,-122000000,None,USD,12697000000,3105000000,None,163000000,10296000000,2185000000,5000000,255000000,631000000,2245000000,955000000,None,279000000,1545000000,2099000000,None,83000000,-653000000,3485000000,2966000000,2862000000,-920000000,292000000,358000000,6327000000,50000000,280000000,None,None,None,None,None,-38000000,None,94000000,None,9731000000,969000000,7199000000,-2000000,8197000000,None,None,None,478000000,None,1837000000,None,101000000,USD,-222000000,-11000000,-222000000,7000000,538000000,528000000,None,None,-122000000,381000000,106000000,None,296000000,None,-10000000,-22000000,-98000000,60000000,270000000,None,None,None,28.4,26.15
2,2019-12-31,USD,1149000000,1035000000,310000000,840000000,714000000,219000000,None,None,272000000,271000000,411000000,None,115000000,6000000,139000000,30000000,5000000,-151000000,-3000000,None,None,30000000,307000000,-3000000,241000000,219000000,None,USD,12856000000,1508000000,None,181000000,10175000000,2410000000,5000000,377000000,153000000,2371000000,662000000,1711000000,309000000,1164000000,2407000000,186000000,186000000,-559000000,3860000000,2646000000,2822000000,-809000000,371000000,371000000,5786000000,32000000,289000000,None,None,None,None,None,-51000000,None,-134000000,None,10210000000,1064000000,6753000000,68000000,7768000000,None,None,None,480000000,None,1535000000,None,101000000,USD,-145000000,-36000000,-145000000,65000000,535000000,399000000,-13000000,None,219000000,531000000,269000000,None,303000000,-135000000,None,17000000,24000000,-257000000,237000000,None,None,None,48.23,28.4
3,2019-09-30,USD,1097000000,965000000,302000000,795000000,300000000,-130000000,None,None,-94000000,226000000,392000000,None,132000000,1000000,124000000,48000000,7000000,-129000000,-4000000,None,None,48000000,-98000000,-4000000,-142000000,-130000000,None,USD,11942000000,3178000000,None,181000000,9544000000,2172000000,5000000,257000000,153000000,2179000000,925000000,None,301000000,633000000,2615000000,256000000,256000000,-587000000,3627000000,1807000000,3035000000,-1006000000,39000000,375000000,5129000000,50000000,265000000,None,None,None,None,None,-53000000,None,95000000,None,10136000000,947000000,5976000000,2000000,6929000000,None,None,None,480000000,None,672000000,None,101000000,USD,-711000000,-44000000,-711000000,81000000,310000000,310000000,-1000000,None,-130000000,-208000000,209000000,None,270000000,0,None,2000000,-2000000,117000000,218000000,None,None,None,48.67,48.23
4,2019-06-30,USD,1055000000,990000000,298000000,757000000,393000000,46000000,None,None,-3000000,252000000,424000000,None,65000000,-3000000,120000000,24000000,4000000,-128000000,64000000,None,None,24000000,60000000,64000000,-27000000,46000000,None,USD,11676000000,2687000000,None,162000000,9081000000,2343000000,5000000,253000000,152000000,2310000000,819000000,None,312000000,840000000,2630000000,262000000,262000000,-546000000,3552000000,2074000000,3051000000,-344000000,128000000,367000000,4777000000,50000000,255000000,None,None,None,None,None,-54000000,None,97000000,None,9602000000,942000000,5621000000,368000000,6451000000,None,None,None,480000000,None,968000000,None,101000000,USD,37000000,0,-711000000,81000000,310000000,144000000,-1000000,None,46000000,355000000,176000000,None,276000000,-133000000,None,3000000,69000000,117000000,203000000,None,None,None,55.7,48.67
5,2019-03-31,USD,1035000000,946000000,291000000,744000000,421000000,15000000,None,None,43000000,262000000,374000000,None,157000000,-5000000,-44000000,18000000,-104000000,-136000000,None,None,None,18000000,59000000,64000000,25000000,14000000,None,USD,11356000000,2361000000,None,813000000,8797000000,2559000000,4000000,239000000,153000000,1983000000,751000000,None,320000000,495000000,2788000000,575000000,575000000,-548000000,3487000000,2157000000,3027000000,199000000,70000000,388000000,4202000000,79000000,257000000,None,None,None,None,None,-57000000,None,99000000,None,9193000000,None,4995000000,-1000000,5744000000,None,None,None,480000000,None,565000000,None,101000000,USD,-683000000,79000000,-683000000,-434000000,513000000,502000000,-11000000,None,44000000,-32000000,147000000,None,262000000,-135000000,None,-11000000,-210000000,10000000,249000000,None,None,None,60.83,55.7
6,2018-12-31,USD,1010000000,959000000,282000000,728000000,51000000,-94000000,0,0,-62000000,249000000,410000000,None,51000000,57000000,-91000000,None,None,None,-1000000,0,0,45000000,-113000000,-4000000,-107000000,-94000000,None,USD,10316000000,1298000000,None,319000000,7525000000,2542000000,4000000,1145000000,153000000,2541000000,583000000,1076000000,334000000,528000000,2684000000,349000000,349000000,-553000000,3041000000,1531000000,3036000000,168000000,None,516000000,3905000000,39000000,450000000,None,None,None,None,None,-81000000,None,None,None,None,None,4123000000,None,None,None,None,None,482000000,None,528000000,None,101000000,USD,None,51000000,-1045000000,77000000,740000000,606000000,-1000000,None,-94000000,-230000000,231000000,None,211000000,-133000000,None,11000000,-14000000,66000000,188000000,None,None,None,63.66,60.83
7,2018-09-30,USD,1018000000,851000000,288000000,730000000,167000000,68000000,0,0,71000000,182000000,399000000,None,167000000,-39000000,-82000000,None,None,None,0,0,0,1000000,-96000000,-4000000,70000000,68000000,None,USD,9085000000,1233000000,None,301000000,5987000000,2916000000,4000000,906000000,153000000,2860000000,475000000,None,340000000,758000000,2007000000,139000000,139000000,-498000000,2726000000,1750000000,3036000000,1683000000,149000000,466000000,3505000000,53000000,572000000,None,None,None,None,None,-81000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,101000000,USD,None,-7000000,-1045000000,261000000,-178000000,-177000000,1000000,None,68000000,22000000,206000000,None,203000000,-133000000,None,-3000000,8000000,-63000000,152000000,None,None,None,57.17,63.66
8,2018-06-30,USD,1004000000,859000000,269000000,735000000,145000000,-1000000,0,0,34000000,181000000,406000000,None,145000000,-25000000,-68000000,None,None,None,0,0,0,37000000,-111000000,-3000000,-3000000,-1000000,None,USD,9127000000,1260000000,None,300000000,6075000000,2871000000,4000000,1194000000,153000000,2792000000,403000000,None,343000000,735000000,2177000000,351000000,351000000,-474000000,2759000000,1737000000,3028000000,1611000000,147000000,474000000,3495000000,50000000,259000000,None,None,None,None,None,-82000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,101000000,USD,None,6000000,37000000,15000000,77000000,-57000000,-1000000,None,-1000000,159000000,188000000,None,209000000,-133000000,None,-2000000,-39000000,15000000,141000000,None,None,None,58.75,57.17
9,2018-03-31,USD,1042000000,921000000,306000000,735000000,121000000,17000000,0,0,87000000,5000000,408000000,None,121000000,-2000000,85000000,None,None,None,0,0,0,33000000,-35000000,-32000000,53000000,49000000,None,USD,9601000000,1304000000,None,582000000,6208000000,3196000000,4000000,1294000000,153000000,3068000000,497000000,None,4879000000,576000000,1952000000,184000000,184000000,-421000000,2852000000,1869000000,3247000000,1892000000,142000000,513000000,3696000000,50000000,448000000,None,None,None,None,None,-86000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,101000000,USD,None,19000000,-191000000,27000000,-30000000,-31000000,-1000000,None,17000000,-43000000,168000000,None,207000000,-133000000,None,-4000000,-92000000,20000000,151000000,None,None,None,69.2,58.75
