,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-07-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1892000,None,None,None,6400000,None,USD,None,None,None,None,None,None,None,None,None,106175000,11361000,None,4467000,None,None,None,None,-2970000,234082000,None,None,343406000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,13919000,-11672000,1000,-13195000,None,None,-30915000,None,None,18477000,None,None,None,None,None,None,2093000,0,None,None,None,10.865,
1,2020-04-30,USD,310208000,53058000,251798000,58410000,5266000,2262000,None,None,3148000,None,5178000,130000,5136000,None,2118000,886000,130000,-1988000,None,216000,None,886000,-216000,None,2262000,2230000,None,USD,969739000,8318000,None,10626000,622661000,347078000,3808000,12320000,None,99775000,7476000,2311000,4914000,50835000,477417000,382089000,382089000,-3748000,148293000,721326000,None,336449000,None,76430000,49522000,583435000,83008000,None,None,None,None,99775000,None,None,85708000,3783000,248413000,102280000,49522000,91914000,145244000,None,None,None,251051000,969739000,50835000,None,22314000,USD,-5122000,-10669000,-5122000,292000,18584000,17714000,-200000,-13760000,2262000,7150000,-5442000,1125000,5375000,None,None,-11941000,None,216000,5414000,None,-36000,7114000,9.4,10.865
2,2020-01-31,USD,350962000,60128000,289845000,61117000,-2150000,673000,None,None,-4669000,None,21907000,439000,-2589000,None,2519000,-5342000,439000,-2081000,None,3578000,None,-5342000,-3578000,None,673000,674000,None,USD,975343000,8367000,None,13655000,630239000,345104000,2055000,12259000,None,97717000,5797000,2327000,3260000,43721000,494163000,385551000,385551000,345104000,233843000,727546000,None,345104000,None,72776000,75578000,597394000,96353000,None,None,None,None,97717000,None,None,247797000,None,247797000,102354000,75578000,96232000,136076000,None,None,None,250607000,975343000,43721000,None,22335000,USD,-5714000,-65921000,-5714000,-1100000,-12033000,-12033000,-870000,-67130000,673000,-8503000,9244000,-4968000,7006000,None,None,-233398000,4630000,4628000,4614000,6217000,-196000,-8699000,12.21,9.4
3,2019-10-31,USD,360936000,58184000,289162000,71774000,14812000,8214000,None,None,12409000,None,730000,1273000,13539000,None,2403000,4195000,1273000,-1130000,None,51000,None,4195000,-51000,None,8214000,8074000,None,USD,1029524000,9059000,None,7857000,687245000,342279000,5586000,12002000,None,97044000,9444000,2291000,4561000,52420000,547717000,459006000,459006000,-4749000,148090000,773399000,None,330929000,None,88907000,35754000,624215000,76709000,None,None,None,None,97044000,None,None,93287000,3398000,256125000,102065000,35754000,98188000,139528000,None,None,None,249984000,1029524000,52420000,None,22352000,USD,-16117000,-15003000,-16117000,-8065000,21272000,21255000,-17000,-18090000,8214000,3152000,-1986000,2481000,7797000,None,None,-6220000,-2481000,51000,8052000,None,-249000,2903000,16.6,12.21
4,2019-07-31,USD,314981000,54855000,250954000,64027000,9792000,5511000,None,None,7427000,None,1495000,620000,9172000,None,2365000,1916000,620000,-1745000,None,None,None,1916000,-1745000,None,5511000,5429000,None,USD,1029196000,7351000,None,8270000,693237000,335959000,4492000,12184000,None,88830000,7031000,1649000,4337000,49517000,553856000,455240000,455240000,-2099000,146908000,773519000,None,326959000,None,86486000,34581000,629246000,86432000,None,None,None,None,88830000,None,None,96596000,3173000,255677000,105432000,34581000,100308000,139381000,None,None,None,249228000,1029196000,49517000,None,22354000,USD,-6600000,48325000,-6600000,260000,1872000,1872000,-17000,35776000,5511000,-13883000,-9155000,7806000,7200000,None,None,218403000,3444000,-699000,6860000,None,69000,-13814000,20.74,16.6
5,2019-04-30,USD,278292000,52555000,224392000,53900000,2004000,-445000,None,None,-515000,None,700000,794000,1210000,None,2519000,-70000,-1724000,-1725000,None,135000,None,-70000,-135000,None,-445000,-445000,None,USD,985106000,7343000,None,12229000,656364000,328742000,4341000,12137000,None,83319000,6189000,1631000,4259000,63331000,526204000,422543000,422543000,-3111000,144794000,729675000,None,319768000,None,85853000,23871000,568262000,91524000,None,None,None,None,83319000,None,None,98572000,3091000,255431000,107512000,23871000,101948000,130160000,None,None,None,248534000,985106000,63331000,None,22184000,USD,-8038000,80310000,-8038000,-2548000,12267000,11775000,-492000,86473000,-445000,6589000,2852000,-5657000,6064000,None,None,-78254000,-5593000,834000,5490000,None,-3000,6586000,17.2,20.74
6,2019-01-31,USD,352287000,53871000,296700000,55587000,560000,-2160000,0,0,-2243000,0,53872000,540000,20000,0,2803000,-83000,None,None,0,2110000,0,-83000,-1697000,0,-2160000,-2122000,None,USD,792438000,7247000,None,15556000,457127000,335311000,4955000,54153000,None,89228000,10863000,1161000,4188000,56745000,420452000,322345000,322345000,335311000,138950000,640892000,None,335311000,None,77500000,25812000,491091000,98107000,None,None,None,None,89228000,None,None,151546000,None,151546000,None,25812000,5908000,36675000,None,None,None,248423000,792438000,56745000,None,22218000,USD,-2115000,-2405000,-2115000,716000,-28023000,-28036000,-13000,-31627000,-2159000,4728000,34879000,None,5716000,None,None,33700000,-2433000,2460000,2831000,-13475000,-226000,4502000,18.74,17.2
7,2018-10-31,USD,363649000,53306000,294107000,69542000,16243000,10776000,0,0,12770000,0,53306000,160000,16083000,-151000,3473000,None,None,None,0,304000,0,1994000,-3466000,0,10776000,10590000,None,USD,825210000,7288000,None,9085000,487630000,337580000,5441000,17108000,0,91387000,12864000,1015000,4586000,52243000,448511000,381612000,44847000,-1620000,144026000,668295000,None,329277000,0,81690000,26255000,525277000,66899000,337580000,0,0,0,91387000,0,None,1252000,3334000,156915000,None,26255000,7423000,39119000,None,None,None,247813000,825210000,52243000,None,22220000,USD,None,-45296000,-18408000,-15042000,-4383000,-4408000,-25000,-40233000,10775000,2997000,25813000,5075000,6442000,0,0,45211000,5075000,3606000,3366000,None,-427000,2570000,14.25,18.74
8,2018-07-31,USD,299891000,47633000,240990000,58901000,12009000,5180000,0,0,7792000,0,47433000,1462000,10547000,565000,4217000,None,None,None,0,156000,0,2612000,-3676000,0,5180000,5100000,None,USD,839449000,5361000,None,11149000,513494000,325955000,2492000,23031000,0,80613000,10760000,800000,4218000,49673000,480315000,412052000,44444000,-1807000,143575000,686295000,None,320594000,0,78411000,22419000,547062000,68263000,325955000,0,0,0,80613000,0,None,1433000,2785000,153154000,None,22419000,8268000,33179000,None,None,None,247149000,839449000,49673000,None,22218000,USD,None,41345000,-2723000,218000,-17622000,-17633000,-11000,44572000,5180000,-7417000,12939000,-12314000,5921000,0,0,-31564000,-12314000,4371000,2941000,None,-164000,-7581000,15.14,14.25
9,2018-04-30,USD,245678000,46727000,198120000,47558000,1216000,-1614000,0,0,-2165000,0,46727000,385000,831000,0,3381000,None,None,None,0,0,0,-551000,-2996000,0,-1614000,-1588000,None,USD,809415000,5369000,None,11651000,487931000,321484000,1131000,33074000,0,75432000,9142000,0,4587000,57254000,394043000,322506000,407252000,-399000,146113000,653346000,None,316115000,0,66268000,84746000,518173000,71537000,321484000,0,0,0,75432000,0,None,1442000,3145000,156069000,None,84746000,8011000,93888000,None,None,None,246451000,809415000,57254000,None,22094000,USD,None,14409000,-2586000,227000,33957000,33350000,-607000,24653000,-1614000,3738000,-27026000,-3803000,5526000,0,0,-42351000,-3803000,807000,2813000,None,120000,3858000,19.32,15.14
