,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,109236000,66427000,54846000,54390000,-29182000,-27107000,15987000,None,-29182000,None,50440000,-17145000,-12037000,None,3221000,-2075000,412000,-2809000,None,None,None,-2075000,-14336000,None,-27107000,-27107000,None,USD,616239000,None,None,6100000,348535000,267704000,None,67642000,61000,-666802000,21252000,None,10622000,222479000,114307000,None,None,43000,44385000,539679000,None,267704000,203806000,45031000,195344000,62263000,46665000,None,None,61000,None,-666802000,None,None,32175000,None,76560000,26938000,195344000,38884000,234228000,None,None,None,934402000,616239000,426285000,None,60787000,USD,-116930000,1589000,-131521000,-4805000,278691000,263822000,-34069000,6726000,-27107000,147800000,15499000,1663000,3601000,None,19200000,-2086000,8242000,29597000,9786000,8242000,None,147800000,98.92,
1,2020-03-31,USD,97926000,63834000,47665000,50261000,-14769000,-14867000,14117000,None,-14769000,None,49717000,-1196000,-13573000,None,0,98000,726000,726000,None,None,None,98000,-1922000,None,-14867000,-14867000,None,USD,343327000,None,None,6234000,136151000,207176000,None,49909000,60000,-639695000,16957000,None,1814000,74485000,99647000,None,None,-245000,37626000,280873000,None,207176000,85723000,53962000,None,60469000,49738000,None,None,60000,None,-639695000,None,None,24828000,None,62454000,27867000,None,36504000,36504000,None,None,None,847056000,343327000,160208000,None,60071000,USD,39682000,-5356000,32916000,39682000,287500000,11481000,-42878000,-12264000,-14867000,23766000,-20631000,-1090000,1764000,None,11481000,-11095000,-8292000,18305000,6766000,-8292000,None,23766000,64.35,98.92
2,2019-12-31,USD,108398000,58128000,48126000,60272000,2729000,2652000,12568000,None,2729000,None,45560000,585000,2144000,None,2000,77000,814000,812000,None,None,None,77000,-226000,None,2652000,2652000,None,USD,326110000,777000,None,4025000,131131000,194979000,None,45317000,59000,-624828000,17672000,None,708000,51175000,99396000,None,None,122000,32923000,276141000,None,194979000,125283000,46585000,None,49073000,54079000,None,None,59000,None,-624828000,None,None,17046000,None,49969000,20383000,None,31735000,31735000,None,None,None,819626000,326110000,176458000,None,59396000,USD,-14152000,6017000,-20901000,-37414000,287500000,6418000,-42878000,3478000,2652000,4959000,19442000,242000,1379000,None,6418000,-8985000,-2110000,20247000,6749000,-2110000,None,4959000,59.61,64.35
3,2019-09-30,USD,94657000,56687000,43974000,50683000,-2829000,-2901000,12038000,None,-2829000,None,44649000,3175000,-6004000,None,60000,72000,914000,854000,None,None,None,72000,2321000,None,-2901000,-2901000,None,USD,292647000,885000,None,3594000,125653000,166994000,None,39580000,59000,-627480000,10129000,None,515000,46060000,100266000,None,None,91000,28072000,246598000,None,166109000,110887000,45325000,None,40732000,52499000,None,None,59000,None,-627480000,None,None,17092000,None,46049000,21209000,None,25387000,25387000,None,None,None,794324000,292647000,156947000,None,59029000,USD,-17548000,16030000,-22171000,-23262000,287500000,7034000,-42878000,13649000,-2901000,7882000,23019000,3592000,1348000,None,7034000,-13536000,2400000,16086000,4623000,2400000,None,7882000,58.98,59.61
4,2019-06-30,USD,93255000,51769000,43351000,49904000,-1512000,-1512000,11204000,None,-1512000,None,40565000,353000,-1865000,None,9000,None,786000,777000,None,None,None,None,-424000,None,-1512000,-1512000,None,USD,255081000,967000,None,5989000,109736000,145345000,None,38125000,58000,-624579000,8914000,None,543000,38157000,84214000,None,None,162000,22750000,213156000,None,144378000,93231000,48438000,None,27341000,38950000,None,None,58000,None,-624579000,None,None,18208000,None,41925000,21949000,None,25522000,25522000,None,None,None,769704000,255081000,131388000,None,58589000,USD,-7900000,10687000,-14661000,-5714000,None,8793000,None,11170000,-1512000,-2300000,3568000,-9000,1436000,None,8793000,-4764000,-15809000,13539000,6761000,-15809000,None,-2300000,64.52,58.98
5,2019-03-31,USD,65995000,44350000,32642000,33353000,-22992000,-22992000,9389000,None,-22992000,None,34961000,-11995000,-10997000,None,6000,None,-11995000,751000,None,None,None,None,-12746000,None,-22992000,-22992000,None,USD,214698000,1048000,None,4571000,93736000,120962000,None,45051000,58000,-623067000,6371000,None,353000,40445000,76680000,3703000,3703000,41000,17182000,186028000,None,119914000,85159000,33027000,10685000,22826000,31629000,None,None,58000,None,-623067000,None,None,10440000,None,28670000,14388000,None,17056000,17056000,None,None,None,743930000,214698000,125604000,None,57982000,USD,2186000,-3835000,778000,2186000,None,1962000,None,-9472000,-22992000,-1384000,-4124000,-400000,1344000,None,1962000,-3690000,1821000,23628000,1408000,1821000,None,-1384000,63.5,64.52
6,2018-12-31,USD,76199000,40975000,34664000,41535000,3737000,3686000,8797000,0,3737000,0,32178000,3177000,560000,0,-6000,None,None,None,0,0,0,51000,3178000,0,3686000,3686000,None,USD,206294000,1130000,None,3769000,75019000,131275000,3799000,31504000,57000,-600075000,8731000,None,128000,41826000,66288000,None,None,-13000,17151000,187885000,None,130145000,87201000,35193000,None,19896000,34784000,None,None,57000,None,-600075000,None,None,128000,None,18409000,None,None,4932000,8731000,None,None,None,731306000,206294000,129027000,None,57554000,USD,-5703000,9633000,-6591000,-87753000,-87711000,1957000,None,9299000,3688000,9499000,14133000,1120000,1224000,None,1957000,4004000,-13935000,8399000,888000,-13935000,None,9499000,37.97,63.5
7,2018-09-30,USD,46264000,37505000,24468000,21796000,-34245000,-34245000,7999000,0,-34245000,0,29506000,-18536000,-15709000,0,-1401000,None,None,None,0,0,0,0,-18536000,0,-34245000,-34245000,None,USD,181606000,1212000,None,3035000,66177000,115429000,4028000,31192000,57000,-603763000,7627000,0,141000,32327000,58550000,None,None,-13000,17582000,162671000,None,114217000,81254000,21689000,0,24366000,27358000,0,0,57000,0,-603763000,0,None,141000,None,18935000,None,None,3599000,7627000,None,None,None,719148000,181606000,113581000,None,57364000,USD,-45800000,8375000,-46811000,0,-87711000,22047000,108921000,4610000,-34246000,-28221000,-3457000,-210000,2274000,0,837000,794000,-8048000,27604000,1011000,-8048000,None,-28221000,42.84,37.97
8,2018-06-30,USD,34126000,29084000,19039000,15087000,-59359000,-59359000,6456000,0,-59359000,0,22628000,-45362000,-13997000,0,-3112000,None,None,None,0,0,0,0,-45362000,0,-59359000,-59359000,None,USD,157994000,1294000,None,3012000,131989000,26005000,4250000,20942000,53000,-569517000,12382000,0,10145000,50548000,42507000,77100000,77100000,6000,18212000,128343000,None,24711000,35957000,13914000,77100000,24912000,21565000,0,0,53000,0,-569517000,0,None,10145000,None,29651000,None,77100000,8132000,89482000,None,None,None,595463000,157994000,86505000,None,53186000,USD,-27250000,4766000,-27823000,0,-87711000,22511000,-149000,4480000,-59360000,-12035000,-6723000,-275000,2339000,0,22660000,1616000,-1522000,45713000,573000,-1522000,None,-12035000,22.02,42.84
9,2018-03-31,USD,27277000,26889000,15873000,11404000,-32693000,-32693000,5975000,0,-32693000,0,20914000,-17208000,-15485000,0,-3071000,None,None,None,0,0,0,0,-17208000,0,-32693000,-32693000,None,USD,144699000,1375000,None,2936000,132851000,11848000,4488000,26251000,47000,-510157000,12735000,0,10121000,62583000,43711000,76405000,76405000,None,18860000,114343000,None,10473000,9295000,13043000,76405000,26486000,17460000,0,0,47000,0,-510157000,0,None,10121000,None,30356000,None,76405000,8247000,89140000,None,None,None,521958000,144699000,71878000,None,46636000,USD,-9000000,-4908000,-9514000,0,-87711000,70669000,64157000,-4551000,-32693000,48883000,-12272000,-948000,2244000,0,6512000,342000,7657000,16034000,514000,7657000,None,48883000,4.96,22.02
10,2017-12-31,USD,40294000,27050000,22827000,17467000,-11398000,-11406000,5751000,0,-11398000,0,21299000,-1815000,-9583000,0,-11341000,None,None,None,0,0,0,8000,-10081000,0,-11406000,-11406000,None,USD,95346000,1457000,None,2191000,124494000,-29148000,4687000,13615000,10000,-477613000,11868000,0,11559000,13700000,36085000,76541000,76541000,None,19631000,64156000,None,-30605000,479000,20793000,76541000,26993000,22470000,0,0,10000,0,-477613000,0,None,10102000,None,31190000,None,76541000,7181000,88409000,None,None,None,448455000,95346000,14179000,None,10119000,USD,8500000,2345000,-1419000,0,-87711000,14681000,14681000,6089000,-11406000,1621000,-11641000,488000,2674000,0,570000,3144000,-10445000,1486000,1419000,-10372000,None,1621000,2.36,4.96
11,2017-09-30,USD,27003000,25039000,15131000,11872000,-16035000,-16035000,4914000,0,-16035000,0,20125000,-2868000,-13167000,0,0,None,None,None,0,0,0,0,0,0,-16035000,-16035000,None,USD,87977000,1539000,None,2887000,115935000,-27958000,4142000,7857000,55000,-466207000,10928000,0,11699000,12079000,29411000,75596000,75596000,None,20286000,55992000,None,-29497000,459000,10582000,75596000,29985000,21554000,0,0,55000,0,-466207000,0,None,10160000,None,31985000,None,75596000,6786000,86524000,None,None,None,438194000,87977000,12538000,None,5487000,USD,-9000000,-1705000,-244000,0,None,3990000,3990000,-480000,-16034000,-15272000,-19018000,-593000,2242000,0,570000,-4241000,73000,3112000,244000,-1799000,None,-15272000,0.73,2.36
12,2017-06-30,USD,21327000,26970000,13325000,8002000,-21800000,-21800000,4866000,0,-21800000,0,22104000,-2832000,-18968000,0,0,None,None,None,0,0,0,0,0,0,-21800000,-21800000,None,USD,98543000,1620000,None,2487000,116822000,-18279000,4351000,10338000,50000,-450173000,11306000,0,11746000,27351000,30839000,74677000,74677000,None,21664000,65133000,None,-19899000,443000,9029000,74677000,25823000,20501000,0,0,50000,0,-450173000,0,None,10126000,None,33410000,None,74677000,6955000,85983000,None,None,None,431844000,98543000,27794000,None,50229000,USD,3250000,937000,1838000,0,-8000000,-156000,-460000,507000,-21801000,-12983000,-14665000,1921000,2108000,0,304000,-2182000,1726000,5804000,1412000,-1452000,None,-12983000,0.8,0.73
13,2017-03-31,USD,18977000,27979000,12224000,6753000,-23792000,-23792000,5130000,0,-23792000,0,22849000,-2566000,-21226000,0,0,None,None,None,0,0,0,0,0,0,-23792000,-23792000,None,USD,112714000,1704000,None,4489000,114582000,-1868000,3976000,10211000,50000,-428372000,11604000,0,11853000,40334000,29215000,73763000,73763000,None,20927000,79934000,None,-3572000,3676000,7687000,73763000,23748000,19004000,0,0,50000,0,-428372000,0,None,10149000,None,32780000,None,73763000,7628000,85367000,None,None,None,426454000,112714000,44010000,None,49836000,USD,5250000,-2490000,2607000,0,-8000000,13861000,21595000,-673000,-23792000,-4344000,-20812000,-673000,1709000,0,266000,-2615000,3178000,3871000,2643000,3178000,None,-4344000,1.2,0.8
14,2016-12-31,USD,28912000,23411000,18847000,10065000,-14839000,-14824000,4344000,0,-14839000,0,19067000,-1493000,-13346000,0,-5707000,None,None,None,0,0,0,-15000,-5411000,0,-14824000,-14824000,None,USD,112392000,1784000,None,4187000,118319000,-5927000,2609000,12151000,31000,-404580000,7883000,0,1891000,46678000,31476000,78960000,78960000,-1000,18409000,92092000,None,-7711000,8860000,11172000,78960000,21195000,19325000,0,0,31000,0,-404580000,0,None,107000,None,20300000,None,78960000,5274000,86843000,None,None,None,398623000,112392000,55538000,None,31096000,USD,7318000,-1708000,4575000,0,35000000,35729000,-8000000,-3079000,-14823000,26722000,-13582000,-485000,1526000,0,729000,206000,2251000,4642000,2743000,-2940000,None,26722000,2.15,1.2
