,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,76834000,87084000,51698000,25136000,61000,-14310000,3821000,None,-14818000,None,21354000,None,-10250000,None,4668000,-508000,None,-4668000,None,None,None,-508000,100000,None,-14310000,-14310000,None,USD,482542000,199190000,None,6577000,309119000,173423000,67000,5275000,2000,-127681000,16666000,150760000,1017000,38752000,38784000,None,8000,None,37942000,93633000,None,-176527000,None,36896000,232658000,4103000,7253000,None,None,None,None,None,None,None,1017000,None,388909000,25590000,None,11885000,270335000,None,None,None,None,None,None,None,None,USD,-5354000,-3116000,-5354000,None,-3000,1156000,None,1148000,-14310000,-13000,4185000,None,10211000,None,None,1032000,-659000,6565000,5354000,None,None,None,54.73,
1,2020-03-31,USD,72827000,85321000,48073000,24754000,-3281000,-14437000,4828000,None,-17804000,None,22507000,None,-12494000,None,4610000,-3367000,-4610000,-4610000,None,None,None,-3367000,-700000,None,-14437000,-14437000,None,USD,487851000,203497000,None,5780000,308450000,179401000,166000,4178000,2000,-113371000,16842000,150760000,1058000,38134000,40311000,None,10000,None,38872000,93664000,None,-174856000,None,36237000,229444000,5135000,10354000,None,None,None,None,None,-3956000,None,1058000,None,394187000,26488000,229444000,11553000,268139000,None,None,None,296726000,None,38134000,None,21000000,USD,-4991000,1528000,-4991000,None,-49000,1104000,None,3026000,-14437000,-4684000,-797000,None,9913000,None,1153000,-1435000,-7114000,4470000,4991000,None,None,None,52.29,54.73
2,2019-12-31,USD,73223000,81721000,48090000,25133000,1959000,-6824000,5090000,None,-12342000,None,18784000,None,-8498000,None,4544000,-5518000,-4544000,-4544000,None,None,None,-5518000,700000,None,-6824000,-6824000,None,USD,492391000,207914000,None,10835000,306843000,185548000,266000,4435000,2000,-98934000,19529000,150760000,1281000,42478000,40003000,125000,125000,None,37898000,94538000,None,-173126000,None,29123000,226294000,3700000,8622000,None,None,None,None,None,-3865000,None,1281000,None,397853000,25367000,226294000,10873000,266840000,None,None,None,288345000,None,42478000,None,21000000,USD,-6474000,-2022000,-6474000,-157762000,-211000,990000,2000,-5077000,-6824000,-4488000,996000,None,9757000,None,0,114000,1861000,-1000,6474000,None,None,None,48.68,52.29
3,2019-09-30,USD,74270000,80524000,46441000,27829000,1378000,-8104000,5902000,None,-12205000,None,19039000,None,-6254000,None,4441000,-4101000,-4441000,-4441000,None,None,None,-4101000,-1510000,None,-8104000,-8104000,None,USD,498733000,212249000,None,7643000,313967000,184766000,None,4565000,2000,-92110000,25964000,150790000,1332000,47302000,43564000,334000,334000,None,37677000,96685000,None,-178273000,None,30984000,223208000,3814000,11001000,None,None,None,None,None,-3865000,None,1332000,None,402048000,25779000,223208000,11593000,270403000,None,None,None,280739000,None,47302000,None,21000000,USD,-6563000,-216000,-6563000,-157762000,-216000,-8124000,-8875000,-1278000,-8104000,-5633000,9054000,None,9142000,None,0,-131000,1966000,4589000,6563000,None,None,None,54.94,48.68
4,2019-06-30,USD,76255000,79185000,45156000,31099000,4318000,-6529000,5197000,None,-9068000,None,19754000,None,-2930000,None,4308000,-2539000,-4308000,-4308000,None,None,None,-2539000,-1830000,None,-6529000,-6529000,None,USD,507710000,215436000,None,6315000,323768000,183942000,None,15330000,2000,-84006000,29536000,150922000,1319000,52137000,52368000,548000,548000,None,37037000,102996000,None,-182416000,None,32950000,220189000,3683000,11132000,None,None,None,None,None,-3865000,None,1319000,None,404714000,26293000,220198000,10313000,271400000,None,None,None,271811000,None,52137000,None,20000000,USD,-6513000,-4113000,-6513000,-157762000,-265000,-1445000,-1679000,2952000,-6529000,2823000,10781000,None,9078000,None,0,28000,875000,5462000,6477000,None,None,None,49.93,54.94
5,2019-03-31,USD,60959000,72110000,41668000,19291000,-6028000,-10979000,5550000,None,-15020000,None,18593000,None,-12327000,None,2693000,-4041000,-2693000,-2693000,None,None,None,-4041000,-1176000,None,-10979000,-10979000,None,USD,510495000,203835000,None,6233000,327382000,183113000,None,16649000,2000,-77477000,31261000,166052000,1390000,49598000,56328000,810000,810000,None,37941000,101277000,None,-186774000,None,38206000,217222000,3711000,16542000,None,None,None,None,None,-3865000,None,1390000,None,409218000,26618000,217233000,8833000,271054000,None,None,None,264453000,None,49598000,None,20000000,USD,-161375000,-1458000,-161375000,-157726000,279724000,216871000,-129800000,1061000,-10979000,28850000,-26646000,None,6299000,None,66947000,-117000,-3258000,-19769000,3649000,None,None,None,56.42,49.93
6,2018-12-31,USD,57310000,56377000,38537000,18773000,933000,-10565000,3707000,0,-9834000,0,9441000,None,933000,0,-491000,None,None,None,0,0,0,731000,-19850000,0,-10565000,-10565000,None,USD,270957000,85454000,None,5841000,131948000,139009000,291000,49862000,2000,-66498000,11068000,108213000,2114000,20278000,75728000,None,None,None,11865000,63311000,None,-54658000,None,31025000,45000000,3594000,14830000,None,None,None,None,None,-3825000,None,None,None,None,None,45152000,None,None,None,None,None,209330000,None,20278000,None,19000000,USD,None,4385000,-14750000,-1000000,18228000,19245000,84000,-2771000,-10565000,11082000,6587000,None,4128000,None,657000,19000,-2421000,13211000,1504000,None,None,None,63.76,56.42
7,2018-09-30,USD,54418000,52654000,35058000,19360000,1764000,10416000,3380000,0,9578000,0,10120000,None,1764000,0,-232000,None,None,None,0,0,0,-838000,7814000,0,10416000,10416000,None,USD,234536000,75538000,None,412000,136939000,97597000,0,82460000,2000,-55933000,2785000,90919000,4494000,13947000,107314000,None,None,None,11025000,52560000,None,-68860000,0,32119000,26500000,3613000,10553000,0,0,0,0,0,-3825000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000,USD,None,-3106000,-17352000,-1000000,18235000,18544000,-108000,3986000,10416000,6674000,5482000,None,3633000,0,0,-225000,-2840000,-6870000,920000,None,None,None,81.19,63.76
8,2018-06-30,USD,48598000,47848000,32410000,16188000,750000,-29026000,2922000,0,-34945000,0,8550000,None,750000,-4048000,-120000,None,None,None,0,0,0,-5919000,-35695000,0,-29026000,-29026000,None,USD,199702000,69080000,None,1918000,119522000,80180000,0,86680000,2000,-66349000,2551000,78153000,2629000,7273000,108411000,9643000,9643000,None,10866000,38974000,None,-67053000,0,23651000,8000000,3388000,13718000,0,0,0,0,0,-3825000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19000000,USD,None,-287000,-9524000,-1000000,7740000,8993000,-108000,-4013000,-29026000,3021000,3552000,None,3521000,0,0,-717000,-910000,34519000,1442000,None,None,None,63.83,81.19
9,2018-03-31,USD,43944000,45773000,31664000,12280000,-1829000,-18094000,2213000,0,-15444000,0,7848000,None,-1829000,4048000,-63000,None,None,None,0,0,0,2650000,-13615000,0,-18094000,-18094000,None,USD,183417000,65534000,None,623000,77644000,105773000,0,51346000,2000,-37323000,3462000,74584000,487000,4252000,73362000,1894000,1894000,None,9873000,32939000,None,-34345000,0,23166000,820000,2671000,13809000,0,0,0,0,0,-3825000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19000000,USD,None,-1770000,-2182000,-1000000,-254000,-4205000,-2005000,3793000,-18094000,-6178000,209000,None,3362000,0,0,124000,-3285000,15372000,1122000,None,None,None,38.8,63.83
