,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,733600000,308100000,327900000,405700000,110500000,63000000,114000000,None,90900000,200000,172400000,12900000,97600000,16600000,19600000,27700000,None,-19600000,None,5100000,None,27700000,7800000,None,63200000,63000000,None,USD,6645000000,645300000,None,106200000,3431900000,3211900000,317900000,639500000,200000,1672400000,584800000,3807500000,687100000,196400000,1170500000,268200000,268200000,-198300000,249800000,1120000000,None,-1240900000,None,478800000,1564500000,338600000,262800000,None,None,200000,None,1672400000,None,None,359900000,None,462500000,112100000,1564500000,379000000,2261400000,None,None,None,1737600000,6645000000,196400000,None,250200000,USD,-13000000,-46200000,-13000000,-100000,-146100000,-160500000,-10400000,-11000000,63200000,-26000000,147500000,-16800000,49500000,None,-4000000,-12800000,67800000,42800000,12900000,67800000,5600000,-20400000,43.19,
1,2020-03-31,USD,792300000,342700000,351300000,441000000,99900000,61900000,118200000,None,79400000,1000000,204700000,1600000,98300000,16900000,20500000,17500000,None,-20500000,None,2900000,None,17500000,-1300000,None,61900000,61900000,None,USD,6705700000,681200000,None,102000000,3603400000,3101300000,310100000,690500000,200000,1615400000,576900000,3783600000,673700000,216800000,1226900000,280700000,280700000,-230900000,244800000,1192600000,None,-1363500000,None,546600000,1694700000,327200000,255700000,None,None,200000,None,1615400000,None,None,337400000,None,466100000,104900000,1694700000,371700000,2376500000,None,None,None,1716600000,6705700000,216800000,None,249700000,USD,-214400000,-25500000,-214400000,-197700000,137300000,99600000,-400000,-11500000,61900000,40900000,155700000,11200000,50200000,None,-37300000,-20400000,47900000,30400000,16700000,47900000,-13300000,27600000,31.83,43.19
2,2019-12-31,USD,824000000,719000000,364000000,460000000,144400000,279300000,119600000,None,75300000,1400000,219000000,None,105000000,None,20200000,-204100000,None,-20200000,None,None,None,-204100000,-9500000,None,279400000,279300000,None,USD,6640700000,678700000,None,102300000,3520300000,3119000000,45400000,198100000,200000,1602800000,591700000,3680600000,687900000,189200000,1190300000,219000000,219000000,-176800000,381700000,1211800000,None,-1240300000,None,608200000,1624200000,312100000,159300000,None,None,None,None,None,None,None,212400000,None,5428900000,114100000,1624200000,96500000,2330000000,None,None,None,1692800000,None,189200000,None,253000000,USD,-206600000,115700000,-206600000,300000,88100000,84600000,-4200000,12800000,279300000,4600000,122200000,None,48900000,None,0,-23000000,-112800000,-198700000,14400000,None,None,None,41.69,31.83
3,2019-09-30,USD,783900000,330300000,361900000,422000000,98600000,78100000,112300000,None,78900000,1300000,196900000,6900000,91700000,17500000,19700000,800000,None,-19700000,None,3600000,None,800000,3300000,None,78100000,78100000,None,USD,5803900000,627300000,None,71000000,3015800000,2786800000,75700000,536300000,200000,1332300000,333500000,3534400000,217700000,184600000,1059300000,236300000,236300000,-207300000,229000000,1061800000,None,-1374900000,None,516100000,1514000000,290100000,286700000,None,None,200000,None,1332300000,None,None,351400000,None,4742100000,109000000,1514000000,366800000,1956500000,None,None,None,1661600000,5803900000,184600000,None,249100000,USD,-48900000,-43600000,-48900000,-32800000,10800000,-97900000,-2900000,-13000000,78100000,-9500000,137300000,10900000,50200000,None,-105800000,-5700000,24500000,22900000,16100000,24500000,-5500000,-15000000,38.81,41.69
4,2019-06-30,USD,854800000,350900000,394200000,460600000,136000000,94600000,119600000,None,115400000,1300000,208700000,26300000,109700000,19700000,20600000,20800000,None,-20600000,None,2900000,None,20800000,23400000,None,94600000,94600000,None,USD,5876100000,654500000,None,87100000,3050800000,2824000000,78700000,541800000,300000,1354400000,352900000,3541900000,210600000,199600000,1075200000,229300000,229300000,-180400000,214100000,1121400000,None,-1372400000,None,546800000,1513600000,287900000,304100000,None,None,300000,None,1354400000,None,None,303100000,41100000,4754700000,109100000,1513600000,383300000,1975600000,None,None,None,1649700000,5876100000,199600000,None,251800000,USD,-10200000,2000000,-10200000,13800000,-153600000,-185000000,-200000,9200000,94600000,-17300000,177900000,-11300000,53600000,None,-31200000,14200000,6100000,18700000,24000000,6100000,200000,-17100000,45.11,38.81
5,2019-03-31,USD,801600000,352000000,363300000,438300000,97100000,62300000,118200000,None,75200000,100000,210200000,10800000,86300000,20100000,21900000,12800000,None,-21900000,None,3500000,None,12800000,7300000,None,62400000,62300000,None,USD,5920100000,697500000,None,78400000,3177100000,2741700000,74700000,569400000,300000,1289400000,344200000,3540800000,200100000,216700000,1090000000,246800000,246800000,-182500000,212800000,1147800000,None,-1496600000,None,549000000,1647800000,303700000,273800000,None,None,300000,None,1289400000,None,None,279900000,41300000,4772300000,95100000,1647800000,364600000,2087100000,None,None,None,1634500000,5920100000,216700000,None,251500000,USD,-9600000,30800000,-9600000,4900000,-72800000,-94300000,-7100000,-43600000,62400000,43700000,147600000,1300000,54500000,None,-14400000,-6800000,-13800000,19200000,14500000,-13800000,500000,44200000,40.4,45.11
6,2018-12-31,USD,2366200000,345600000,350300000,435200000,90400000,86500000,112600000,0,68000000,300000,212400000,800000,89600000,1599400000,22400000,None,None,None,-17700000,1900000,0,-18800000,-60600000,0,86800000,86500000,None,USD,5776400000,744300000,None,72800000,3101600000,2674400000,112600000,466900000,300000,1268300000,334100000,3540000000,190100000,172500000,1055200000,256200000,256200000,-186100000,212900000,1089100000,None,-1609900000,None,545800000,1712300000,298000000,332100000,None,None,300000,None,1268300000,None,None,148800000,41300000,4687300000,None,1712300000,221500000,2046400000,None,None,None,1591900000,5776400000,172500000,None,250900000,USD,179000000,-16600000,-36800000,-22300000,-41300000,-93600000,-200000,-34800000,86800000,-28500000,101900000,-4800000,56100000,None,-52100000,-16000000,-35200000,31600000,14500000,-35200000,-4400000,-32900000,32.91,40.4
7,2018-09-30,USD,795200000,349500000,368300000,426900000,86800000,73700000,114100000,0,64100000,200000,211300000,9400000,77400000,-773600000,22700000,None,None,None,0,2500000,0,-9600000,-33400000,0,73700000,73700000,None,USD,5782200000,780000000,None,66300000,3133600000,2648400000,126700000,443600000,300000,1227200000,367700000,3548600000,186300000,205400000,979300000,226100000,226100000,-153900000,206100000,1061200000,None,-1680200000,0,503200000,1786600000,286300000,309600000,2648600000,0,300000,0,1227200000,0,None,149100000,37200000,4721000000,None,1786600000,241000000,2154300000,None,None,None,1574800000,5782200000,205400000,None,251100000,USD,None,-17400000,-1228000000,-1210900000,721900000,745400000,-7100000,1400000,73700000,-365600000,117000000,2400000,58800000,0,30600000,-7200000,-9800000,16500000,17100000,-9800000,None,-365600000,43.46,32.91
8,2018-06-30,USD,785500000,333200000,362800000,422700000,97800000,64100000,110100000,0,79200000,200000,202200000,8300000,89500000,-766800000,18600000,None,None,None,0,2200000,0,15100000,-13100000,0,64100000,64100000,None,USD,4858300000,422200000,None,58000000,2340700000,2517400000,77500000,404200000,200000,1153900000,337500000,2682100000,174500000,571000000,717000000,400000,400000,-161200000,192600000,1386900000,None,-586900000,0,475500000,1286200000,282400000,312400000,2517600000,0,200000,0,1153900000,0,None,139200000,35300000,3471400000,None,1286200000,260000000,1623700000,None,None,None,1524500000,4858300000,571000000,None,249900000,USD,None,20300000,-31300000,-13500000,162700000,157300000,-1800000,14100000,64100000,310900000,184900000,-7600000,51300000,0,-3600000,-100000,23400000,33500000,17800000,23400000,-14400000,296500000,32.84,43.46
9,2018-03-31,USD,742200000,332000000,346000000,396200000,76200000,58500000,109300000,0,66700000,200000,203700000,12000000,64200000,17400000,9500000,None,None,None,0,1600000,0,8000000,-900000,0,58700000,58500000,None,USD,4673700000,466200000,None,51900000,2173800000,2499700000,86000000,434200000,200000,1103600000,335200000,2726400000,172200000,274500000,1146800000,430500000,1122300000,-101100000,184300000,1124600000,None,-692900000,0,509100000,691800000,289100000,282100000,2499900000,0,200000,0,1103600000,0,None,136600000,35600000,3549100000,None,691800000,249200000,1027000000,None,None,None,1497000000,4673700000,274500000,None,248700000,USD,179000000,27000000,-353500000,-514300000,208000000,180300000,-1800000,-64300000,58700000,-90300000,82900000,-10700000,49000000,0,-27700000,-21700000,-29400000,10000000,18200000,-29400000,6300000,-84000000,35.88,32.84
