,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,16335000,8661000,None,16335000,7674000,6211000,None,None,7674000,None,8661000,None,7674000,1388000,1188000,1463000,13645000,12457000,None,None,None,1463000,None,None,6211000,6211000,None,USD,1521642000,1727000,None,72014000,1338836000,182806000,None,1318540000,42352000,140478000,7601000,15131000,1037654000,315480000,1326141000,None,None,-24000,23119000,1405844000,43497000,165948000,977000,1017373000,10000000,None,7601000,None,None,42352000,None,140478000,None,None,32324000,None,115798000,2695000,None,12695000,12695000,None,None,None,None,1521642000,316457000,None,8310793,USD,-93689000,4029000,-94004000,151000,None,191247000,192892000,None,6211000,103496000,6253000,-1589000,4591000,-1662000,17000,None,None,-2960000,466000,None,None,103496000,18.21,
1,2020-04-30,USD,16494000,None,None,None,None,6211000,None,None,7674000,None,5603000,None,None,1388000,1188000,1463000,13645000,12457000,None,None,None,1463000,None,None,6211000,6211000,None,USD,None,None,None,None,None,None,None,None,42352000,140478000,7601000,None,1037654000,None,None,None,None,-24000,25781000,None,None,165948000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,4029000,-94004000,None,None,None,192892000,None,None,None,6253000,None,None,None,None,None,None,-3285000,0,None,None,None,19.35,18.21
2,2020-03-31,USD,14560000,8286000,None,14560000,6274000,5049000,None,None,6274000,None,8286000,None,6274000,1465000,1251000,1225000,14096000,12845000,None,None,None,1225000,None,None,5049000,5049000,None,USD,1323101000,1828000,316615000,82472000,1145093000,178008000,None,1125648000,42258000,135929000,6686000,15131000,931685000,211540000,1132334000,None,None,-179000,23072000,1206233000,45465000,161049000,969000,911252000,10000000,None,6686000,None,None,42258000,None,135929000,None,None,31372000,None,116868000,2759000,None,12759000,12759000,None,None,None,None,1323101000,212509000,None,8309193,USD,-4146000,-140000,-4988000,14000,10000000,48464000,41171000,None,5049000,49297000,5821000,-1325000,424000,-1673000,-1034000,None,None,1673000,856000,None,None,49297000,18.29,19.35
3,2020-01-31,USD,15849000,None,None,None,None,5049000,None,None,6274000,None,5440000,None,None,1465000,1251000,1225000,14096000,12845000,None,None,None,1225000,None,None,5049000,5049000,None,USD,None,None,None,None,None,None,None,None,42258000,135929000,6686000,None,931685000,None,None,None,None,-179000,25831000,None,None,161049000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-140000,-4988000,-485000,10000000,None,41171000,None,None,None,5821000,None,None,None,None,None,None,1415000,0,None,None,None,28.16,18.29
4,2019-12-31,USD,16740000,8373000,None,16740000,8367000,6652000,None,None,8367000,None,8373000,None,8367000,1523000,1189000,1715000,14154000,12965000,None,None,None,1715000,-229000,None,6652000,6652000,None,USD,1270542000,1930000,257588000,76249000,1094889000,175653000,None,1084477000,43246000,132553000,7589000,15131000,937030000,158161000,1092066000,None,None,-146000,22588000,1152178000,47500000,158592000,953000,916815000,None,1913000,7589000,None,None,43246000,None,132553000,None,None,31215000,None,118364000,2823000,None,2823000,2823000,None,None,None,None,1270542000,159114000,None,8346394,USD,-47901000,36000,-47873000,367000,10000000,14334000,16250000,None,6652000,-24164000,9375000,1382000,553000,-2086000,170000,None,None,788000,339000,None,None,-24164000,29.74,28.16
5,2019-10-31,USD,16094000,None,None,None,None,6652000,None,None,8367000,None,5597000,None,None,1523000,1189000,1715000,14154000,12965000,None,None,None,1715000,None,None,6652000,6652000,None,USD,None,None,None,None,None,None,None,None,43246000,132553000,7589000,None,937030000,None,None,None,None,-146000,25411000,None,None,158592000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,36000,-47873000,-485000,10000000,None,16250000,None,None,None,9375000,None,None,None,None,None,None,393000,0,None,None,None,26.5,29.74
6,2019-09-30,USD,16748000,-62386000,None,16748000,79134000,6335000,None,None,79134000,None,-62386000,None,79134000,1489000,1233000,1639000,14342000,13109000,None,None,None,-10163000,-184000,None,89297000,6335000,None,USD,1247132000,2031000,261282000,78346000,1076065000,171067000,None,1068227000,43030000,127987000,3131000,15131000,911486000,166984000,1076065000,None,None,50000,22830000,1136548000,40173000,153905000,958000,890260000,None,1977000,7838000,None,None,43030000,None,127987000,None,None,30419000,None,110584000,None,None,None,None,None,None,None,None,1247132000,167942000,None,8329419,USD,-23638000,-3305000,-22435000,1314000,10000000,-5928000,-4308000,None,6335000,-27820000,543000,-592000,-219000,-1252000,-368000,None,None,-1676000,111000,None,None,-27820000,27.5,26.5
7,2019-07-31,USD,15891000,None,None,None,None,6335000,None,None,7974000,None,5843000,None,None,1489000,1233000,1639000,14342000,13109000,None,None,None,1639000,None,None,6335000,6335000,None,USD,None,None,None,None,None,None,None,None,43030000,127987000,3131000,None,911486000,None,None,None,None,50000,22830000,None,None,153905000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-40000,-22435000,1019000,10000000,None,-4308000,None,None,None,543000,None,None,None,None,None,None,-2443000,0,None,None,None,27.64,27.5
8,2019-06-30,USD,16475000,8967000,None,16475000,7508000,5956000,None,None,7508000,None,8967000,None,7508000,1496000,1248000,1552000,14142000,12894000,None,None,None,1552000,-410000,None,5956000,5956000,None,USD,1247310000,2144000,276317000,81184000,1081041000,166269000,None,1072535000,43398000,122904000,8506000,15131000,898374000,174300000,1081041000,None,None,-33000,23090000,1134176000,43983000,148994000,951000,877741000,None,2022000,8506000,None,None,43398000,None,122904000,None,None,28786000,None,113134000,None,None,None,None,None,None,None,None,1247310000,175251000,None,8340928,USD,-12156000,-18000,-10459000,2377000,10000000,-1156000,941000,None,5956000,-3751000,7864000,1599000,640000,-2084000,-13000,None,None,-331000,680000,None,None,-3751000,29.88,27.64
9,2019-03-31,USD,16668000,9277000,None,16668000,7391000,6114000,None,None,7391000,None,9277000,None,7391000,1501000,1113000,1277000,13802000,12728000,None,None,None,1277000,657000,None,6114000,6114000,None,USD,1240569000,2264000,270421000,65737000,1078231000,162338000,None,1071594000,43351000,119032000,6637000,15131000,899682000,178164000,1078231000,None,None,-45000,22852000,1121824000,47429000,144943000,937000,876986000,None,2349000,6637000,None,None,43351000,None,119032000,None,None,31069000,None,118745000,None,None,None,None,None,None,None,None,1240569000,179101000,None,8336419,USD,-25089000,-19000,-25465000,6900000,None,35381000,36417000,None,6114000,12843000,2927000,-2884000,348000,-1248000,212000,None,None,-651000,376000,None,None,12843000,27.98,29.88
