,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,46481000.0,None,None,None,None,10401000.0,None,None,12380000.0,None,22786000.0,None,None,2200000.0,18177000.0,1979000,51661000,33484000,None,None,None,1979000.0,None,None,10401000.0,8439000.0,None,USD,9129841000.0,23207000.0,812140000,None,8497010000.0,632831000.0,None,None,295820000.0,237796000.0,6129000,41660000,7218395000.0,720109000.0,None,None,None,-6530000.0,32996000.0,None,798860000.0,451885000.0,563777000,18534000.0,395552000.0,None,3771000.0,None,None,None,None,None,None,None,None,None,None,23426000,None,None,None,None,None,None,None,None,None,None,None,USD,-430396000.0,4428000,-430396000.0,5443000.0,65518000.0,112343000.0,48712000.0,-942000.0,10401000.0,-285186000.0,32867000.0,None,1017000.0,-1962000,-45000.0,None,3572000.0,12650000.0,1262000.0,None,None,None,22.88,
1,2020-03-31,USD,48238000.0,None,None,None,None,12895000.0,None,None,16101000.0,None,20742000.0,None,None,4521000.0,29280000.0,3206000,64202000,34922000,None,None,None,3206000.0,None,None,12895000.0,10933000.0,None,USD,8990061000.0,23693000.0,1774466000,None,8375681000.0,614380000.0,None,None,295587000.0,229382000.0,3078000,41659000,7011317000.0,1004969000.0,None,None,30000000,-14049000.0,32174000.0,None,588012000.0,432949000.0,275170000,22106000.0,300000000.0,None,4462000.0,None,None,None,None,None,-35402000,None,None,None,None,23244000,None,None,None,None,None,None,22783000,None,None,None,None,USD,-514236000.0,-13816000,-514236000.0,5600000.0,-25000000.0,1116212000.0,1145662000.0,-124000.0,12895000.0,606273000.0,4297000.0,None,1005000.0,-1962000,-2579000.0,None,220000.0,1429000.0,1023000.0,None,None,None,25.0,22.88
2,2019-12-31,USD,46557000.0,26629000,None,45829000,None,14604000.0,None,None,15710000.0,None,22079000.0,None,19200000,1965000.0,32408000.0,1106000,65474000,33066000,None,None,None,1106000.0,-3490000,None,14604000.0,12642000.0,None,USD,7765810000.0,24194000.0,872648000,22326000,7144529000.0,621281000.0,None,None,295349000.0,218449000.0,7576000,41660000,6633495000.0,396217000.0,7116510000,0,0,1132000.0,32158000.0,565153000,444826000.0,439348000.0,248782000,22326000.0,355000000.0,4250000,5490000.0,None,None,None,None,None,-32823000,None,None,None,None,23644000,None,None,None,None,None,None,23095000,None,None,None,None,USD,-562736000.0,3590000,-562736000.0,-8800000.0,25000000.0,563182000.0,540008000.0,-322000.0,14604000.0,19907000.0,19461000.0,None,935000.0,-1962000,-321000.0,None,-169000.0,6917000.0,2237000.0,None,None,None,26.55,25.0
3,2019-09-30,USD,46559000.0,26277000,None,47166000,None,16334000.0,None,None,19393000.0,None,21298000.0,None,20889000,2964000.0,35416000.0,3059000,67732000,32316000,None,None,None,3059000.0,-1496000,None,16334000.0,14372000.0,None,USD,7198449000.0,24697000.0,852314000,22157000,6593942000.0,604507000.0,None,None,294188000.0,205807000.0,4529000,41660000,6072913000.0,378537000.0,6565376000,330000000,330000000,-530000.0,30852000.0,559606000,453197000.0,422086000.0,261180000,22157000.0,330000000.0,4250000,5705000.0,None,None,None,None,None,-32502000,None,None,None,None,24037000,None,None,None,None,None,None,21480000,None,None,None,None,USD,-396629000.0,5318000,-396629000.0,7600000.0,-5000000.0,299536000.0,307622000.0,-1612000.0,16334000.0,-74321000.0,22772000.0,None,904000.0,-1962000,-1247000.0,None,-200000.0,370000.0,1676000.0,None,None,None,27.2,26.55
4,2019-06-30,USD,43282000.0,26036000,0,43994000,0,14691000.0,0,0,16409000.0,0,19331000.0,0,17958000,4512000.0,35036000.0,1718000,66339000,31303000,0,0,0,1718000.0,-1549000,0,14691000.0,13541000.0,0,USD,6846003000.0,25199000.0,889337000,21957000,6257022000.0,588981000.0,0,0,293837000.0,191435000.0,4316000,41660000,5720082000.0,452797000.0,6228273000,0,0,-360000.0,30268000.0,597368000,408302000.0,405980000.0,264466000,21957000.0,335000000.0,3024000,7671000.0,0,0,0,0,0,-31255000,0,0,0,0,24433000,0,0,0,0,0,0,19182000,0,0,0,0,USD,-278053000.0,4054000,-497386000.0,-495219000.0,-63250000.0,462311000.0,668602000.0,1961000.0,14691000.0,214358000.0,30100000.0,0,901000.0,-1150000,-311000.0,0,1890000.0,3679000.0,1511000.0,0,0,0,26.8,27.2
5,2019-03-31,USD,43441000.0,24749000,0,43818000,0,14564000.0,0,0,17146000.0,0,19325000.0,0,19069000,4580000.0,32530000.0,2582000,62902000,30372000,0,0,0,2582000.0,-1923000,0,14564000.0,13885000.0,0,USD,6344010000.0,25701000.0,730634000,23847000,5847453000.0,496557000.0,0,0,293697000.0,177894000.0,4315000,41660000,5390742000.0,237567000.0,5818372000,0,3250000,502000.0,30145000.0,368675000,467016000.0,390728000.0,238722000,23847000.0,394966000.0,3124000,5797000.0,0,0,0,0,0,-30944000,0,0,0,0,24766000,0,0,0,0,0,0,16940000,0,0,0,0,USD,-219333000.0,-19323000,-219333000.0,4600000.0,-6000000.0,277399000.0,284323000.0,-2000.0,14564000.0,53926000.0,-4140000.0,0,906000.0,-679000,-433000.0,0,-3145000.0,-3769000.0,656000.0,0,0,0,26.0,26.8
6,2018-12-31,USD,41688000.0,23769000,0,41688000,0,15120000.0,0,0,15385000.0,0,22385000.0,0,17919000,1384000.0,0.0,None,None,None,332000,0,0,265000.0,-2534000,0,15120000.0,14441000.0,0,USD,6035655000.0,26203000.0,None,20702000,5556301000.0,440886000.0,0,2920000,293355000.0,164009000.0,3513000,41660000,5187974000.0,189985000.0,5552788000,0,34916000,-1331000.0,5126000.0,307933000,466759000.0,373023000.0,0,7299000.0,1945.12,3424000,5050461000.0,0,0,0,0,0,-30511000,0,0,0,0,0,0,0,0,0,0,0,15364000,0,0,0,0,USD,-75156000.0,9879000,-457789000.0,-7792000.0,141750000.0,434097000.0,294928000.0,1682000.0,15120000.0,3450000.0,27142000.0,0,884000.0,-679000,33328000.0,0,0.0,4188000.0,529000.0,0,0,0,25.9769,26.0
7,2018-09-30,USD,41804000.0,24131000,0,41804000,0,14311000.0,0,0,16118000.0,0,20552000.0,0,17673000,3579000.0,0.0,None,None,None,0,0,0,1807000.0,-1555000,0,14311000.0,13632000.0,0,USD,5573288000.0,26706000.0,None,18470000,5105668000.0,429152000.0,0,3138000,292821000.0,149569000.0,4754000,41659000,4812651000.0,186535000.0,5066049000,0,19955.95,657000.0,4979000.0,294154000,393139000.0,360787000.0,0,8066000.0,34865000.0,3576000,4754588000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,-101710000.0,5748000,-309538000.0,-400000.0,-2500000.0,308560000.0,313386000.0,1407000.0,14311000.0,22168000.0,23146000.0,0,896000.0,-679000,0.0,0,0.0,1650000.0,498000.0,0,0,0,26.24,25.9769
8,2018-06-30,USD,40878000.0,23682000,0,40878000,0,14592000.0,0,0,15560000.0,0,19808000.0,None,17196000,3874000.0,-43631.79,None,None,None,0,0,0,968000.0,-1636000,0,14592000.0,13830000.0,None,USD,5233936000.0,27208000.0,None,16187000,4780042000.0,415462000.0,0,3138000,291608000.0,135937000.0,4691000,41659000,4605058000.0,164367000.0,4740537000,7150536.20,7150536.20,1045000.0,4875000.0,266462000,288674000.0,346595000.0,0,7835000.0,34814000.0,3576000,4441202000.0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-46542000.0,4344000,-298171000.0,313000.0,-40000000.0,299976000.0,342247000.0,-310000.0,14592000.0,19334000.0,17529000.0,None,887000.0,-762000,9607.45,0,0.0,1880000.0,534000.0,None,None,None,26.2001,26.24
9,2018-03-31,USD,37156000.0,22243000,0,37156000,0,10401000.0,0,0,13306000.0,0,18746000.0,None,14913000,3497000.0,1753000.0,None,None,None,0,0,0,2905000.0,-1607000,0,10401000.0,10401000.0,None,USD,4906753000.0,26173000.0,None,15012000,4466524000.0,401789000.0,4693000,4098955000,290718000.0,122107000.0,4693000,38724000,4354967000.0,145033000.0,4427067000,321527000,321527000,1645000.0,4725000.0,236814000,245350000.0,336892000.0,None,7526000.0,34764000.0,3576000,4098955000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-23011000.0,-10405000,-144531000.0,-3000000.0,-31200000.0,118530000.0,111344000.0,129000.0,10401000.0,-11120000.0,14881000.0,None,842000.0,-762000,521000.0,None,-1299000.0,3193000.0,221000.0,None,None,None,25.85,26.2001
