,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,3176327000,709067000,2019514000,1156813000,447746000,338678000,None,None,439308000,None,656520000,None,447746000,52547000,8438000,100630000,None,-8438000,None,None,None,100630000,None,None,338678000,338678000,None,USD,6611075000,None,None,259730000,4915345000,1695730000,None,291645000,1396000,3953795000,96810000,None,39623000,1206366000,2157054000,380000000,380000000,-6335000,1148225000,3030112000,None,1695730000,None,26757000,536051000,1688508000,1485409000,None,None,1396000,None,3953795000,-3277215000,None,2281489000,None,3429714000,2411672000,536051000,2222240000,2758291000,None,None,None,1024089000,6611075000,1206366000,None,116180000,USD,-56650000,308333000,-56650000,326000,-104772000,-107663000,-1984000,82961000,338678000,744893000,909206000,-572000,52547000,-40644000,39737000,217405000,None,-7185000,56976000,None,None,744893000,131.79,
1,2020-03-31,USD,1959188000,548711000,1297939000,661249000,112538000,83777000,None,None,107489000,None,497275000,None,112538000,51436000,5049000,23712000,None,-5049000,None,None,None,23712000,None,None,83777000,83777000,None,USD,6002405000,124492000,None,237345000,4648682000,1353723000,1796000,285792000,1391000,3655761000,78164000,None,25888000,461473000,1494125000,30000000,30000000,-5051000,1143189000,2480239000,None,1353723000,None,25888000,989074000,1905913000,1178333000,None,None,1391000,None,3655761000,-3277215000,None,2228597000,None,3371786000,2368834000,989074000,2163687000,3154557000,None,None,None,978837000,6002405000,461473000,None,115592000,USD,-29328000,242746000,-29328000,320000,621500000,322628000,-5407000,-20129000,83777000,377232000,83932000,832000,51436000,-40849000,-252616000,-303132000,None,8273000,29648000,None,None,377232000,84.55,131.79
2,2019-12-31,USD,2191785000,551363000,1449984000,741801000,190438000,144179000,None,None,185601000,None,499969000,None,190438000,51394000,4837000,41422000,None,-4837000,None,None,None,41422000,-7737000,None,144179000,144179000,None,USD,5289268000,124492000,None,100865000,3722145000,1567123000,153000,311524000,1389000,3612833000,76222000,93200000,24040000,84241000,1247600000,30000000,30000000,199000,1163956000,1787887000,91000,1442631000,None,None,366480000,1602781000,1012826000,None,None,1389000,None,3612833000,-3013996000,None,2212933000,None,3501381000,2312686000,366480000,2001162000,2367795000,None,None,None,966698000,5289268000,84241000,None,118165000,USD,-72936000,-2679000,-72936000,172000,-248467000,-322852000,-28000,13385000,144179000,1601000,397389000,-9107000,51394000,-41453000,-32904000,209991000,None,3611000,73108000,None,None,1601000,93.44,84.55
3,2019-09-30,USD,1984144000,532423000,1289904000,694240000,161817000,122133000,None,None,156917000,None,482604000,None,161817000,49819000,4900000,34784000,None,-4900000,None,None,None,34784000,-7842000,None,122133000,122133000,None,USD,5429296000,124492000,None,228978000,3937474000,1491822000,1888000,273922000,1388000,3510107000,75748000,None,22892000,82640000,1251723000,30000000,30000000,73000,1143071000,2005498000,105000,1491822000,None,28597000,613885000,1812772000,947801000,None,None,1388000,None,3510107000,-2970654000,None,2133238000,None,3276309000,2269459000,613885000,2069978000,2685751000,None,None,None,950908000,5429296000,82640000,None,118480000,USD,-59096000,-28293000,-59096000,1706000,154064000,-27735000,-651000,18256000,122133000,-21378000,65453000,-4282000,49819000,-41518000,-139630000,-79622000,None,5698000,60802000,None,None,-21378000,90.44,93.44
4,2019-06-30,USD,2353782000,533188000,1533037000,820745000,287557000,219210000,None,None,282381000,None,484190000,None,287557000,48998000,5176000,63171000,None,-5176000,None,None,None,63171000,-5176000,None,219210000,219210000,None,USD,5312719000,124492000,None,219543000,3767777000,1544942000,3592000,268424000,1386000,3429492000,73951000,None,23394000,104018000,1271386000,22500000,22500000,882000,1135310000,1937808000,276000,1544942000,None,29259000,466290000,1733150000,980462000,None,None,1386000,None,3429492000,-2814912000,None,2091439000,None,3226749000,2224185000,466290000,2026509000,2496391000,None,None,None,928094000,5312719000,104018000,None,119723000,USD,-54502000,-55660000,-54502000,253000,-139158000,-305593000,-113000,3294000,219210000,1803000,361898000,-4237000,48998000,-42105000,-124217000,148182000,None,5405000,54755000,None,None,1803000,108.8,90.44
5,2019-03-31,USD,1822220000,511576000,1207236000,614984000,103408000,76832000,None,None,98478000,None,465809000,None,103408000,45767000,4930000,21646000,None,-4930000,None,None,None,21646000,-4930000,None,76832000,76832000,None,USD,5437201000,124492000,None,215184000,3951625000,1485576000,6878000,264124000,1380000,3252387000,76140000,None,24129000,102215000,1311934000,21300000,21250000,3067000,1120869000,2079085000,1676000,1485576000,None,30651000,605695000,1881332000,1026560000,None,None,1380000,None,3252387000,-2635996000,None,2086950000,None,3207819000,2221980000,605695000,2027118000,2639691000,None,None,None,864738000,5437201000,102215000,None,120674000,USD,-28427000,114074000,-28427000,358000,218603000,57367000,-3026000,-37293000,76832000,15916000,-13024000,19208000,45767000,-37623000,-120587000,-291790000,None,22885000,28785000,None,None,15916000,97.76,108.8
6,2018-12-31,USD,2133271000,535951000,1416938000,716333000,180382000,136851000,0,0,175936000,0,489983000,None,180382000,45968000,4446000,None,None,None,0,0,0,39085000,-4446000,0,136851000,136851000,None,USD,3085262000,31300000,None,238939000,1523442000,1561820000,107038000,1768000,1375000,3213895000,174965000,93192000,28685000,86299000,938107000,29946000,26250000,3814000,1134464000,1794399000,3222000,1561820000,None,36018000,381100000,1589542000,908211000,None,None,1375000,None,3213895000,-2480677000,None,None,None,1134464000,29270000,410370000,67927000,585335000,None,None,None,823413000,3085262000,86299000,None,121828000,USD,None,-4267000,-84650000,187000,-167021000,-241328000,-745000,40074000,136851000,14997000,340975000,1962000,45968000,-37928000,-35639000,147731000,None,12730000,84837000,None,None,14997000,83.44,97.76
7,2018-09-30,USD,1881625000,499984000,1228493000,653132000,153148000,116784000,0,0,148688000,0,454998000,None,153148000,44986000,4460000,None,None,None,0,0,0,31904000,-4460000,0,116784000,116784000,None,USD,3220934000,124492000,None,233970000,1725637000,1495297000,108487000,260872000,1372000,3114972000,173901000,0,36694000,71302000,974541000,30047000,26250000,5969000,1112049000,1941708000,5991000,1495297000,0,52855000,547505000,1737273000,944544000,0,0,1372000,0,3114972000,-2420106000,None,None,13485000,1125534000,29690000,577195000,65414000,751096000,None,None,None,793090000,3220934000,71302000,None,122120000,USD,None,13936000,-75257000,1741000,31334000,-2800000,-53000,29432000,116784000,1348000,79405000,-4034000,44986000,-37782000,3661000,-104993000,0,12726000,76998000,None,None,1348000,90.88,83.44
8,2018-06-30,USD,2213249000,495956000,1443835000,769414000,273458000,207289000,0,0,268480000,0,452346000,None,273458000,43610000,4978000,None,None,None,0,0,0,61191000,-4978000,0,207289000,207289000,None,USD,3067406000,124492000,None,227871000,1661364000,1406042000,107827000,34997000,1366000,3035970000,172829000,0,44772000,69954000,941486000,28714000,25000000,5742000,1081543000,1810728000,5871000,1406042000,0,35017000,516410000,1632280000,912772000,0,0,1366000,0,3035970000,-2383446000,None,None,20741000,1102284000,30639000,547049000,65002000,719878000,None,None,None,746410000,3067406000,69954000,None,121811000,USD,None,-76875000,-71276000,275000,-164159000,-287045000,None,-11321000,207289000,-62444000,295877000,-12147000,43610000,-37786000,-85018000,127785000,0,6215000,71551000,None,None,-62444000,76.49,90.88
9,2018-03-31,USD,1682901000,468900000,1119252000,563649000,94749000,71433000,0,0,90281000,0,426113000,None,94749000,42787000,4468000,None,None,None,0,0,0,18848000,-4468000,0,71433000,71433000,None,USD,3207787000,124492000,None,211307000,1894542000,1313245000,106542000,223327000,1364000,2866467000,169325000,0,173295000,132398000,1013935000,28545000,25000000,5190000,1050399000,1984093000,5698000,1313245000,0,35033000,679565000,1760065000,985390000,0,0,1364000,0,2866467000,-2288364000,None,None,18585000,1068984000,31717000,711282000,62783000,880607000,None,None,None,728588000,3207787000,132398000,None,123059000,USD,None,161043000,-45131000,13000,277850000,90244000,-915000,-12464000,71433000,23250000,-21863000,1161000,42787000,-33591000,-153137000,-306857000,0,8570000,45144000,None,None,23250000,63.02,76.49
