,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,372000,32172000,48000,324000,-31325000,-31349000,8106000,None,-31349000,None,24018000,None,-31800000,None,None,None,451000,451000,None,None,None,None,None,None,-31349000,-31349000,None,USD,161077000,None,None,None,18417000,142660000,None,None,60000,-297159000,None,None,223000,36350000,16423000,None,None,760000,4412000,129943000,26499000,142660000,88773000,402000,None,1125000,4598000,None,None,None,None,None,None,None,223000,None,31134000,3470000,None,None,1994000,None,None,None,None,None,None,None,None,USD,17514000,452000,17514000,None,None,16298000,203000,1152000,-31349000,9883000,-23929000,None,475000,None,None,None,None,6868000,287000,None,None,None,26.12,
1,2020-03-31,USD,0,38561000,0,0,-38105000,-37793000,16588000,None,-37793000,None,21973000,None,-38561000,None,None,None,811000,768000,None,None,None,None,None,None,-37793000,-37793000,None,USD,166929000,None,None,1223000,16475000,150454000,None,None,58000,-265810000,None,None,502000,26468000,14207000,None,None,311000,4424000,121866000,40137000,150454000,92623000,None,None,None,4152000,None,None,None,None,None,None,None,502000,None,45063000,3900000,None,None,2268000,None,None,None,415895000,None,119091000,None,21000000,USD,13025000,-2498000,13025000,13121000,None,90000,-203000,-3154000,-37793000,-22520000,-35635000,None,456000,None,293000,None,None,7354000,96000,None,None,None,17.84,26.12
2,2019-12-31,USD,0,39839000,0,0,-38703000,-38973000,20094000,None,-38973000,None,19745000,None,-39839000,None,None,None,1006000,1150000,None,None,None,None,866000,None,-38973000,-38973000,None,USD,202388000,None,None,523000,22086000,180302000,None,1585000,57000,-228017000,None,None,487000,49688000,19482000,None,None,276000,4712000,148634000,48555000,180302000,97389000,None,None,None,4694000,None,None,None,None,None,None,None,487000,None,53754000,2604000,None,None,2604000,None,None,None,407986000,None,147077000,None,21000000,USD,9296000,3118000,9296000,-168000,None,245000,-76000,1755000,-38973000,-16459000,-26000000,None,1136000,None,165326000,0,0,6964000,192000,None,None,None,33.37,17.84
3,2019-09-30,USD,0,23453000,0,0,-23388000,-22252000,9481000,None,-22252000,None,13972000,None,-23453000,None,None,None,1257000,1201000,None,None,None,None,1201000,None,-22252000,-22252000,None,USD,226753000,None,None,523000,15837000,210916000,None,1126000,57000,-189044000,None,None,55000,66147000,14088000,None,None,303000,3316000,159876000,63506000,210916000,92046000,None,None,None,2638000,None,None,None,None,None,None,None,55000,None,66877000,2875000,None,None,1749000,None,None,None,399600000,None,158193000,None,21000000,USD,-12659000,809000,-12659000,-168000,None,1126000,-76000,1938000,-22252000,-24061000,-12528000,None,65000,None,165005000,0,0,7403000,49000,None,None,None,23.83,33.37
4,2019-06-30,USD,18000,23771000,0,18000,-23693000,-22477000,9996000,None,-22477000,None,13775000,None,-23753000,None,None,None,1343000,1276000,None,None,None,None,2552000,None,-22477000,-22477000,None,USD,238566000,None,None,307000,13787000,224779000,None,1067000,57000,-166792000,None,None,55000,90424000,11844000,None,None,281000,3466000,191194000,43851000,224779000,98739000,None,None,None,2101000,None,None,None,None,None,None,None,55000,None,47372000,3010000,None,None,1943000,None,None,None,391233000,None,189163000,None,21000000,USD,-142186000,1441000,-142186000,-4000,None,373000,-76000,-669000,-22477000,-156368000,-14555000,None,60000,None,163879000,0,0,7335000,40000,None,None,None,35.94,23.83
5,2019-03-31,USD,0,22433000,0,0,-22370000,-21444000,9726000,None,-21444000,None,12707000,None,-22433000,None,None,None,1010000,989000,None,None,None,None,989000,None,-21444000,-21444000,None,USD,252052000,None,None,407000,12461000,239591000,None,1001000,56000,-144315000,2184000,None,51000,246692000,10277000,1001000,1001000,None,3706000,248295000,None,239591000,None,None,2184000,None,1700000,None,None,None,None,None,None,None,51000,None,3757000,3185000,None,None,2184000,None,None,None,383850000,None,246692000,None,19000000,USD,-44000,-2440000,-44000,-4000,None,163506000,-76000,-1632000,-21444000,145528000,-17934000,None,63000,None,163506000,0,0,7519000,44000,None,None,None,36.94,35.94
6,2018-12-31,USD,845000,21174000,748000,97000,-21174000,-23717000,10722000,0,-23592000,0,10452000,None,-21174000,0,-124000,None,None,None,0,0,0,125000,-1993000,0,-23717000,-23717000,None,USD,103559000,None,None,253000,13465000,90094000,None,None,44000,-122871000,None,None,368000,101318000,13465000,None,None,None,948000,102243000,None,90094000,None,None,None,None,4272000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,212921000,None,101318000,None,16000000,USD,-142142000,2147000,-26000,-2000,None,2200000,-215000,2230000,-23717000,-8110000,-10284000,None,251000,None,66636000,316000,112000,8693000,24000,None,None,None,43.06,36.94
7,2018-09-30,USD,283000,16715000,1055000,-772000,-16432000,-20533000,7917000,0,-20533000,0,7743000,None,-16432000,0,-124000,None,None,None,0,0,0,0,-4101000,0,-20533000,-20533000,None,USD,112558000,None,None,1247000,8975000,103583000,None,2684000,44000,-99154000,None,None,95000,109483000,8975000,None,None,None,992000,111471000,None,103583000,197000,112000,None,None,6291000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16000000,USD,-142142000,550000,-333000,-1000,None,-14000,-215000,868000,-20533000,-9626000,-9279000,None,58000,None,None,142000,120000,9515000,332000,None,None,None,47.23,43.06
8,2018-06-30,USD,364000,18798000,318000,46000,-18434000,-18026000,8273000,0,-18026000,0,10207000,None,-18434000,0,-124000,None,None,None,0,0,0,0,408000,0,-18026000,-18026000,None,USD,121502000,None,None,197000,7952000,113550000,None,86000,43000,-78622000,None,None,80000,119109000,7952000,None,None,None,718000,120704000,None,113550000,197000,232000,None,142000,5655000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16000000,USD,None,1518000,-183000,-51000,None,-21000,-215000,622000,-18026000,-8351000,-8147000,None,51000,None,None,207000,-228000,7709000,132000,None,None,None,49.76,47.23
9,2018-03-31,USD,481000,14121000,430000,51000,-13640000,-13382000,7622000,0,-13382000,0,6069000,None,-13640000,0,-124000,None,None,None,0,0,0,0,258000,0,-13382000,-13382000,None,USD,129402000,None,None,197000,5535000,123867000,None,196000,42000,-60596000,None,None,29000,127460000,5535000,None,None,None,637000,128736000,None,123867000,197000,4000,None,349000,4048000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000,USD,35901000,-660000,35829000,-51000,None,64256000,-215000,-427000,-13382000,90461000,-9624000,None,57000,None,64256000,-33000,-4000,4825000,72000,None,None,None,49.69,49.76
