,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,7759000,None,None,None,None,2335000,None,None,3000000,None,2818000,None,None,4459000,1249000,665000,6193000,4944000,None,None,None,665000,None,None,2335000,2335000,None,USD,722646000,None,None,None,676029000,46617000,None,None,46617000,-14059000,5738000,None,667100000,11361000,None,None,None,483000,11823000,None,37785000,46617000,37785000,3508000,90496000,None,221000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-165910000,0,-165910000,213000,40120000,151072000,110952000,-84000,2335000,-13024000,1814000,None,151000,None,None,None,-930000,334000,45000,None,None,None,30.88,
1,2020-03-31,USD,6087000,4950000,None,6087000,1137000,898000,None,None,1137000,None,4950000,None,1137000,510000,1257000,239000,5684000,4427000,None,None,None,239000,None,None,898000,898000,None,USD,570205000,None,80665000,None,526043000,44162000,None,468843000,5779000,-16394000,4490000,None,448737000,47978000,505057000,36000000,None,438000,11929000,50556000,488775000,44162000,39081000,2578000,14368000,None,214000,None,None,5779000,None,-16394000,None,None,18926000,None,519630000,None,14368000,6618000,20986000,None,None,None,54339000,570205000,47978000,None,1453759,USD,2150000,1317000,1788000,-320000,-5317000,27318000,32635000,1624000,898000,28011000,-1095000,-1789000,225000,None,None,None,19000,-1765000,42000,19000,None,28011000,25.2762,30.88
2,2019-12-31,USD,659000,4719000,None,659000,-4060000,1304000,None,None,1649000,None,4719000,None,-4060000,522000,1370000,345000,5897000,4527000,None,None,None,345000,-4000,None,1304000,1304000,None,USD,540313000,None,59659000,15833000,497399000,42914000,None,443208000,5779000,-17292000,4267000,None,443999000,19967000,472429000,29000000,13000000,142000,12036000,22564000,486532000,42914000,46937000,2597000,14359000,526000,221000,None,None,5779000,None,-17292000,None,None,19181000,None,517749000,None,14359000,10611000,24970000,None,None,None,54285000,540313000,19967000,None,1453009,USD,-7501000,-108000,-7933000,-340000,5317000,-20914000,-26231000,-1529000,1304000,-26491000,2356000,-1421000,242000,0,0,None,33000,2306000,92000,33000,None,-26491000,37.1129,25.2762
3,2019-09-30,USD,7078000,4888000,None,7078000,2190000,1727000,None,None,2190000,None,4888000,None,2190000,605000,1398000,463000,6010000,4612000,None,None,None,463000,-6000,None,1727000,1727000,None,USD,559929000,None,83729000,17669000,518413000,41516000,None,477439000,5779000,-18596000,4277000,None,436035000,46458000,498662000,21000000,None,65000,12097000,49088000,480934000,41516000,46031000,2630000,14351000,526000,223000,None,None,5779000,None,-18596000,None,None,17810000,None,510841000,None,14351000,5400000,19751000,None,None,None,54268000,559929000,46458000,None,1453009,USD,-5424000,337000,-4847000,425000,-10000000,21213000,21213000,493000,1727000,17706000,1340000,55000,32000,0,0,None,92000,-903000,152000,92000,None,17706000,34.39,37.1129
4,2019-06-30,USD,6500000,5683000,0,6500000,817000,637000,0,0,817000,0,5683000,0,817000,516000,1319000,180000,5871000,4552000,0,0,0,180000,-73000,0,637000,637000,0,USD,536534000,0,69644000,16318000,496855000,39679000,0,446226000,5779000,-20323000,3837000,0,434095000,28752000,477457000,31000000,0,-23000,12217000,74889000,430599000,39679000,43415000,2722000,14343000,526000,231000,0,0,5779000,0,-20323000,0,0,18829000,0,461645000,0,14343000,5055000,19398000,0,0,0,54246000,536534000,72167000,0,1444854,USD,-3144000,60000,-3670000,-425000,10000000,12826000,12826000,111000,637000,2846000,-6310000,51000,313000,0,0,0,7000,-7378000,101000,7000,0,2846000,32.95,34.39
5,2019-03-31,USD,11693000,4999000,0,11693000,6694000,809000,0,0,985000,0,4999000,0,6694000,489000,-1243000,176000,5709000,4466000,0,0,0,176000,-91000,0,809000,809000,0,USD,522274000,0,57781000,8484000,483961000,38313000,0,443400000,5720000,-20960000,3673000,0,537000,25906000,464641000,21000000,0,-424000,12371000,70470000,420738000,38313000,41835000,2729000,14335000,526000,241000,0,0,5720000,0,-20960000,0,0,18695000,0,451804000,0,14335000,4985000,19320000,0,732000,0,53245000,522274000,67741000,0,1438430,USD,-531000,1867000,-749000,-34000,10000000,4353000,4353000,715000,809000,6363000,2759000,-1152000,307000,0,0,0,-67000,995000,184000,-67000,0,6363000,32.6,32.95
6,2018-12-31,USD,22175000,4840000,0,22175000,17335000,856000,0,0,1044000,0,4840000,0,17335000,444000,-3142000,None,None,None,0,0,0,188000,-90000,0,856000,856000,0,USD,514866000,0,None,9344000,477733000,37133000,0,439047000,5707000,-21769000,3138000,0,428745000,19543000,460268000,21000000,0,-749000,12455000,66458000,418220000,37133000,44253000,2662000,14327000,526000,221000,0,0,5707000,0,-21769000,0,0,17733000,0,448408000,0,14327000,3138000,17465000,0,732000,0,53212000,514866000,63796000,0,1435283,USD,3207000,544000,2824000,-376000,8000,689000,681000,858000,856000,4143000,630000,314000,205000,-113000,-5027000,0,0,-1284000,7000,-5000,0,4143000,30.45,32.6
7,2018-09-30,USD,6228000,4820000,0,6228000,1408000,1128000,0,0,1408000,0,4820000,0,1408000,475000,0,None,None,None,0,0,0,280000,-103000,0,1128000,1128000,0,USD,512319000,0,None,7763000,476500000,35819000,0,436866000,5697000,-22625000,2619000,0,428614800,15400000,459562000,22500000,0,-1144000,12624000,64042000,417684000,35819000,45985000,2657000,14319000,548000,196000,0,0,5697000,0,-22625000,0,0,17969000,0,448277000,0,14319000,2619000,16938000,0,732000,0,53159000,512319000,61385000,0,1434123,USD,-11293000,-281000,-11155000,170000,-660000,5223000,5883000,-394000,1128000,-328000,5604000,-113000,208000,0,0,0,0,4875000,32000,-213000,0,-328000,33.4,30.45
8,2018-06-30,USD,5895000,5101000,0,5895000,794000,641000,0,0,794000,0,5101000,None,794000,580000,0,None,None,None,0,0,0,153000,-74000,0,641000,641000,None,USD,506352000,0,None,12160000,471558000,34794000,0,432983000,5683000,-23753000,2947000,0,416523800,15728000,453632000,20500000,0.02,-1022000,12772000,65309000,410034000,34794000,47137000,2444000,14311000,732000,149000,0,0,5683000,0,-23753000,0,None,18237000,None,441043000,None,14311000,3615000,17926000,None,732000,None,53154000,506352000,62865000,None,1433947,USD,-14944000,-31000,-14704000,290000,-2685000,17000000,19685000,-177000,641000,-548000,-2844000,-185000,211000,0,0,0,0,-3558000,50000,78000,None,-548000,33.75,33.4
9,2018-03-31,USD,10121000,4860000,766000,10121000,5261000,412000,0,0,484000,0,4860000,None,5261000,508000,-766000,None,None,None,0,0,0,72000,-8000,0,412000,299000,113000,USD,488819000,0,None,8504000,454589000,34230000,0,421498000,5682000,-24394000,2984000,0,400864300,16276000,433974000,12300000,12300000,-874000,12905000,67100000,390408000,34230000,48302000,2522000,14303000,1017000,176000,0,0,5682000,0,-24394000,0,None,18406000,None,421719000,None,14303000,6312000,20615000,None,732000,None,53084000,488819000,64578000,None,1434136,USD,-18024000,-241000,-17283000,849000,7316000,12050000,9874000,280000,412000,-1534000,3699000,560000,214000,-113000,-5027000,3704000,78000,2676000,108000,78000,None,-1534000,32.25,33.75
