,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,184000,8326000,2060000,-1876000,-8288000,-9513000,2365000,None,-9513000,None,3901000,None,-8142000,None,828000,0,146000,-682000,None,None,None,None,-689000,None,-9513000,-9513000,None,USD,161187000,58009000,None,482000,34574000,126613000,None,557000,338628000,-280259000,3003000,2109000,627000,61034000,15180000,None,None,-4436000,11507000,88935000,None,66495000,25038000,22000,15394000,1328000,2392000,None,None,None,None,None,None,None,627000,None,72252000,1829000,None,None,19394000,None,None,None,None,None,None,None,None,USD,-25135000,795000,-25135000,None,5300000,58173000,-4627000,-373000,-9513000,25231000,-7807000,None,397000,None,None,-659000,115000,1036000,135000,None,None,None,3.1,
1,2020-03-31,USD,415000,9828000,2577000,-2162000,-7238000,-8358000,3193000,None,-8358000,None,4058000,None,-9413000,None,714000,0,132000,-582000,None,None,None,None,1637000,None,-8358000,-8358000,None,USD,107234000,55918000,None,262000,32803000,74431000,None,955000,285096000,-270746000,3032000,2032000,598000,35803000,29133000,None,14484000,-7405000,10817000,37869000,None,16481000,None,134000,None,644000,1313000,None,None,None,None,None,None,None,598000,None,69365000,1217000,None,None,3670000,None,None,None,67486000,None,35803000,None,178000000,USD,-133000,16000,-133000,None,-600000,-600000,-4627000,-1606000,-8358000,-8410000,-7648000,None,406000,None,None,406000,62000,1187000,133000,None,None,None,0.95,3.1
2,2019-12-31,USD,574000,4450000,2585000,-2011000,-9730000,-10875000,4343000,None,-10875000,None,-2478000,None,-3876000,None,739000,0,215000,-524000,None,None,None,None,-6475000,None,-10875000,-10875000,None,USD,122201000,60756000,None,450000,33946000,88255000,None,830000,284965000,-262388000,3372000,2208000,620000,44213000,29757000,14845000,14845000,-752000,11654000,46963000,None,25291000,None,201000,None,1075000,1127000,None,None,None,None,None,None,None,620000,None,75238000,1459000,None,None,4189000,None,None,None,66430000,None,44213000,None,119000000,USD,-186000,-2440000,-186000,None,-600000,-79000,-79000,2986000,-10875000,-8803000,-8530000,None,406000,None,40250000,42000,-9000,1115000,186000,None,None,None,1.38,0.95
3,2019-09-30,USD,647000,16790000,1977000,-1330000,-14996000,-16162000,5401000,None,-16162000,None,9412000,None,-16143000,None,754000,0,128000,-626000,None,None,None,None,607000,None,-16162000,-16162000,None,USD,131936000,59909000,None,1015000,34719000,97217000,None,988000,284892000,-251513000,3405000,2177000,624000,53016000,30357000,14601000,14601000,-1850000,12075000,57151000,None,35131000,None,194000,None,1420000,3188000,None,None,None,None,None,None,None,624000,None,74785000,1632000,None,None,4362000,None,None,None,65688000,None,53016000,None,106000000,USD,-586000,-180000,-586000,None,-600000,37494000,-2756000,-5039000,-16162000,22941000,-13878000,None,412000,None,40250000,-190000,-132000,7168000,586000,None,None,None,0.4712,1.38
4,2019-06-30,USD,640000,12909000,2354000,-1714000,-12143000,-13170000,7361000,None,-13170000,None,3194000,None,-12269000,None,765000,0,199000,-566000,None,None,None,None,-335000,None,-13170000,-13170000,None,USD,114649000,60590000,None,537000,38396000,76253000,None,795000,247276000,-235351000,2992000,8600000,607000,30075000,34580000,14356000,14356000,-685000,11966000,32886000,None,7063000,None,56000,None,1197000,3235000,None,None,None,None,None,None,None,607000,None,81763000,1565000,None,None,3816000,None,None,None,65013000,None,30075000,None,98000000,USD,-1005000,-2876000,-1005000,None,-600000,0,-2756000,2295000,-13170000,-13233000,-12284000,None,262000,None,None,-94000,64000,982000,1005000,None,None,None,1.17,0.4712
5,2019-03-31,USD,360000,14179000,988000,-628000,-13709000,-14606000,9227000,None,-14606000,None,3964000,None,-13819000,None,773000,0,-787000,-480000,None,None,None,None,-307000,None,-14606000,-14606000,None,USD,126243000,59465000,None,580000,39548000,86695000,None,1251000,246848000,-222181000,3188000,8438000,881000,43308000,22993000,1659000,1659000,-2431000,11663000,45796000,None,18792000,None,117000,12443000,1083000,5654000,None,None,None,None,None,None,None,881000,None,80447000,1719000,12443000,1353000,16555000,None,None,None,64459000,None,43308000,None,97000000,USD,-1896000,-1373000,-1896000,None,None,0,-2756000,520000,-14606000,-15962000,-14020000,None,124000,None,None,-143000,-59000,1262000,1896000,None,None,None,1.87,1.17
6,2018-12-31,USD,2684000,21193000,1228000,1456000,-18509000,-19250000,10082000,0,-19250000,0,9883000,None,-18509000,0,-854000,None,None,None,0,0,0,-431000,-741000,0,-19250000,-19250000,None,USD,137605000,58249000,None,512000,39472000,98133000,None,4165000,246417000,-207575000,3168000,8265000,835000,59270000,23377000,1100000,1100000,-4158000,8525000,61731000,None,31619000,None,56000,12927000,911000,6055000,None,None,None,None,None,None,None,None,None,None,None,12927000,None,None,None,None,None,63449000,None,59270000,None,66000000,USD,None,7402000,-2374000,None,None,43552000,-3006000,2956000,-19250000,33284000,-7550000,None,125000,None,46623000,-5000,66000,813000,2374000,None,None,None,1.6,1.87
7,2018-09-30,USD,259000,14801000,801000,-542000,-14542000,-15370000,10507000,0,-15370000,0,3493000,None,-14542000,0,-845000,None,None,None,0,0,0,0,-828000,0,-15370000,-15370000,None,USD,108824000,61531000,None,2469000,31696000,77128000,669000,83000,202955000,-188325000,1047000,8727000,1113000,25986000,18765000,1800000,1800000,-383000,7293000,30160000,None,6870000,0,124000,11884000,1120000,4510000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64000000,USD,None,345000,-1582000,3839000,None,43552000,-3006000,359000,-15370000,-15141000,-13456000,None,129000,0,0,-87000,51000,773000,1582000,None,None,None,2.42,1.6
8,2018-06-30,USD,234000,15690000,1067000,-833000,-15456000,-16731000,10914000,0,-16731000,0,3709000,None,-15456000,0,-781000,None,None,None,0,0,0,0,-1275000,0,-16731000,-16731000,None,USD,119689000,60374000,None,2123000,29893000,89796000,669000,120000,202566000,-172957000,1038000,8561000,1106000,41127000,16328000,1200000,1200000,-1924000,4738000,44910000,None,20861000,0,172000,12527000,1026000,3026000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64000000,USD,None,283000,-1022000,0,None,60000,-3006000,-1005000,-16731000,-16967000,-15949000,None,139000,0,0,-285000,-11000,1371000,1022000,None,None,None,2.75,2.42
9,2018-03-31,USD,178000,11802000,1413000,-1235000,-11624000,-12251000,6964000,0,-12251000,0,3425000,None,-11624000,0,-741000,None,None,None,0,0,0,0,-627000,0,-12251000,-12251000,None,USD,134821000,61600000,None,937000,28360000,106461000,669000,187000,201899000,-156226000,1111000,8731000,1196000,58094000,16013000,2200000,2200000,-837000,2942000,60352000,None,36130000,0,167000,11236000,783000,2537000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64000000,USD,None,698000,-1015000,0,None,5000,-3006000,1733000,-12251000,-9600000,-8578000,None,149000,0,0,-1000,-27000,822000,1015000,None,None,None,3.5,2.75
