,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,70761000,28285000,40443000,30318000,2266000,2667000,12830000,None,2266000,5000,15455000,233000,2033000,None,None,-406000,None,None,None,None,None,-406000,233000,None,2672000,2667000,None,USD,372734000,None,None,7842000,46091000,326324000,None,13441000,549000,144030000,1772000,None,2026000,196704000,41919000,None,None,-316000,59475000,308678000,2555000,326324000,None,48502000,None,55630000,32650000,None,None,549000,None,144030000,-138927000,None,1838000,None,188000,3556000,None,307000,4172000,None,None,None,320988000,372734000,196704000,None,None,USD,-5699000,0,-5699000,26000,None,115001000,-55000,-2594000,2672000,113955000,4653000,-2694000,2728000,None,115056000,None,None,1947000,5725000,None,-2000,113953000,71.95,
1,2020-03-31,USD,63401000,29704000,36070000,27331000,-2225000,-1735000,13335000,None,-2225000,4000,16369000,148000,-2373000,None,None,-494000,-21000,None,None,None,None,-494000,148000,None,-1731000,-1735000,None,USD,246725000,None,None,7808000,39728000,206681000,None,12841000,525000,141363000,1907000,None,2099000,82751000,35220000,None,None,-300000,56879000,185190000,2557000,206681000,None,41279000,None,53352000,26887000,None,None,525000,None,141363000,-138927000,None,1893000,206000,61535000,3971000,None,362000,4508000,None,None,None,204020000,246725000,82751000,None,41000000,USD,-2924000,4000,-2924000,75000,None,1972000,-89000,-2639000,-1731000,-1936000,-984000,-2676000,2711000,None,2061000,None,None,708000,2999000,None,19000,-1917000,44.54,71.95
2,2019-12-31,USD,63125000,28866000,33364000,29761000,1288000,1312000,12155000,None,1288000,3000,16711000,393000,895000,None,None,-27000,92000,None,None,None,None,-27000,93000,None,1315000,1312000,None,USD,240727000,509000,None,7096000,34857000,205562000,None,12128000,523000,143098000,2072000,None,1690000,84668000,29930000,None,None,-383000,56952000,179066000,2510000,205562000,None,38115000,None,49187000,22729000,None,None,523000,None,143098000,-138927000,None,1994000,205000,61661000,4375000,None,451000,4927000,None,None,None,201251000,240727000,84668000,None,42000000,USD,-3346000,330000,-3346000,17000,None,1141000,-39000,3838000,1315000,3464000,5669000,7149000,2687000,-139000,1319000,-1812000,5714000,764000,3363000,None,-25000,3439000,46.72,44.54
3,2019-09-30,USD,70772000,26950000,37770000,33002000,6198000,5937000,11507000,None,6198000,-5000,15443000,146000,6052000,None,None,266000,-57000,None,None,None,None,266000,146000,None,5932000,5937000,None,USD,237910000,None,None,5114000,35194000,202269000,None,12688000,522000,141786000,1581000,None,2980000,81229000,30768000,None,None,-278000,56336000,176018000,2576000,202269000,None,39987000,None,49688000,22506000,None,None,522000,None,141786000,-138927000,None,2739000,241000,61892000,4425000,None,210000,4426000,None,None,None,199166000,237910000,81229000,None,42000000,USD,-3157000,1000,-3157000,101000,None,1620000,-96000,1050000,5932000,9763000,11300000,1967000,2649000,None,1716000,-1812000,5714000,751000,3258000,None,-16000,9747000,29.52,46.72
4,2019-06-30,USD,63355000,26736000,34238000,29117000,2669000,2563000,11706000,None,2669000,-7000,15030000,288000,2381000,None,None,113000,96000,None,None,None,None,113000,288000,None,2556000,2563000,None,USD,230603000,None,None,5054000,36287000,193863000,None,11775000,521000,135849000,738000,None,3108000,71482000,33157000,1660000,1660000,-278000,55285000,169645000,2565000,193863000,None,38537000,2392000,54572000,24512000,None,None,521000,None,135849000,-138927000,None,2867000,241000,60958000,4052000,None,306000,3130000,None,None,None,196698000,230603000,71482000,None,41000000,USD,-2658000,-4000,-2658000,-116000,None,65000,-72000,1524000,2556000,4766000,7359000,1477000,2553000,None,137000,-1812000,5714000,777000,2542000,None,102000,4868000,31.05,29.52
5,2019-03-31,USD,65725000,26593000,34639000,31086000,4732000,4286000,11220000,None,4732000,20000,15373000,239000,4493000,None,None,426000,83000,83000,None,None,None,426000,156000,None,4306000,4286000,None,USD,225004000,None,None,3880000,34312000,190243000,None,11137000,521000,133286000,832000,None,3028000,66614000,30733000,1678000,1678000,-436000,55642000,163788000,2546000,190243000,None,41705000,2747000,51589000,23175000,None,None,521000,None,133286000,-138927000,None,2762000,266000,61216000,4425000,None,378000,3579000,None,None,None,195799000,225004000,66614000,None,41000000,USD,-3321000,2000,-3321000,1000,None,1540000,-30000,-9529000,4306000,-3901000,-2120000,-9635000,2445000,None,1570000,-1812000,5714000,762000,3322000,None,-42000,-3943000,31.02,31.05
6,2018-12-31,USD,73720000,26859000,39847000,33873000,7270000,6910000,11066000,0,7270000,-3000,15381000,256000,7014000,412000,0,None,None,None,0,0,0,363000,194000,0,6907000,6910000,None,USD,221068000,599000,None,3460000,36978000,183656000,None,6491000,520000,129000000,980000,None,2451000,70557000,35998000,None,None,-394000,50432000,165060000,2526000,183656000,None,43673000,None,47370000,30487000,None,None,520000,None,129000000,-138927000,None,2785000,265000,56008000,None,None,None,None,None,None,None,193457000,221068000,70557000,None,41000000,USD,None,99000,-11298000,19000,None,216000,-62000,12000000,6907000,2247000,13329000,3241000,2384000,None,278000,10827000,-8834000,698000,11317000,8834000,104000,2351000,37.79,31.02
7,2018-09-30,USD,78035000,25961000,39031000,39004000,13275000,13012000,10691000,0,13275000,36000,15280000,232000,13043000,-10000,0,None,None,None,0,0,0,227000,242000,0,13048000,13012000,None,USD,207665000,0,None,3900000,31705000,175540000,249000,5334000,520000,122090000,1014000,0,2985000,68206000,30691000,None,None,-516000,41465000,160602000,2613000,175540000,0,45052000,0,43444000,25357000,175960000,0,520000,0,122090000,-138927000,None,2801000,184000,47063000,None,None,765000,1014000,None,None,None,192373000,207665000,68206000,None,41000000,USD,None,-16000,-3332000,4000,None,3376000,-36000,-1733000,13048000,14358000,14314000,-1707000,2331000,0,3412000,-10827000,-8834000,658000,3336000,None,-72000,14286000,46.0,37.79
8,2018-06-30,USD,74196000,27567000,38313000,35883000,8272000,7860000,11403000,0,8272000,49000,16164000,-44000,8316000,0,0,None,None,None,0,0,0,363000,-394000,0,7909000,7860000,None,USD,190843000,0,None,4102000,31905000,158543000,267000,5510000,517000,109078000,1066000,0,2998000,53920000,30839000,None,None,-401000,40433000,144831000,2581000,158543000,0,45056000,0,41753000,25329000,158938000,0,517000,0,109078000,-138927000,None,2813000,185000,46012000,None,None,799000,1066000,None,None,None,188276000,190843000,53920000,None,41000000,USD,None,-20000,-1661000,39000,None,3603000,-78000,-2056000,7909000,11282000,9340000,-2023000,2270000,0,3681000,-10827000,-8834000,1204000,1700000,None,-40000,11242000,43.55,46.0
9,2018-03-31,USD,65269000,26525000,35058000,30211000,4116000,3943000,11126000,0,4116000,39000,15399000,430000,3686000,62000,0,None,None,None,0,0,0,134000,430000,0,3982000,3943000,None,USD,173630000,0,None,3733000,27275000,145992000,285000,3153000,520000,101218000,1164000,0,5653000,42678000,26111000,None,None,-234000,40973000,127004000,2548000,145992000,0,41634000,0,38959000,22958000,146355000,0,520000,0,101218000,-138927000,None,2892000,213000,46626000,None,None,879000,1164000,None,None,None,183415000,173630000,42678000,None,40000000,USD,None,-11000,-1948000,-90000,None,1191000,-94000,-7801000,3982000,-1569000,-812000,-7769000,2269000,0,1285000,0,0,717000,1858000,None,17000,-1552000,28.55,43.55
