,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,CNY,1684364000.0,1675624000.0,1443402000.0,240962000.0,8740000.0,9857000.0,60670000.0,None,16431000.0,5954000.0,178772000.0,None,8740000.0,-7220000.0,None,6114000,7097000,7097000,None,None,None,6114000.0,594000.0,None,10317000.0,9857000.0,None,CNY,2995592000.0,None,None,None,1550918000.0,1438720000.0,None,None,12000.0,220583000.0,3872000,None,108698000.0,634163000.0,1532653000.0,None,None,-8670000.0,85101000.0,2796125000.0,None,1433052000.0,366905000,1130906000.0,None,412217000.0,1113989000.0,None,None,None,None,None,None,None,None,None,199467000,22869000,None,None,18265000,None,None,None,None,None,None,None,None,CNY,None,None,None,None,None,None,None,None,9857000.0,None,None,None,None,None,None,None,None,None,0.0,None,None,None,5.3,
1,2020-03-31,CNY,765506000.0,752988000.0,621540000.0,143966000.0,12518000.0,17975000.0,59261000.0,None,17944000.0,5495000.0,74928000.0,None,12518000.0,-2741000.0,None,126000,5336000,5336000,None,None,None,126000.0,90000.0,None,17818000.0,17975000.0,None,CNY,2464048000.0,5578000,None,None,1048467000.0,1410086000.0,None,None,12000.0,211029000.0,1725000,None,85250000.0,445860000.0,1033927000.0,4737000,None,-7831000.0,80605000.0,2292615000.0,None,1404508000.0,746272000,596927000.0,None,371120000.0,742729000.0,None,None,None,None,None,None,None,None,None,171433000,19458000,None,None,14540000,None,None,None,1206876000,None,1192132000,None,None,CNY,None,0,None,None,None,None,None,None,17975000.0,None,None,None,None,None,None,None,None,None,0.0,None,None,None,4.35,5.3
2,2019-12-31,CNY,1741650000.0,1649054000.0,1395080000.0,346570000.0,92596000.0,89698000.0,65633000.0,0,102708000.0,5652000.0,207948000.0,0,92596000.0,-19607000.0,0,12470000,9582000,9582000,0,0,0,12470000.0,26639000.0,0,90238000.0,89698000.0,0,CNY,3022473000.0,4357000,None,30567000,1648026000.0,1368795000.0,0,0.60,12000.0,195596000.0,1795000,0,23446000.0,972438000.0,1632840000.0,120974000,95868000,-19145000.0,87055000.0,2907615000.0,0,1364438000.0,376201000,1024136000.0,0,418015000.0,1043159000.0,0,0,0,0,0,0,0,114858000,0,114858000,20384000,0,0,15186000,0,0,0,1192332000,0,1348639000,0,72000000,CNY,0,0,-268956000,-200356000,0,48542000,-1833000,0,89698000.0,33157000,245484000,0,23577000,-46602000,1109000,0,0,0,68600000.0,0,0,0,8.04,4.35
3,2019-09-30,CNY,1069501000.0,986982000.0,831366000.0,238135000.0,82519000.0,72901000.0,43164000.0,0,85783000.0,5112000.0,126036000.0,0,82519000.0,-13584000.0,0,12456000,2818000,2818000,0,0,0,12456000.0,446000.0,0,73327000.0,72901000.0,0,CNY,2530358000.0,2533000,None,4760000,1247388000.0,1277858000.0,0,0.29,13000.0,106945000.0,442000,0,33079000.0,727076000.0,1234317000.0,103535000,95868000,-9199000.0,57715000.0,2437031000.0,0,1275325000.0,381809000,771626000.0,0,452848000.0,760744000.0,0,0,0,0,0,0,0,93327000,0,93327000,19734000,0,0,13071000,0,0,0,1180099000,0,1108885000,0,72000000,CNY,0,0,0,0,0,0,0,0,72901000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,8.15,8.04
4,2019-06-30,CNY,1160153000.0,1061289000.0,851876000.0,308277000.0,98864000.0,88381000.0,59573000.0,0,103301000.0,6686000.0,151717000.0,0,98864000.0,-1877000.0,0,14364000,4002000,4002000,0,0,0,14364000.0,435000.0,0,88937000.0,88381000.0,0,CNY,2306440000.0,2623000,None,22881000,1126449000.0,1173305000.0,0,0.35,12000.0,34044000.0,435000,0,35640000.0,667972000.0,1112200000.0,97462000,95868000,-29454000.0,47583000.0,2220594000.0,0,1170682000.0,302327000,662634000.0,0,420642000.0,692253000.0,0,0,0,0,0,0,0,85846000,0,85846000,20971000,0,0,14249000,0,0,0,1168703000,0,970299000,0,72000000,CNY,0,0,0,0,0,0,0,0,88381000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,8.11,8.15
5,2019-03-31,CNY,676209000.0,639119000.0,486787000.0,189422000.0,39195000.0,41190000.0,36572000.0,0,47228000.0,3130000.0,116572000.0,0,37090000.0,-812000.0,0,5900000,9707000,9707000,0,0,0,5900000.0,431000.0,0,41328000.0,41190000.0,0,CNY,1904241000.0,2414000,None,31001000,844069000.0,1060172000.0,0,6092000,12000.0,-54337000.0,289000,0,9647000.0,764032000.0,829706000.0,2458000,0,-43869000.0,33129000.0,1859051000.0,0,1057758000.0,345138000,312411000.0,0,298705000.0,521416000.0,0,0,0,0,0,0,0,16731000,0,45190000,17036000,0,10944000,11233000,0,0,0,1158366000,0,1109170000,0,72000000,CNY,-187230000,-27065000,-187230000,-177883000,0,-2637000,-2637000,4816000,41328000.0,-174815000,29160000,0,2105000,0,-2637000,-68775000,60291000,14807000,9347000.0,0,0,0,11.07,8.11
6,2018-12-31,CNY,2936680.64,2751680.11,2142746.66,793933.98,185000.53,168693.76,128475.32,0,196338.76,9193.49,481920.73,0,185000.53,-1462.6,0,9004000,None,None,0,0,0,27666.5,11338.23,0,168672.26,168693.76,0,CNY,5908992.2,519.28,None,187676.85,2618555.81,3281242.9,0,296548.40,36.87,-293524.88,1591.65,0,27254.76,2889244.45,2616964.15,0,0,-91523.15,34724.47,5846493.68,0,3280723.62,519263.13,1537521.94,0,712787.31,1697221.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25218328.52,0,23445419.41,0,72000000,CNY,-546579.35,0,-575299.79,-1385.78,0,-8102.68,-8102.68,14798.08,168693.76,-537152.34,89599.65,0,6468.01,0,13445770.74,-211324.27,185255.56,45497.32,23075.9,0,0,0,7.8,11.07
7,2018-09-30,USD,11981614.8,11323606.66,8381412.05,3600202.75,658008.14,-1268158.83,707285.63,0,-1194740.67,63562.66,2260448.5,0,658008.14,-25539.52,0,None,None,None,0,0,0,73439.35,-1852748.81,0,-1268180.02,-1374237.9,0,USD,34450793.33,3793.84,None,0,13115760.05,21271470.61,0,1529403.70,254.33,-3188264.14,4747.59,0,219597.45,19780683.51,13111012.46,0,0,-623609.27,67080.97,34160321.07,0,21267676.77,0,8222791.53,0,4262280.25,8798585.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172293234.72,0,135871536.93,0,9000000,USD,-25896868.49,0,-27257639.51,-65658.26,0,-383904.26,-383904.26,701131.19,-8710856.18,-25450217.65,4245221.21,0,306453.73,0,0,-10012520.20,8777387.94,2155658.11,1093333.72,0,0,0,9.0,7.8
8,2018-06-30,USD,77997825.43,72057213.56,56285992.8,21711832.63,5940611.88,5270770.85,3677789.44,0,6139997.0,449760.05,12104529.09,None,5940611.88,-11097.78,0,None,None,None,0,0,0,869226.15,199385.12,0,5270770.85,8858278.34,None,USD,152497750.45,0,None,14953059.39,143609178.16,-14721655.67,0,9416316.74,149.97,-13586382.72,39037042.59,0,1588182.36,38535092.98,104572135.57,0,0,-3152969.41,506898.62,150402669.47,0,-14721655.67,0,71978104.38,0,24936412.72,75151169.77,0,0,0,2.42,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,0,15480503.90,1899820.04,2357603.48,-2392021.60,-2564112.18,-374925.01,2008398.32,5270770.85,-1724655.07,-1340731.85,None,83233.35,0,0,-8674415.12,-15694136.17,377249.55,457783.44,None,None,None,nan,9.0
9,2018-03-31,USD,52678767.61,0.0,37103574.56,15575193.06,5172518.11,4684977.31,3341294.48,0,5409760.37,477509.75,7086219.25,0,5172518.11,-24838.79,0,None,None,None,0,0,0,724783.06,237242.26,0,4684977.31,529257.22,0,USD,0.0,0,None,0,0.0,-26941804.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,-26941804.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,-28323063.45,-9952392.33,-171005.49,-71809.57,-5079213.44,-5079213.44,-419871.03,2708860.76,4684977.31,-50792.13,5386991.48,0,85980.42,0,0,-4213518.03,11556086.30,-309529.50,171005.49,0,0,0,nan,nan
10,2017-12-31,USD,62173000.0,589992000.0,63681000.0,207980000.0,74560000.0,7381000.0,4079000.0,0,8439000.0,-2999000.0,11848000.0,None,12975000.0,-1987000.0,0,None,None,None,0,0,0,1058000.0,1637000.0,0,65918000.0,7381000.0,None,USD,103218000.0,None,None,3110000,66527000.0,36691000.0,None,14893000,1000.0,-160885000.0,71000,None,469000.0,43028000.0,66456000.0,32228000,32228000,-18004000.0,474000.0,665431000.0,None,-169208000.0,None,314558000.0,None,7791000.0,44825000.0,None,None,None,62697000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,218614000,-1234000,None,None,411000,411000,29111000,7381000.0,123022000,19044000,None,1680000,None,None,-26577000,-208875000,5101000,190000.0,None,None,None,nan,nan
11,2017-09-30,USD,32119000.0,177671000.0,113487000.0,67203000.0,30996000.0,4159000.0,1987000.0,0,4837000.0,2999000.0,5647000.0,None,28091000.0,-249000.0,0,None,None,None,0,0,0,678000.0,765000.0,0,27322000.0,4159000.0,None,USD,671565000.0,None,None,20229000,432845000.0,-169208000.0,None,41127000,2000.0,-160885000.0,460000,None,3048000.0,279952000.0,432385000.0,32228000,32228000,-18004000.0,3086000.0,665431000.0,None,-169208000.0,None,314558000.0,None,50692000.0,292868000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,12668000,15720500,-15950000,-17097500,-2500000,13392000,4159000.0,-11500000,-8940000,None,555000,None,None,-57841000,-104648500,2515500,3052500.0,None,None,None,nan,nan
12,2016-12-31,USD,16023000.0,298266000.0,11584000.0,80030000.0,14308000.0,527000.0,1184000.0,0,1199000.0,0.0,3259000.0,None,1180000.0,481000.0,-296000,None,None,None,0,0,0,672000.0,-296000.0,0,16259000.0,527000.0,None,USD,40609000.0,None,None,2012000,19716000.0,20893000.0,None,4553000,1000.0,-247875000.0,None,None,324000.0,22603000.0,19716000.0,32252000,32252000,-37106000.0,509000.0,276166000.0,None,-278940000.0,None,81067000.0,None,3485000.0,10518000.0,None,None,None,61069000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,12111000,-1609000,None,None,1872000,None,12269000,527000.0,29802000,2232000,None,1222000,None,None,-3267000,-33084000,9989000,232000.0,None,None,None,nan,nan
