,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,6008000,6665000,2451000,3557000,-293000,-778000,559000,None,-778000,None,3321000,None,-657000,None,23000,None,None,-23000,None,None,None,None,-98000,None,-778000,-778000,None,USD,24489000,2391000,None,None,9363000,15126000,None,111000,None,-257780000,None,None,None,5065000,7354000,None,836000,456000,3500000,18598000,None,12735000,None,4479000,744000,8180000,2789000,None,None,None,None,None,None,None,None,None,5891000,1599000,None,None,2009000,None,None,None,None,None,None,None,None,USD,-61000,-2179000,-61000,None,1075000,5954000,-223000,-839000,-778000,2606000,-3288000,None,462000,None,None,151000,-590000,485000,61000,None,None,None,0.62,
1,2020-03-31,USD,5352000,10146000,2846000,5352000,-5066000,-4430000,656000,None,-5092000,None,9021000,-314000,-4752000,469000,26000,None,-9000,-26000,None,None,None,None,348000,None,-5092000,-4430000,None,USD,21774000,2621000,None,662000,10997000,10777000,None,2520000,None,-257002000,None,None,None,2459000,9665000,306000,293000,484000,1888000,15483000,None,8156000,None,3988000,None,8374000,6839000,None,None,None,None,-257002000,-277000,None,1782000,None,6291000,1715000,None,1332000,1332000,None,None,None,267572000,21774000,2459000,None,81084731,USD,-97000,-1302000,-97000,None,-46000,5250000,-758000,139000,-4430000,718000,-4435000,-403000,423000,None,6008000,-1012000,2568000,425000,97000,2568000,None,718000,0.18,0.62
2,2019-12-31,USD,8377000,13917000,9523000,8377000,-5395000,-6387000,641000,None,-7273000,None,9167000,1031000,-6426000,5916000,1878000,None,39000,-71000,None,None,None,None,110000,None,-7273000,-6387000,None,USD,23604000,2922000,None,660000,14375000,9229000,None,3642000,None,-252572000,None,None,None,1737000,13212000,369000,339000,207000,1972000,16785000,None,6307000,None,6714000,None,7674000,9201000,None,None,None,None,-252572000,-277000,None,1925000,None,6819000,1984000,None,1163000,1163000,None,None,None,261871000,23604000,1737000,None,21551333,USD,-44000,-1324000,-44000,-24000,-5866000,3493000,5453000,-798000,-6387000,1238000,-2211000,613000,602000,None,3991000,1126000,-2019000,5178000,44000,-2019000,None,1238000,0.25,0.18
3,2019-09-30,USD,5007000,10002000,3191000,5007000,-4898000,-4995000,799000,None,-4898000,None,8297000,None,-4898000,513000,-393000,None,-112000,-393000,None,393000,None,None,296000,None,-4898000,-4995000,None,USD,26513000,3368000,None,949000,14603000,11910000,None,3310000,None,-246185000,None,None,None,505000,13369000,371000,231000,357000,2056000,19044000,None,8542000,None,4802000,None,12788000,9688000,None,None,None,None,-246185000,-277000,None,2045000,None,7469000,1234000,1234000,None,1234000,None,None,None,258015000,26513000,505000,None,14307222,USD,-132000,-1547000,-132000,-24000,-5810000,5167000,-7003000,-1149000,-4995000,98000,-4937000,334000,593000,None,12170000,-497000,667000,508000,108000,667000,None,98000,0.53,0.25
4,2019-06-30,USD,7352000,10927000,3558000,7352000,-3210000,-3575000,866000,None,-3210000,None,9066000,None,-3210000,-69000,-1064000,None,-317000,-1064000,None,1064000,None,None,699000,None,-3210000,-3575000,None,USD,27997000,3813000,None,916000,22443000,5554000,None,3642000,None,-241190000,None,None,None,416000,15602000,455000,10000,276000,2051000,19706000,None,1741000,None,5637000,5803000,12737000,11505000,None,None,None,None,-241190000,-22000,None,2427000,None,8291000,1038000,6841000,None,6841000,None,None,None,246490000,27997000,416000,None,2255727,USD,-210000,3107000,-210000,None,-56000,-56000,-141000,855000,-3575000,91000,357000,759000,622000,None,None,-246000,-253000,-57000,210000,-253000,None,84000,1.6,0.53
5,2019-03-31,USD,8206000,11296000,4127000,8206000,-2666000,-3090000,926000,None,-2666000,None,9310000,None,-2666000,710000,350000,None,-424000,-350000,None,350000,None,None,-74000,None,-2666000,-3090000,None,USD,28323000,4255000,None,875000,20380000,7943000,None,2550000,None,-237615000,None,None,None,324000,12766000,1513000,321000,242000,1957000,19446000,None,3688000,None,5531000,5902000,12716000,8703000,None,None,None,None,-237615000,-22000,None,2665000,None,8877000,1712000,7614000,1712000,7614000,None,None,None,245338000,28323000,324000,None,1923471,USD,-39000,-1016000,-39000,None,-85000,-85000,-1193000,197000,-3090000,-1688000,-1564000,5000,611000,None,None,458000,738000,730000,39000,738000,7000,-1681000,0.35,1.6
6,2018-12-31,USD,10812000,13326000,5805000,10812000,-2579000,-2514000,1220000,None,-2579000,None,10924000,None,-2274000,-1781000,-399000,None,None,None,None,2963000,None,0,-925000,None,-2579000,-2514000,None,USD,28813000,4691000,None,780000,18523000,10290000,None,1574000,None,-234525000,None,None,None,2005000,12637000,1518000,None,275000,2096000,22026000,None,5599000,None,6191000,5886000,13050000,9545000,None,None,None,None,-234525000,-22000,None,None,None,6787000,None,5886000,None,5886000,None,None,None,244562000,28813000,2005000,None,18776978,USD,None,-1717000,95000,95000,1846000,1846000,-70000,-203000,-2954000,793000,-1148000,1608000,784000,None,None,903000,-1156000,1351000,39000,-1156000,3000,796000,0.311,0.35
7,2018-09-30,USD,8325000,10532000,4349000,8325000,-2722000,-2207000,1286000,None,-2722000,None,8948000,-23000,-2699000,298000,-369000,None,None,None,None,None,None,0,492000,None,-2722000,-2207000,None,USD,29335000,5136000,None,1087000,19499000,9836000,None,1963000,None,-231571000,None,None,None,1209000,16367000,4301000,2000000,305000,2448000,21751000,None,4700000,None,5238000,3132000,14217000,10103000,None,None,None,None,-231571000,-22000,None,None,None,7584000,None,3132000,None,3132000,None,None,None,241124000,29335000,1209000,None,17154247,USD,None,-1052000,122000,155000,-34000,-34000,-70000,-1028000,-2207000,-786000,-874000,-100000,928000,None,None,1619000,60000,-89000,33000,60000,-190000,-976000,0.4219,0.311
8,2018-06-30,USD,9424000,15807000,4608000,9424000,-5232000,-6383000,2925000,None,-5232000,None,10515000,-109000,-5123000,2199000,-1903000,None,None,None,None,168000,None,0,-1428000,None,-5232000,-6383000,None,USD,32583000,5577000,None,704000,21421000,11162000,None,3642000,None,-229364000,None,None,None,2185000,21397000,6035000,2000000,328000,2744000,24262000,None,5585000,None,5357000,None,16016000,11720000,None,None,None,None,-229364000,-22000,None,None,None,8321000,24000,24000,None,24000,None,None,None,240220000,32583000,2185000,None,16674872,USD,None,-1872000,-6000,None,3634000,3634000,-363000,-559000,-5943000,1623000,-2005000,1674000,2655000,None,None,-534000,1112000,903000,6000,1112000,107000,1730000,0.64,0.4219
9,2018-03-31,USD,9733000,13502000,4903000,9733000,-3894000,-3769000,2442000,None,-3894000,None,10622000,437000,-4331000,438000,-47000,None,None,None,None,None,None,0,562000,None,-3894000,-3769000,None,USD,33417000,6317000,None,7192000,18564000,14853000,None,2915000,None,-223614000,None,None,None,455000,18537000,699000,2000000,437000,2926000,24174000,None,14853000,None,6652000,None,16192000,14950000,None,None,None,None,-223614000,-22000,None,None,None,2926000,None,None,None,None,None,None,None,238052000,33417000,455000,None,14959782,USD,None,-299000,-30000,None,-11000,-11000,-363000,29000,-3769000,-2393000,-2352000,-72000,887000,None,None,-1213000,1795000,319000,30000,1795000,49000,-2344000,1.04,0.64
