,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-04-30,USD,287295000,178795000,-97717000,184969000,4961000,-6014000,59079000,None,-5737000,2039000,111651000,-1213000,6174000,8065000,10698000,-1762000,1017000,-9681000,None,None,None,-1762000,-2230000,None,-3975000,-6014000,None,USD,3094708000,182503000,None,154417000,1901802000,1178402000,None,378548000,69000,-112544000,129733000,1452434000,135798000,603122000,677791000,None,None,-178774000,115481000,1110614000,None,-456535000,19741000,308304000,990390000,25030000,299243000,None,None,69000,None,-112544000,-208124000,None,233676000,None,1984094000,87340000,990390000,233621000,1224011000,None,None,None,1677775000,3094708000,622863000,None,64526000,USD,450000,564000,9293000,17678000,153102000,114739000,-1282000,-9696000,-3975000,200010000,75978000,-22378000,27157000,-245000,-36836000,-5118000,70087000,9641000,8835000,70087000,None,200010000,42.74,
1,2020-01-31,USD,663508000,191042000,-335812000,219338000,28403000,4869000,58135000,None,18168000,1799000,124579000,107000,28296000,8328000,10235000,11500000,1103000,-9132000,None,None,None,11500000,-996000,None,6668000,4869000,None,USD,3016058000,197764000,None,152907000,1773621000,1229368000,39829000,397350000,68000,-105590000,128898000,1469211000,104735000,423006000,702902000,4250000,4250000,-151865000,116111000,999058000,None,-437607000,20215000,382435000,832798000,20495000,301302000,None,None,68000,None,-105590000,-174134000,None,220112000,13802000,2017000000,120238000,832798000,198092000,1070719000,None,None,None,1660889000,3016058000,443221000,None,64738000,USD,-3224000,-17617000,-56490000,-46626000,43193000,-77041000,-2479000,13945000,6668000,-32097000,101434000,85113000,26836000,-4539000,-113216000,2357000,-33685000,31762000,6640000,-33685000,-1823000,-33920000,58.0,42.74
2,2019-10-31,USD,324867000,181778000,-107304000,211595000,32303000,11681000,57694000,None,22201000,1302000,116306000,2486000,29817000,7778000,10102000,9218000,1404000,-8698000,None,None,None,9218000,1082000,None,12983000,11681000,None,USD,2982447000,205307000,None,162343000,1647857000,1318814000,None,339232000,68000,-110459000,125515000,1448726000,129268000,437023000,628705000,6090000,6090000,-158002000,109698000,984081000,None,-335219000,13973000,346741000,785170000,24001000,289473000,None,None,68000,None,-110459000,-58072000,None,234635000,None,1998366000,94163000,785170000,233982000,1019152000,None,None,None,1645279000,2982447000,450996000,None,66824000,USD,14499000,-1870000,-3296000,-7125000,-1477000,-7145000,-5374000,-10581000,12983000,27750000,38191000,-25778000,26257000,-294000,0,3831000,3352000,19416000,10670000,3352000,None,27750000,45.39,58.0
3,2019-07-31,USD,324305000,192589000,-110854000,207864000,17871000,10558000,58685000,None,7764000,1713000,126265000,2596000,15275000,7639000,10107000,-4507000,1687000,-8420000,None,None,None,-4507000,909000,None,12271000,10558000,None,USD,2931706000,215332000,None,144795000,1643728000,1273324000,None,347226000,68000,-122140000,116255000,1430082000,118185000,412785000,638780000,5328000,5328000,-175197000,106393000,960790000,None,-372090000,25590000,349161000,782589000,28459000,291554000,None,None,68000,None,-122140000,-58072000,None,219109000,None,1970916000,93137000,782589000,222359000,1004948000,None,None,None,1628665000,2931706000,438375000,None,66771000,USD,10765000,-16778000,-30566000,-31944000,-1822000,-13404000,-10927000,-7543000,12271000,-38754000,5216000,568000,24914000,-655000,0,-1318000,-35461000,21020000,9387000,-35461000,None,-38754000,57.87,45.39
4,2019-04-30,USD,315259000,186603000,114188000,201071000,15104000,1576000,57169000,None,5170000,2185000,121721000,636000,14468000,7713000,9934000,1409000,-9146000,-8508000,None,None,None,1409000,-790000,None,3761000,1576000,None,USD,2957541000,219552000,None,153244000,1682964000,1260930000,None,350488000,67000,-132698000,147045000,1431517000,117476000,451773000,660746000,4718000,4718000,-149523000,102340000,988297000,None,-390139000,39334000,316101000,780260000,27845000,310258000,None,None,67000,None,-132698000,-58072000,None,215835000,None,1969244000,85649000,780260000,241958000,1022218000,None,None,None,1601156000,2957541000,491107000,None,65773000,USD,-7030000,8487000,-35449000,-20088000,-1584000,-13732000,-11674000,4543000,3761000,43882000,93063000,-20144000,26015000,None,-474000,-3118000,58900000,19162000,8331000,58900000,None,43882000,60.39,57.87
5,2019-01-31,USD,330230000,176103000,110575000,219655000,43371000,27306000,53113000,0,33697000,1002000,114701000,-181000,43552000,8289000,9674000,5389000,None,None,0,0,0,5389000,-1712000,0,28308000,27306000,None,USD,2867027000,238525000,None,161165000,1606223000,1249236000,43171000,377376000,67000,-134274000,159644000,1417481000,104541000,412237000,661821000,4343000,4343000,-145225000,100134000,1006346000,None,-406770000,32329000,375663000,777785000,24952000,280102000,None,None,67000,None,-134274000,-57598000,None,78871000,25670000,1860681000,None,777785000,123446000,944402000,None,None,None,1586266000,2867027000,444566000,None,65333000,USD,18636000,-5135000,-56277000,-66160000,-1666000,-5315000,-4000,2219000,28308000,22009000,83601000,79156000,25705000,-3649000,4000,-3804000,-57399000,16770000,8753000,-57399000,-3158000,18851000,48.37,60.39
6,2018-10-31,USD,303983000,159074000,111239000,192744000,34500000,18920000,51587000,0,25814000,1293000,99902000,830000,33670000,7585000,8686000,None,None,None,0,0,0,5601000,-9056000,0,20213000,18920000,None,USD,2703575000,203743000,None,165037000,1490076000,1199547000,28283000,306240000,67000,-161580000,147670000,1364452000,104048000,385879000,567064000,4382000,4382000,-154148000,95875000,933579000,1878000,-368648000,49434000,311492000,775342000,21737000,260824000,1170383000,1572806000,67000,0,-161580000,-57598000,None,101643000,4283000,1769996000,None,775342000,147670000,923012000,None,None,None,1572806000,2703575000,435313000,None,65272000,USD,-41139000,-3105000,-47017000,-842000,-1589000,-2915000,-1326000,-2867000,20213000,-22435000,27497000,-15894000,24277000,0,0,-4579000,1582000,16221000,5036000,-9636000,None,-22435000,45.67,48.37
7,2018-07-31,USD,306327000,163789000,113307000,193020000,29124000,21980000,52254000,0,19202000,944000,104083000,-107000,29231000,7452000,9922000,None,None,None,0,0,0,-3722000,-6829000,0,22924000,21980000,None,USD,2704332000,218537000,None,173324000,1514489000,1177035000,24865000,325103000,67000,-180500000,159276000,1375748000,102206000,410810000,582271000,4420000,4420000,-143548000,92897000,913305000,1639000,-417250000,8434000,301010000,772942000,19727000,257168000,1170383000,1558614000,67000,0,-180500000,-57598000,None,99680000,4165000,1791027000,None,772942000,159276000,932218000,None,None,None,1558614000,2704332000,419244000,None,64905000,USD,683000,-11709000,-61167000,-51700000,-1659000,-8844000,-7185000,-8490000,22924000,-26010000,44001000,-3048000,23915000,0,0,-2259000,6723000,14049000,10150000,129000,None,-26010000,44.9,45.67
8,2018-04-30,USD,289207000,167333000,114092000,175115000,8111000,-2215000,52152000,0,-951000,990000,107497000,329000,7782000,7684000,9062000,None,None,None,0,0,0,274000,-8911000,0,-1225000,-2215000,None,USD,2700364000,217171000,None,173522000,1537093000,1151189000,22578000,332139000,66000,-202480000,164153000,1376264000,96161000,415187000,602223000,4460000,4460000,-123421000,89974000,918991000,1803000,-442246000,9220000,303108000,770717000,17954000,270084000,1170383000,1534622000,66000,0,-202480000,-57598000,None,93486000,4478000,1781373000,None,770717000,164153000,934870000,None,None,None,1534622000,2700364000,424407000,None,64012000,USD,-2792000,-3027000,-11262000,-723000,-1275000,-4807000,-2599000,-1437000,-1225000,44083000,60152000,-24791000,26868000,-760000,-173000,2434000,26575000,14507000,7747000,45386000,None,44083000,42.1,44.9
9,2018-01-31,USD,318731000,168569000,113905000,204826000,40098000,17097000,48732000,0,31136000,1189000,112355000,3841000,36257000,7482000,8962000,None,None,None,0,0,0,12850000,-22604000,0,18286000,17097000,None,USD,2580620000,235321000,None,88186000,1448284000,1120592000,59824000,196107000,65000,-238312000,135669000,1388299000,1709339000,371245000,505511000,4500000,4500000,-103460000,89089000,782192000,1250000,-503028000,6566000,296324000,768484000,19871000,304904000,1132336000,1519724000,65000,0,-238312000,-57425000,None,52037000,33682000,1798428000,None,768484000,114465000,942773000,None,None,None,1519724000,2580620000,377811000,None,63836000,USD,-1651000,29427000,-55788000,-45052000,-1510000,-4083000,15000,5280000,18286000,20282000,80153000,329000,28717000,-2588000,0,-633000,-23512000,11715000,9085000,-7688000,4994000,25276000,41.75,42.1
