,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,55065000,28478000,None,55065000,26587000,21040000,None,None,26587000,None,28478000,None,26587000,1677000,11667000,5547000,41958000,30291000,None,None,None,5547000,None,None,21040000,21040000,None,USD,5876960000,6759000,1040199000,None,5356797000,520163000,1000000,4101436000,1085000,399386000,64230000,63909000,4378464000,265618000,4101436000,None,None,-462000,28067000,1211803000,4290197000,449495000,946185000,None,61581000,None,None,None,None,1085000,None,399386000,-3530000,None,276225000,None,4665157000,29125000,61581000,1193780000,1255361000,None,None,None,123684000,5876960000,1211803000,None,17260217,USD,-211752000,3285000,-211221000,828000,-193483000,231546000,434022000,-6666000,21040000,38071000,17746000,-9943000,2201000,-8952000,-41000,None,None,1163000,297000,None,None,38071000,32.75,
1,2020-03-31,USD,45493000,30453000,None,45493000,15040000,11901000,None,None,15040000,None,30453000,None,15040000,2456000,14514000,3139000,46476000,31962000,None,None,None,3139000,None,None,11901000,11901000,None,USD,5620979000,6988000,1027310000,None,5112382000,508597000,905000,3706314000,1085000,387243000,65523000,63909000,4180716000,232254000,3706314000,None,None,929000,28543000,1156237000,4100482000,437700000,923983000,None,22681000,None,None,None,None,1085000,None,387243000,-3827000,None,264820000,None,4464742000,28184000,22681000,1383387000,1406068000,None,None,None,123167000,5620979000,1156237000,None,17251532,USD,-201718000,56292000,-201280000,1066000,57070000,250920000,207432000,-751000,11901000,46814000,-2826000,-57128000,2532000,-8883000,-4699000,None,None,-16423000,628000,None,None,46814000,36.56,32.75
2,2019-12-31,USD,48612000,28755000,None,48612000,19857000,15536000,None,None,19857000,None,28755000,None,19857000,3215000,15389000,4321000,46690000,31301000,None,None,None,4321000,-338000,None,15536000,15536000,None,USD,5292659000,7218000,984438000,55733000,4789167000,503492000,905000,3498882000,1085000,390363000,67898000,63909000,4011410000,183046000,3498882000,77033000,77033000,-11237000,28700000,1088798000,3893818000,432365000,905752000,4500000,22681000,1109000,3498882000,None,None,1085000,None,390363000,None,None,210216000,None,4203861000,28861000,22681000,1267604000,1290285000,None,None,None,123281000,5292659000,1088798000,None,17363455,USD,-134652000,-11023000,-132803000,2213000,184678000,89093000,-87271000,2284000,15536000,-7649000,36061000,13326000,2421000,-8867000,553000,None,None,15801000,364000,None,None,-7649000,53.79,36.56
3,2019-09-30,USD,50920000,26870000,None,50920000,24050000,18814000,None,None,24050000,None,26870000,None,24050000,2048000,16549000,5236000,48780000,32231000,None,None,None,5236000,224000,None,18814000,18814000,None,USD,5198878000,7448000,981043000,72257000,4701053000,497825000,683000,3586153000,1084000,383765000,66075000,63909000,3895654000,186798000,3586153000,355822000,355822000,-8924000,29293000,1078154000,3795766000,426468000,891356000,4800000,22681000,4142000,3586153000,None,None,1084000,None,383765000,None,None,224308000,None,4120724000,29541000,22681000,1092219000,1114900000,None,None,None,121900000,5198878000,1078154000,None,17338348,USD,39925000,18794000,39128000,4729000,-104174000,-31515000,81531000,3928000,18814000,26290000,18677000,-14836000,2261000,-8866000,-6000,None,None,-6356000,797000,None,None,26290000,48.31,53.79
4,2019-06-30,USD,50086000,28151000,None,50086000,21935000,17273000,None,None,21935000,None,28151000,None,21935000,2297000,16701000,4662000,49839000,33138000,None,None,None,4662000,-779000,None,17273000,17273000,None,USD,5189672000,7684000,1062833000,65496000,4705467000,484205000,580000,3504622000,1083000,373873000,58876000,63909000,3843341000,165663000,3504622000,534996000,534996000,-11866000,29302000,1138741000,3742937000,412612000,973078000,5000000,22681000,2142000,3504622000,None,None,1083000,None,373873000,None,None,207099000,None,4050931000,30210000,22681000,1178164000,1200845000,None,None,None,121115000,5189672000,1138741000,None,17335869,USD,34368000,14249000,34052000,-64469000,4831000,-3500000,362000,-999000,17273000,28255000,-2297000,-15003000,2145000,-8303000,-390000,None,None,-20961000,316000,None,None,28255000,52.18,48.31
5,2019-03-31,USD,49301000,26964000,None,49301000,22337000,17495000,None,None,22337000,None,26964000,None,22337000,2289000,15610000,4842000,49499000,33889000,None,None,None,4842000,-577000,None,17495000,17495000,None,USD,5154729000,7923000,1060831000,40308000,4684886000,469843000,483000,3504260000,1082000,365521000,58521000,63909000,3851128000,136267000,3504260000,822665000,822665000,-17503000,29822000,1134465000,3725433000,398011000,998198000,5000000,22681000,2142000,3504260000,None,None,1082000,None,365521000,None,None,193177000,None,4020264000,30187000,22681000,1157945000,1180626000,None,None,None,120743000,5154729000,1134465000,None,17305279,USD,-99163000,9532000,-100492000,326000,105407000,77582000,-19788000,-1483000,17495000,-1916000,20994000,-11008000,1899000,-8153000,116000,None,None,3076000,1655000,None,None,-1916000,48.15,52.18
6,2018-12-31,USD,48241000,26682000,14439000,48241000,21559000,17036000,0,0,21559000,0,26682000,None,21559000,3049000,13639000,None,None,None,0,0,0,4523000,-428000,0,17036000,17036000,None,USD,5010766000,8162000,None,42596000,4562582000,448184000,458000,3524048000,1081000,355524000,61929000,63909000,3796367000,135991000,3524048000,137258000,137258000,-28309000,29005000,1077768000,3674284000,376113000,941777000,4800000,22681000,2142000,3524048000,None,None,1081000,None,355524000,None,None,157638000,None,3932998000,None,22681000,1015853000,1038534000,None,None,None,119888000,5010766000,1077768000,None,17302037,USD,-229780000,-9999000,-231434000,-1543000,122330000,224617000,109700000,3448000,17036000,17624000,24441000,13489000,1775000,-7456000,43000,None,None,2140000,1654000,None,None,17624000,47.53,48.15
7,2018-09-30,USD,48314000,26062000,12065000,48314000,22252000,17511000,0,0,22252000,0,26062000,None,22252000,2130000,11715000,None,None,None,0,0,0,4741000,-355000,0,17511000,17511000,None,USD,4770672000,8400000,None,43271000,4342763000,427909000,0,3414348000,1081000,346685000,59520000,63909000,3671595000,117459000,3414348000,297670000,297670000,-39077000,28195000,943886000,3552265000,355600000,826427000,5200000,22681000,2974000,3414348000,0,0,1081000,0,346685000,0,None,174017000,None,3826786000,None,22681000,905734000,928415000,None,None,None,119220000,4770672000,943886000,None,17290443,USD,-106159000,7441000,-106755000,49000,-72661000,12246000,92737000,3315000,17511000,-58841000,35668000,-4024000,1840000,-7510000,-320000,9728000,0,12900000,645000,None,None,-58841000,55.3,47.53
8,2018-06-30,USD,48704000,26288000,10575000,48704000,22416000,17674000,0,0,22416000,0,26288000,None,22416000,2082000,10175000,None,None,None,0,0,0,4742000,-669000,0,17674000,17674000,None,USD,4737242000,8645000,None,48507000,4315671000,421571000,0,3321611000,1080000,336670000,55393000,63909000,3602984000,178349000,3321611000,580331000,580331000,-35062000,28377000,969078000,3499263000,349017000,790729000,5000000,22681000,3206000,3321611000,0,0,1080000,0,336670000,0,None,167970000,None,3768164000,None,22681000,971379000,994060000,None,None,None,118883000,4737242000,969078000,None,17278116,USD,-98685000,5332000,-104549000,-5000000,92376000,150008000,65177000,-472000,17674000,46690000,1231000,-5659000,1741000,-7607000,62000,0,0,-17857000,864000,None,None,46690000,58.1,55.3
9,2018-03-31,USD,47595000,27130000,8588000,47595000,20465000,16211000,0,0,20465000,0,27130000,None,20465000,3387000,8588000,None,None,None,0,0,0,4254000,-652000,0,16211000,16211000,None,USD,4566326000,8893000,None,33369000,4153245000,413081000,0,3256434000,1079000,326505000,65453000,63909000,1068313000,126807000,3256434000,487955000,487955000,-32675000,28316000,928944000,3380811000,340279000,802137000,5300000,22681000,22475000,3256434000,0,0,1079000,0,326505000,0,None,155453000,None,3637382000,None,22681000,874130000,896811000,None,None,None,118172000,4566326000,928944000,None,17261730,USD,-38282000,6483000,-39093000,-610000,17321000,22636000,12510000,-4490000,16211000,5079000,21536000,-10766000,1770000,-6739000,-456000,10363000,0,7838000,811000,None,None,5079000,53.75,58.1
