,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,98247000,33238000,45197000,53050000,19859000,14524000,None,None,19081000,None,32686000,47000,19812000,552000,778000,4557000,20000,-758000,None,None,None,4557000,27000,None,14524000,14524000,None,USD,385951000,8821000,None,5350000,240968000,144983000,11457000,None,20000,388265000,22307000,95376000,4008000,88555000,117749000,70800000,70800000,-32323000,56712000,213265000,None,40786000,None,76390000,94566000,42970000,46949000,None,None,20000,None,388265000,-368080000,None,11355000,None,422000,7960000,94566000,17196000,123219000,None,None,None,157101000,385951000,88555000,None,13664786,USD,-6607000,-2749000,-6607000,109000,63671000,47306000,-2640000,6863000,14524000,58073000,17374000,5276000,1956000,-9198000,-7167000,-785000,-1693000,845000,6716000,-1693000,None,58073000,191.85,
1,2020-02-29,USD,100049000,35417000,46447000,53602000,17984000,14327000,None,None,17391000,None,34763000,-201000,18185000,654000,593000,3064000,28000,-565000,None,None,None,3064000,-229000,None,14327000,14327000,None,USD,333331000,9475000,None,8973000,185372000,147959000,11665000,None,20000,382939000,22104000,95580000,3779000,30503000,95424000,41729000,41729000,-30468000,57910000,158263000,None,42904000,None,75827000,61117000,42960000,53695000,None,None,20000,None,382939000,-360913000,None,11680000,None,423000,8388000,61117000,17166000,89948000,None,None,None,156381000,333331000,30503000,None,13705795,USD,-4713000,-2810000,-4713000,17000,12641000,-1296000,-2640000,-7235000,14327000,2167000,8176000,-2124000,2067000,-9236000,-4701000,710000,-4943000,949000,4730000,-4943000,None,2167000,172.49,191.85
2,2019-11-30,USD,98556000,38839000,45013000,53543000,14734000,12194000,None,None,14292000,None,38189000,30000,14704000,650000,442000,2098000,25000,-417000,None,None,None,2098000,5000,None,12194000,12194000,None,USD,317491000,10124000,None,6783000,171499000,145992000,11784000,5173000,20000,377848000,22243000,95573000,3733000,28680000,81020000,29088000,29088000,-30370000,50103000,149224000,None,40295000,None,70058000,61152000,43703000,51932000,None,None,20000,None,377848000,-356212000,None,12039000,None,428000,8798000,61152000,17543000,90479000,None,None,None,154706000,317491000,28680000,None,13714203,USD,-5770000,-2566000,-5770000,195000,7483000,-8520000,-2640000,-2492000,12194000,916000,15206000,-258000,1957000,-8406000,-4957000,-2358000,3630000,2607000,5965000,3630000,None,916000,193.11,172.49
3,2019-08-31,USD,106744000,35204000,48476000,58268000,23042000,8584000,None,None,22463000,None,34554000,-22000,23064000,650000,579000,13879000,32000,-547000,-8665000,None,None,13879000,-54000,None,8584000,8584000,None,USD,302662000,10652000,None,7216000,157187000,145475000,11688000,4913000,20000,374060000,22376000,95347000,3592000,27233000,74590000,21205000,21205000,-32482000,45076000,147995000,None,39476000,0,72864000,60221000,40682000,53385000,None,None,20000,None,374060000,-351255000,None,3189000,None,403000,None,60221000,10688000,82597000,None,None,None,155132000,302662000,27233000,None,13718661,USD,-1000,3686000,-4460000,122000,-14173000,-30185000,-350000,11155000,8584000,-8065000,26580000,7979000,1883000,-8421000,-7241000,2041000,968000,1439000,4581000,968000,None,-8065000,182.3,193.11
4,2019-05-31,USD,113989000,38881000,51906000,62083000,23184000,18139000,None,None,22617000,None,38226000,-18000,23202000,655000,567000,4478000,27000,-540000,None,None,None,4478000,-45000,None,18139000,18139000,None,USD,313323000,11381000,None,6097000,159896000,153427000,11985000,4323000,20000,373896000,13802000,95487000,3601000,35741000,84886000,34880000,34880000,-31458000,41947000,160907000,None,46559000,0,75992000,61208000,43077000,50006000,None,None,20000,None,373896000,-344014000,None,3104000,None,497000,None,61208000,1817000,75010000,None,None,None,154983000,313323000,35741000,None,13758794,USD,220000,-265000,-3338000,137000,8454000,-10326000,-2433000,4427000,18139000,5381000,19045000,1473000,1885000,-8457000,-10323000,348000,-1908000,-627000,3695000,-1908000,None,6497000,156.33,182.3
5,2019-02-28,USD,101335000,36443000,45177000,56158000,20257000,15906000,0,None,19572000,None,35775000,542000,19715000,668000,685000,3666000,45000,-640000,None,None,None,3666000,497000,None,15906000,15906000,None,USD,310275000,12165000,None,8079000,154390000,155885000,12148000,4465000,20000,364116000,13936000,95710000,3580000,31596000,77075000,25948000,25948000,-28954000,39475000,159345000,None,48010000,224000,75239000,63379000,44207000,51127000,None,None,20000,None,364116000,-333691000,None,3066000,None,514000,None,63379000,1788000,77315000,None,None,None,154394000,310275000,31820000,None,13820294,USD,-3648000,909000,-3648000,66000,9345000,-4350000,-8000,-5523000,15906000,219000,8217000,-3582000,1900000,-8489000,-5198000,-4338000,-4076000,1498000,3714000,-4076000,-197000,22000,178.97,156.33
6,2018-11-30,USD,101282000,39430000,45451000,55831000,16828000,13279000,1800000,None,16118000,None,38697000,427000,16401000,733000,710000,None,None,None,None,None,None,2839000,-283000,None,13279000,13279000,None,USD,294500000,12735000,None,5253000,142532000,151968000,11447000,1670000,20000,356699000,13245000,95547000,3574000,31574000,66887000,16662000,800000,-29267000,36412000,146232000,None,43686000,216000,69850000,62400000,39339000,50225000,0,0,20000,0,356699000,-328493000,None,3066000,None,508000,None,62400000,1798000,75645000,None,None,None,153009000,294500000,31790000,None,13833291,USD,220000,-11399000,-1234000,58000,-7338000,-24148000,-2425000,4296000,13279000,-16373000,9009000,7606000,1925000,-7522000,-6863000,-2851000,-2302000,2751000,1292000,-2302000,-919000,-17292000,174.68,178.97
7,2018-08-31,USD,102640000,36879000,45990000,56650000,20280000,21637000,1700000,0,19109000,0,36144000,509000,19771000,735000,1171000,None,None,None,0,0,0,-2528000,838000,0,21637000,21637000,None,USD,317059000,13513000,None,13337000,161570000,155489000,11050000,9018000,20000,351266000,12867000,95621000,3585000,48866000,85903000,23600000,800000,-27636000,36357000,167983000,None,46355000,219000,69025000,62800000,36536000,62303000,0,0,20000,0,351266000,-321630000,None,3074000,None,511000,None,62800000,1817000,75667000,None,None,None,153469000,317059000,49085000,None,13850413,USD,-831000,11655000,-2396000,113000,-81742000,-94120000,-6000,-9869000,21637000,-73280000,23236000,-13787000,1951000,-7540000,-4832000,809000,650000,321000,1678000,650000,-1192000,-74472000,177.45,174.68
8,2018-05-31,USD,107025000,36329000,48367000,58658000,22502000,16130000,2000000,0,21297000,0,35583000,173000,22329000,746000,1205000,None,None,None,0,0,0,5167000,-1032000,0,16130000,16130000,None,USD,386591000,14306000,None,4940000,238049000,148542000,11736000,1105000,20000,337169000,19787000,95706000,3557000,123338000,135462000,85342000,800000,-24802000,36206000,236816000,None,38530000,234000,70665000,82800000,37639000,50120000,0,0,20000,0,337169000,-316798000,None,3068000,None,489000,None,82800000,8051000,102587000,None,None,None,152953000,386591000,123572000,None,13880647,USD,84325000,-369000,82993000,99000,922000,-13064000,-20000,1130000,16130000,90361000,20432000,129000,1963000,-7559000,-6407000,1644000,862000,73000,1431000,862000,-3523000,86838000,137.55,177.45
9,2018-02-28,USD,101256000,36390000,45498000,55758000,19218000,14818000,1600000,0,18216000,0,35649000,-150000,19368000,741000,1002000,None,None,None,0,0,0,3398000,-1152000,0,14818000,14818000,None,USD,394000000,15221000,None,5689000,239658000,154342000,11761000,29537000,20000,328598000,8189000,95947000,114743000,36500000,66508000,14020000,800000,-16421000,36849000,242408000,None,43174000,86914000,73332000,153200000,39973000,52488000,0,0,20000,0,328598000,-310391000,None,3074000,None,501000,None,153200000,8189000,173150000,None,None,None,152536000,394000000,123414000,None,13928937,USD,-111000,1478000,-8219000,130000,3220000,-11896000,-34000,3071000,14818000,-11540000,8575000,5819000,1969000,-7598000,-7484000,-2293000,-7364000,-5852000,8238000,-7364000,1108000,-10432000,124.7,137.55
10,2017-11-30,USD,97597000,37061000,43400000,54197000,17397000,12630000,1700000,0,16556000,0,36332000,261000,17136000,729000,841000,None,None,None,0,0,0,3926000,0,0,12630000,12630000,None,USD,379894000,15790000,None,4849000,234541000,145353000,19155000,30648000,20000,321378000,1874000,95721000,115069000,46932000,60312000,10800000,800000,-24248000,29359000,235466000,None,33842000,82586000,64054000,153200000,37045000,49512000,0,0,20000,0,321378000,-302907000,None,3076000,None,482000,None,153200000,1874000,174229000,None,None,None,151110000,379894000,129518000,None,13981212,USD,-103000,-6067000,-1171000,-59000,10000000,-2329000,-1763000,1638000,12630000,9079000,12579000,3219000,1917000,-6888000,-3678000,-1459000,217000,2122000,1009000,217000,771000,9850000,119.4,124.7
11,2017-08-31,USD,96561000,34178000,42465000,54096000,20294000,14368000,2500000,0,19534000,0,33455000,376000,19918000,723000,760000,None,None,None,0,0,0,5166000,-1287000,0,14368000,14368000,None,USD,369717000,16244000,None,8007000,230330000,139387000,18949000,33219000,20000,315764000,1958000,95597000,115424000,37082000,75423000,20000000,154000000,-28075000,29439000,224854000,None,27546000,80166000,64259000,134000000,35340000,55423000,0,0,20000,0,315764000,-299014000,None,3088000,None,495000,None,134000000,1958000,154907000,None,None,None,150692000,369717000,117248000,None,13984183,USD,-273000,4137000,-4986000,27000,32000000,-11460000,107000,-9806000,14368000,4171000,20617000,-5174000,1764000,-6912000,-4655000,1439000,482000,1686000,4740000,2397000,706000,4877000,108.95,119.4
12,2017-05-31,USD,98178000,33674000,43891000,54287000,20979000,14444000,1600000,0,20286000,0,32956000,366000,20613000,718000,693000,None,None,None,0,0,0,5842000,0,0,14444000,14444000,None,USD,357779000,16936000,None,2959000,223440000,134339000,17286000,30126000,20000,308308000,1962000,95557000,115988000,32205000,70192000,20000000,154000000,-29624000,25510000,216281000,None,21846000,79391000,65177000,134000000,36549000,50192000,0,0,20000,0,308308000,-294132000,None,2886000,None,609000,None,134000000,1962000,153248000,None,None,None,149767000,357779000,111596000,None,14023428,USD,-9603000,-4630000,-11985000,132000,5767000,-7990000,496000,5007000,14444000,-2002000,17973000,3119000,1707000,-6933000,-7320000,1656000,0,-496000,2514000,2173000,635000,-1367000,105.7,108.95
13,2017-02-28,USD,96519000,35600000,42057000,54462000,19004000,12360000,2200000,0,18406000,0,34883000,142000,18862000,717000,598000,None,None,None,0,0,0,6046000,0,0,12360000,12360000,None,USD,350254000,17550000,None,6187000,220690000,129564000,17442000,27396000,20000,300797000,2668000,95439000,116416000,33572000,66580000,14233000,14233000,-33128000,22293000,211545000,None,16575000,67720000,66086000,134000000,37980000,52347000,0,0,20000,0,300797000,-286623000,None,2806000,None,621000,None,134000000,2668000,154110000,None,None,None,148498000,350254000,101292000,None,14088804,USD,-246000,1441000,-1430000,109000,13879000,1015000,501000,-2529000,12360000,-171000,244000,-2529000,1678000,-6965000,-6400000,-3706000,0,1445000,1293000,-10445000,261000,90000,109.9,105.7
14,2016-11-30,USD,89248000,34524000,38208000,51040000,16927000,11758000,2100000,0,16396000,0,33803000,411000,16516000,721000,531000,None,None,None,0,0,0,4638000,0,0,11758000,11758000,None,USD,333655000,18263000,None,3641000,205208000,128447000,16521000,29252000,20000,295402000,2655000,95432000,117120000,33482000,64032000,12354000,12354000,-33412000,22016000,194519000,None,14752000,67339000,55851000,122000000,34206000,51678000,0,0,20000,0,295402000,-280061000,None,2817000,None,608000,None,122000000,2655000,141176000,None,None,None,146498000,333655000,100821000,None,14127152,USD,-12449000,-6109000,-23890000,162000,12354000,-5168000,435000,1070000,11758000,-15555000,13503000,1070000,1620000,-5998000,-11959000,-2876000,6357000,1683000,11603000,6357000,-1854000,-17409000,107.9,109.9
15,2016-08-31,USD,97152000,309322000,40526000,214369000,53293000,14232000,2400000,0,19305000,0,37425000,None,17629000,2236000,481000,None,None,None,0,0,0,5073000,1441000,0,39963000,14232000,None,USD,339668000,19191000,None,4475000,199273000,140395000,16365000,36623000,20000,289642000,2214000,95649000,118651000,50891000,58694000,122000000,122000000,-27298000,11545000,209472000,None,25555000,57633000,64680000,122000000,31793000,58694000,0,0,20000,0,289642000,-267905000,None,3190000,None,621000,None,122000000,2214000,140579000,None,None,None,145936000,339668000,108524000,None,14208338,USD,-16867000,8357000,-20920000,0,14000000,-43234000,2064000,13856000,14232000,-3005000,60604000,None,6465000,-23669000,0,-1001000,-9936000,419000,4354000,None,None,None,118.35,107.9
16,2016-05-31,USD,96446000,36143000,41635000,54811000,18055000,12665000,1700000,0,17622000,0,35403000,-613000,18668000,740000,433000,None,None,None,0,0,0,4957000,0,0,12665000,12665000,None,USD,349899000,20430000,None,4221000,199232000,150667000,24333000,30861000,20000,281432000,2383000,96152000,119381000,47373000,54516000,12354000,12354000,-14650000,12054000,218464000,None,34085000,62682000,71008000,118000000,33180000,54516000,0,0,20000,0,281432000,-260465000,None,2799000,None,131435000,None,118000000,2383000,144716000,None,None,None,144330000,349899000,110055000,None,14257216,USD,-8853000,3470000,0,0,-4541000,0,None,2918000,12665000,5063000,44159000,None,0,-17647000,0,0,0,3294000,3311000,None,None,None,111.37,118.35
