,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,15169000,10634000.0,4573000,10596000,8981000,254000,None,None,262000,2071000,1615000,None,4535000,-12000,4273000,-6000,0,-4273000,None,None,None,-6000,None,None,268000,-3403000,None,USD,477186000,18443000,None,None,457922000,17193000,1054000,4117000,97000,-258372000,5554000,None,2802000,7660000,16475000,None,None,None,415941000,37922000,None,-44912000,None,8698000,331615000,None,12358000,None,None,None,None,None,None,None,1748000,None,439264000,17472000,None,None,441447000,None,None,None,None,None,None,None,None,USD,-218000,2139000,-218000,None,-4354000,-4354000,552000,-179000,254000,-301000,4271000,None,4346000,None,None,None,-2582000,491000,218000,None,None,None,7.46,
1,2020-03-31,USD,15574000,11394000.0,4723000,10851000,7330000,-1868000,None,None,-1869000,2071000,1854000,None,4180000,-62000,4400000,8000,1000,-4399000,None,None,None,8000,-1650000,None,-1877000,-5525000,None,USD,479149000,20294000,None,None,457586000,19492000,1002000,4049000,97000,-256037000,6035000,None,2669000,6695000,13562000,None,None,None,418418000,35622000,None,-44510000,None,6126000,336277000,None,9513000,None,None,None,None,None,None,None,1667000,None,443527000,17955000,336277000,None,444024000,None,None,None,233870000,None,6695000,None,None,USD,1339000,-49000,1339000,1665000,-2589000,-2915000,-326000,-1163000,-1868000,1647000,3223000,None,4799000,None,None,None,639000,817000,326000,None,None,None,6.17,7.46
2,2019-12-31,USD,16070000,12053000.0,4839000,11231000,9057000,-671000,None,None,-684000,2080000,2030000,None,4017000,-62000,4591000,-8000,0,-4591000,None,None,None,-8000,-110000,None,-676000,-4328000,None,USD,484365000,22382000,None,17877000,458358000,23927000,1081000,2026000,97000,-251580000,6716000,None,1669000,5451000,11583000,None,None,None,427866000,30233000,None,-42210000,None,6905000,340913000,None,9557000,None,None,None,None,None,None,None,588000,None,454132000,18637000,340913000,None,446775000,None,None,None,233870000,None,5451000,None,None,USD,-1306000,-467000,-1306000,3603000,-2025000,-2267000,-242000,23000,-671000,-936000,2637000,None,5150000,0,None,None,-1072000,19000,1306000,None,None,None,10.99,6.17
3,2019-09-30,USD,15565000,11383000.0,4967000,10598000,9188000,-959000,None,None,-952000,2094000,1310000,None,4182000,-62000,4654000,8000,1000,-4653000,None,None,None,8000,-481000,None,-960000,-4616000,None,USD,489201000,24689000,None,19050000,459950000,27157000,1214000,2060000,97000,-248319000,7909000,None,1963000,5233000,12652000,None,None,None,430036000,30230000,None,-41333000,None,5947000,342811000,None,10592000,None,None,None,None,None,None,None,749000,None,458971000,19830000,342811000,None,447298000,None,None,None,233861000,None,5233000,None,None,USD,-459000,67000,-459000,3603000,-1939000,-2183000,-244000,231000,-959000,2167000,4809000,None,5486000,0,None,None,-460000,714000,459000,None,None,None,11.87,10.99
4,2019-06-30,USD,15532000,11263000.0,4595000,10937000,3078000,-7051000,None,None,-7156000,2095000,1381000,None,4269000,-62000,4947000,7000,0,-4947000,None,None,None,7000,-6478000,None,-7163000,-10709000,None,USD,498790000,6136000,None,23225000,466012000,30683000,1291000,6850000,97000,-244772000,8576000,None,2362000,3934000,10001000,None,None,None,434268000,32705000,None,-40269000,None,5546000,346558000,None,10001000,None,None,None,None,None,None,None,466085000,None,466085000,11937000,346558000,90666000,456011000,None,None,None,233861000,None,3934000,None,None,USD,-685000,-27000,-685000,3603000,-2436000,-2701000,-234000,59000,-7051000,1755000,5110000,None,4867000,0,None,None,-311000,6623000,661000,None,None,None,13.9001,11.87
5,2019-03-31,USD,15995000,12379000.0,4726000,11269000,11272000,642000,0,0,663000,2207000,1837000,0,5455000,-49000,4793000,8000,-4792000,-4792000,0,0,0,8000,1839000,0,655000,-3015000,0,USD,509097000,6793000,None,24877000,389273000,119824000,1246000,6684000,97000,-235131000,9265000,0,52880000,4159000,10504000,0,0,0,434671000,39630000,0,-33450000,0,5594000,348651000,0,10504000,0,0,0,0,0,0,0,11833000,0,469467000,11962000,348651000,9265000,456084000,0,0,0,233861000,0,4159000,0,None,USD,3318000,-1797000,3318000,3603000,-5381000,-5409000,-59000,-625000,655000,606000,2697000,0,3187000,0,0,0,251000,-1601000,285000,0,0,0,13.0,13.9001
6,2018-12-31,USD,16067000,11004000.0,4768000,11299000,5063000,-12548000,0,0,-8978000,2194000,1465000,0,5063000,0,-5288000,None,None,None,0,0,0,-32000,-14041000,-3938000,-8946000,-15754000,0,USD,508081000,35383000,None,23437000,386871000,608000,1320000,4632000,95000,-233184000,10045000,0,2036000,3544000,16709000,0,0,0,433142000,37520000,0,-34775000,0,10539000,360117000,0,12077000,0,0,0,0,0,0,0,0,0,0,0,360190000,0,0,0,0,0,233697000,0,3544000,0,None,USD,0,-383000,-1429000,-2000,-617000,-4380000,-726000,-307000,-12548000,-2347000,3462000,0,4497000,-3037000,21158000,0,-848000,12370000,1726000,0,0,0,7.78,13.0
7,2018-09-30,USD,16222000,12857000.0,4836000,11386000,3365000,-602000,0,0,-560000,3014000,1726000,0,3365000,250000,-5183000,None,None,None,0,0,0,30000,-3925000,-3938000,-590000,-3810000,0,USD,527088000,38862000,None,38819000,393208000,14597000,1240000,15460000,94000,-218498000,10948000,5486000,1897000,3638000,28167000,0,0,0,426972000,53871000,0,-29751000,0,11414000,354093000,0,12707000,22262017.81,87853941.43,35443.06,15450915.71,-82385528.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,0,894000,960000,-5000,-1799000,-5137000,-301000,-28000,-602000,1734000,5911000,0,5732000,-3037000,0,0,135000,-845000,1106000,0,0,0,18.67,7.78
8,2018-06-30,USD,17106000,10551314.05,4683000,12423000,2733000,-1525000,0,0,-2446000,3202000,2268000,0,2733000,250000,-5180000,None,None,None,0,-8308,0,17000,-5179000,903000,-2463000,-4731000,0,USD,535788000,43465000,None,27525000,398445000,18041000,1153000,8352000,93000,-214688000,12381000,5486000,4226000,4052000,20142000,0,144765772.82,0,438773000,43838000,0,-30910000,0,12261000,365922000,0,11790000,24786730.41,92035270.70,36792.59,16203376.01,-84934697.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,0,0,960000,-5000,-1799000,-5137000,-301000,-28000,-1525000,1734000,5911000,0,5732000,-3037000,0,0,135000,-845000,1106000,0,0,0,16.07,18.67
9,2018-03-31,USD,16314000,14640000.0,4620000,11694000,1674000,-1825000,0,0,-1847000,6472000,2544000,None,1674000,250000,-4577000,None,None,None,0,21000,0,25000,-3521000,903000,-1872000,-5032000,None,USD,542753000,48396000,None,21495000,401212000,19139000,1142000,3745000,89000,-209957000,13387000,5486000,4618000,5148000,14778000,373047000,373047000,None,446250000,38003000,None,-34743000,0,11360000,373047000,0,11033000,66999000,229007000,89000,40935000,-209957000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,346000,-23465000,-5000,6501000,22051000,-128000,-197000,-1825000,5060000,6474000,None,7451000,-5480000,0,0,979000,-659000,1472000,None,None,None,14.2075,16.07
10,2017-12-31,USD,43337000,60571000.0,18210000,40325000,10675000,-10032000,0,0,-14159000,7074000,6251000,None,7804000,-1278000,-21415000,None,None,None,0,61000,0,72000,-23742000,-936000,-10864000,-20317000,None,USD,457674000,40700000,None,9156000,333842000,22140000,1153000,5480000,87000,-204925000,9616000,5486000,13191000,3677000,16104000,308122000,308122000,None,373106000,25191000,None,-24046000,0,12358000,308122000,0,10624000,70596000,226978000,87000,0,-204925000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,3440000,-2979000,1972000,448000,-22968000,-2752000,867000,-12094000,-1186000,24761000,None,24944000,-20742000,0,0,-3000000,7517000,7367000,None,None,None,21.89,14.2075
11,2017-09-30,USD,479000,-23268000.0,0,0,-1104000,-1349000,0,0,0,11062000,0,None,-763000,8019000,-320000,None,None,None,0,275000,0,-4000,0,5523000,-8095000,-5743000,None,USD,471063000,0,None,10161000,333103000,77041000,0,5478000,0,-191256000,10356000,5486000,0,5663000,0,306962000,306962000,None,0,0,None,-14288000,0,19430000,0,0,0,84908000,226864000,87000,40893000,-191256000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,189000,1143000,358000,0,1339000,-18072000,-58000,-1021000,-3894000,-1389000,18514000,None,0,-15264000,0,0,0,1787000,4262000,None,None,None,22.1908,21.89
12,2017-06-30,USD,397000,11649000.0,0,0,-1517000,406000,0,0,0,-21031000,0,None,1369000,-12891000,393000,None,None,None,0,-588000,0,28000,0,-4598000,7352000,7599000,None,USD,476760000,0,None,9853000,331311000,83662000,0,5473000,0,-183729000,11112000,5486000,0,7052000,0,305018000,305018000,None,0,0,None,-13377000,0,17473000,0,0,0,92580000,226075000,87000,40776000,-183729000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,144000,993000,2252000,0,-1557000,-13958000,-407000,566000,-1832000,2388000,13895000,None,0,-9791000,0,0,0,-632000,2179000,None,None,None,22.5,22.1908
13,2017-03-31,USD,14322000,0.0,0,0,1529000,-1119000,0,0,0,9983000,0,None,1173000,6400000,4177000,None,None,None,0,252000,0,41000,0,1529000,-2689000,-3602000,None,USD,481543000,0,None,10385000,330053000,88821000,0,None,0,-177576000,11886000,5486000,0,4664000,0,305893000,305893000,None,0,0,None,71359000,0,16936000,0,0,0,98804000,225104000,86000,40754000,-177576000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1000,1683000,1376000,0,-498000,-8396000,-1687000,-457000,-1119000,-199000,6821000,None,0,-6193000,0,0,0,-852000,494000,None,None,None,23.86,22.5
14,2016-12-31,USD,32251461,41241000.0,12323000,31837000,2919000,-9691755,0,0,-12955000,10359000,8281000,None,1254020,250000,-16995414,None,None,None,0,424925,0,107000,-15874000,824000,-13062000,-15916000,None,USD,489046000,59560000,None,11104000,331324000,53647000,1195000,4936000,85000,-170377000,12680000,5486000,13133000,4863000,12671000,305973000,305973000,None,377460000,33407000,None,-11399000,0,17440000,305973000,0,7735000,105192586,223344937,680305,0,-170377414,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-10805449,2474000,-60537000,-9420000,-8406000,44480000,-5185000,-1353000,-11203000,-5615000,10442000,None,20666000,-17692000,0,0,-2423000,155000,1958000,None,None,None,22.15,23.86
15,2016-09-30,USD,823165,0.0,0,0,0,1187584,0,0,0,0,0,None,1678350,0,-102799,None,None,None,0,0,0,0,0,0,0,0,None,USD,404608549,0,None,None,251984048,103974066,0,None,0,-160594653,None,5485823,0,35816636,0,None,None,None,0,0,None,None,0,None,0,0,0,114610244,222725476,679404,40710868,-160594653,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,-21340984,0,None,35675382,None,None,-7438980,None,11004662,None,0,-12653896,0,0,0,None,1586974,None,None,None,21.585,22.15
