,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,253631000,20755000,217132000,36499000,16011000,12347000,None,None,16011000,None,20755000,267000,15744000,-45000,None,3664000,267000,267000,None,None,None,3664000,None,None,12347000,12347000,None,USD,884045000,None,None,3552000,91934000,792111000,32058000,None,270000,837005000,32058000,None,634000,250383000,59876000,None,None,None,349529000,533882000,None,792111000,None,192067000,None,87880000,59876000,None,None,270000,None,837005000,-111718000,None,634000,None,350163000,None,None,None,32058000,None,None,None,66554000,884045000,250383000,-274804000,None,USD,-9697000,-2267000,-9697000,None,None,1963000,None,475000,12348000,43545000,51279000,475000,4750000,-410000,2373000,2688000,32056000,1229000,9697000,32056000,None,43545000,48.82,
1,2020-03-31,USD,302794000,22290000,257021000,45773000,24367000,18607000,None,None,24367000,None,22290000,884000,23483000,-45000,None,5760000,884000,884000,None,None,None,5760000,None,None,18607000,18607000,None,USD,866346000,None,None,4003000,89174000,777172000,31466000,None,269000,825070000,31466000,None,704000,206838000,57708000,None,None,None,339664000,525978000,None,777172000,None,224569000,None,90568000,57708000,None,None,269000,None,825070000,-111636000,None,704000,None,340368000,None,None,None,31466000,None,None,None,63469000,866346000,206838000,-270223000,21000000,USD,-12134000,-13146000,-12134000,90000,None,-20998000,None,-2127000,18607000,-24127000,9005000,-2127000,4571000,-418000,-20580000,-884000,-1725000,3709000,12224000,-1725000,None,-24127000,41.99,48.82
2,2019-12-31,USD,302252000,22925000,266505000,35747000,13827000,10535000,None,None,13827000,None,22925000,1005000,12822000,-45000,-200000,3291000,1006000,1006000,None,None,None,3292000,1006000,None,10535000,10535000,None,USD,883154000,None,None,1889000,104058000,779096000,28762000,None,269000,806874000,28762000,None,737000,230965000,75296000,None,None,None,333179000,549238000,None,779096000,None,226700000,None,89684000,75296000,None,None,269000,None,806874000,-91056000,None,737000,None,333916000,None,None,None,28762000,None,None,None,63009000,883154000,230965000,-266688000,21000000,USD,-11227000,118000,-11227000,6000,None,-419000,None,649000,10535000,27029000,38675000,649000,4453000,-419000,568000,560000,21771000,589000,11233000,21771000,None,27029000,57.4,41.99
3,2019-09-30,USD,321169000,300853000,278181000,42988000,24785000,16401000,None,None,21349000,None,22672000,1033000,20316000,-45000,-200000,4948000,1033000,1033000,None,None,None,4948000,1033000,None,16401000,16401000,None,USD,870247000,None,None,2550000,101568000,768679000,28464000,None,269000,796761000,28464000,None,771000,203936000,73104000,None,None,None,324766000,544710000,None,768679000,None,244869000,None,90244000,39907000,None,None,269000,None,796761000,-91056000,None,771000,None,325537000,None,None,None,28464000,None,None,None,62705000,870247000,203936000,-262938000,21000000,USD,-20041000,-835000,-20041000,22000,None,-418000,None,-678000,16401000,19136000,39595000,-678000,4469000,-418000,568000,5795000,11099000,3193000,20041000,11099000,None,19136000,56.28,57.4
4,2019-06-30,USD,336866000,314802000,290956000,45910000,26505000,17782000,None,None,23146000,None,23846000,1082000,22064000,None,-200000,5364000,1082000,1082000,None,None,None,5364000,1082000,None,17782000,17782000,None,USD,854181000,None,None,1885000,101538000,752643000,25340000,None,269000,780778000,25340000,None,106000,184800000,76198000,None,None,None,311421000,541954000,None,752643000,None,255968000,None,96039000,46053000,None,None,269000,None,780778000,-91056000,None,806000,None,312227000,None,None,None,25340000,None,None,None,62652000,854181000,184800000,-260009000,21000000,USD,-9338000,12883000,-9338000,22000,None,-281000,None,-924000,17782000,6826000,16445000,-924000,4441000,-418000,137000,5553000,-24498000,1208000,9338000,-24498000,None,6826000,58.58,56.28
5,2019-03-31,USD,314707000,24999000,273381000,41326000,17406000,13411000,None,None,17406000,None,24999000,1079000,16327000,-1000,-200000,3995000,1079000,1079000,None,None,None,3995000,1079000,None,13411000,13411000,None,USD,816963000,None,None,1019000,82323000,734640000,24580000,2558000,269000,763414000,24580000,None,90000,177974000,57743000,None,None,None,304118000,512055000,None,734640000,None,231470000,None,101592000,57743000,None,None,269000,None,763414000,-91056000,None,790000,None,304908000,None,None,None,24580000,None,None,None,62013000,816963000,177974000,-256791000,21000000,USD,-11850000,-12490000,-11850000,22000,None,13000,None,724000,13411000,-431000,11406000,724000,4344000,-418000,431000,775000,3883000,759000,11872000,3883000,None,-431000,57.22,58.58
6,2018-12-31,USD,319727000,21613000,266501000,53226000,32455000,25030000,0,0,32455000,0,21613000,842000,31613000,1000,-300000,None,None,None,0,0,0,7425000,1683000,0,25030000,25030000,None,USD,818060000,None,None,1723000,97604000,720456000,24032000,None,269000,750421000,24032000,None,165000,178405000,73572000,None,None,None,298658000,519237000,None,720456000,None,236742000,None,102367000,73572000,None,None,269000,None,750421000,-91056000,None,165000,None,298823000,None,None,None,24032000,None,None,None,60822000,818060000,178405000,-252754000,21000000,USD,None,-11809000,-4889000,50000,None,338000,None,507000,25030000,43908000,48459000,507000,4192000,-417000,755000,-6361000,35238000,1662000,4939000,35238000,None,43908000,50.18,57.22
7,2018-09-30,USD,340732000,24214000,286227000,54505000,30887000,23678000,0,0,30887000,0,24214000,596000,30291000,1000,-300000,None,None,None,0,0,0,7209000,596000,0,23678000,23678000,None,USD,799043000,0,None,2242000,104142000,694901000,22515000,938000,269000,725808000,22515000,0,165000,134497000,81627000,None,None,None,295542000,503336000,None,694901000,0,270591000,0,96006000,81627000,0,0,269000,0,725808000,-91056000,None,165000,None,295707000,None,None,None,22515000,None,None,None,59880000,799043000,134497000,-248967000,21000000,USD,None,21954000,-6360000,66000,None,-292000,None,-96000,23678000,32477000,39129000,-96000,4108000,-417000,125000,860000,-12177000,802000,6426000,-12177000,None,32477000,50.1,50.18
8,2018-06-30,USD,336793000,21498000,292296000,44497000,23392000,18089000,0,0,23392000,0,21498000,393000,22999000,-2000,-300000,None,None,None,0,0,0,5303000,393000,0,18089000,18089000,None,USD,754714000,0,None,2159000,83385000,671329000,21760000,26941000,269000,702548000,21760000,0,165000,102020000,61625000,None,None,None,293364000,461185000,None,671329000,0,260140000,0,96866000,61625000,0,0,269000,0,702548000,-91056000,None,165000,None,293529000,None,None,None,21760000,None,None,None,59568000,754714000,102020000,-246474000,21000000,USD,None,-9016000,-7353000,0,None,-417000,None,-393000,18089000,-5807000,1963000,-393000,4104000,-417000,306000,-2368000,-9948000,1495000,7353000,-9948000,None,-5807000,47.45,50.1
9,2018-03-31,USD,291431000,22887000,253937000,37494000,14950000,11353000,0,0,14950000,0,22887000,343000,14607000,-13000,-300000,None,None,None,0,0,0,3597000,343000,0,11353000,11353000,None,USD,742847000,0,None,1751000,89611000,653236000,20688000,4205000,269000,684876000,20688000,0,193000,107827000,68923000,None,None,None,290112000,452542000,None,653236000,0,248466000,0,94498000,68923000,0,0,269000,0,684876000,-91056000,None,193000,None,290305000,None,None,None,20688000,None,None,None,59147000,742847000,107827000,-242439000,21000000,USD,None,-2649000,-7463000,0,None,-111000,None,609000,11353000,-15535000,-7961000,609000,4109000,-417000,306000,-2133000,-19581000,331000,7463000,-19581000,None,-15535000,56.7,47.45
