,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,123866802,102830516,None,123866802,21036286,15509649,None,None,21036286,None,71607979,None,21036286,25660660,5561877,5526637,109860456,104298579,None,5561877,None,-5526637,None,None,26562923,15509649,None,USD,902644599,24051703,None,None,511401684,391242915,None,None,391243000,159564603,None,7370791,53725689,9960153,61580538,None,None,None,25368794,9960153,681596949,359820421,None,None,352205500,None,61580538,None,None,None,None,159564603,None,None,122172781,None,28131930,97615646,352205500,97615646,449821146,None,None,None,231678312,902644599,9960153,None,7451588,USD,73293367,2582959,65173099,-5743397,-99100000,-118671152,-119865,2545580,15509649,-1658769,51839284,2545580,1382128,None,-19451287,None,None,25660660,2376871,None,None,-1658769,65.52,
1,2020-03-31,USD,162934708,137427295,8034810,162934708,25507413,21153146,None,None,25507413,None,97140883,None,25507413,32251605,8034807,4354267,129101253,121066446,None,8034807,None,-4354267,None,None,29861680,21153146,None,USD,1030086435,24448477,None,None,618123368,411963067,None,None,414490000,184748490,None,7370791,51805935,11618922,64263982,None,None,None,24761108,11618922,804402786,380143799,None,None,451100000,None,64263982,None,None,None,None,184748490,None,None,28547950,None,23257985,102759386,451100000,102759386,553859386,None,None,None,227214577,1030086435,11618922,None,7807834,USD,61000879,24830457,52735801,-5024487,-132631400,-139997500,-205500,-4789259,21153146,-420070,86841629,-4789259,9072563,None,-7366100,None,None,61437421,3240591,None,None,-420070,54.61,65.52
2,2019-12-31,USD,147079208,152473279,7130180,147079208,-5394071,-5824068,None,None,-5394071,None,90123631,None,-5394071,55219470,7130178,429997,130224337,123094159,None,7130178,None,-429997,-7130178,None,-4964074,-5824068,None,USD,1143011550,24825430,None,None,750854403,392157147,None,52274,392157000,170984396,None,7240419,54185367,12038992,43455501,None,None,None,28215117,12038992,893664872,360091298,None,893664872,583731400,None,43455501,None,None,None,None,170984396,None,None,146481779,None,30544941,123667502,583731400,123667502,707398902,None,None,None,221172751,1143011550,12038992,None,7932013,USD,-114449762,-1469002,-112182982,5170982,64900000,61606368,-4229509,-7517854,-5824068,1814237,52390851,-7517854,1390934,None,935877,None,None,55219470,2904202,None,None,1814237,86.4,54.61
3,2019-09-30,USD,141573116,137748236,6327820,141573116,3824880,4220001,None,None,3824880,None,78452383,None,3824880,52968036,6327817,-395121,126091032,119763215,None,6327817,None,395121,-6327817,None,3429759,4220001,None,USD,1077816368,27448670,None,None,682872331,394944037,None,1521276,394944000,176808464,None,7262146,48050569,10224755,43910514,None,None,None,27075833,10224755,838351132,360233221,None,838351132,518831400,None,43910514,None,None,None,None,176808464,None,None,135554893,None,31898939,120130417,518831400,120130417,638961817,None,None,None,218135573,1077816368,10224755,None,7945842,USD,-60477911,-11195934,-84761499,-21235318,192441400,25215107,-8482,335425,4220001,465660,60012052,335425,1257953,None,-167217811,None,None,52968036,3048270,None,None,465660,127.51,86.4
4,2019-06-30,USD,138441983,127470762,4403330,138441983,10971221,8608399,None,None,10971221,None,81776363,None,10971221,41291071,4403328,2362822,122910149,118506821,None,4403328,None,-2362822,-4403328,None,13334043,8608399,None,USD,1040692665,23649536,None,None,491032604,549660061,None,12717210,550457000,340783798,None,7239122,42397027,9759095,46770696,None,None,None,25766599,9759095,814614601,518771403,None,814614601,326390000,None,46770696,None,None,None,None,340783798,None,None,133759863,None,25903849,117871908,326390000,117871908,444261908,None,None,None,208876263,1040692665,9759095,None,9181305,USD,-69555473,1167013,-111822470,-40182280,73458600,54081428,-238168,3369042,8608399,423662,58164704,3369042,954641,None,-19139004,None,None,41291071,2084717,None,None,423662,164.11,127.51
5,2019-03-31,USD,156997846,112073624,4913910,156997846,5917678,37940621,None,None,49483567,None,78626341,-39006544,44924222,28533377,4913906,7836120,124221018,119307112,852520,-34092638,None,-6983601,-4913906,626583,56467168,37940621,None,USD,854988073,15340153,None,None,302871448,552116625,None,11550197,552117000,353990976,None,7034463,23830900,9335433,50931448,None,None,None,25424183,9335433,755624007,529742009,None,755624007,251940000,None,50931448,None,None,None,None,353990976,None,None,18398935,None,23830899,None,251940000,None,251940000,None,None,None,198125649,854988073,9335433,None,9284118,USD,49000070,6628007,41416726,-4752211,-56100000,-123723088,-45883,-1560360,37940621,-1796362,80510000,-1560360,7817335,None,-67577205,None,None,239254581,2831133,None,None,-1796362,117.13,164.11
6,2018-12-31,USD,137639331,130545211,48943886,137639331,7094120,6260162,0,None,7094120,None,76964171,None,7094120,48943886,-4637154,None,None,None,None,4637154,None,-833958,-4637154,None,7928078,6260162,None,USD,927513155,14684675,None,None,353444269,574068886,None,10800106,574069000,386809909,None,7034463,40756352,11131795,45404269,None,None,None,24436278,11131795,829469592,552349748,None,829469592,308040000,None,45404269,None,None,None,None,386809909,None,None,16974557,None,23781795,None,308040000,None,308040000,None,None,None,187258977,927513155,11131795,None,9839348,USD,-107661821,534702,-137095774,-27069929,77850000,73740932,-1348952,3860158,6260162,5536084,68890926,3860158,-3245178,None,-2760116,None,None,-148089102,2364024,None,None,5536084,102.26,117.13
7,2018-09-30,USD,127115763,109452543,40358696,127115763,18292141,14537645,0,None,17663220,None,64935848,628921,17663220,40358696,-4157999,None,None,None,None,4157999,None,-3604153,-4157999,-150343,21267373,14537645,None,USD,838949414,8856698,None,None,273958739,564990675,0,13565183,0,384310056,None,7034463,43863139,5595711,43768739,None,None,None,23816135,5595711,749783268,549099514,0,749783268,230190000,0,43768739,0,0,0,0,384310056,0,None,20970694,None,22892445,None,230190000,None,230190000,None,None,None,180680619,838949414,5595711,None,9153145,USD,-68260564,-4359353,-45059096,25543964,-9650000,-9263532,-991400,-8546242,14537645,-14513047,39809581,-8546242,1850714,0,386468,0,0,38135876,2342496,None,3432851,-11080196,114.36,102.26
8,2018-06-30,USD,122789985,102592975,30590619,122789985,20197010,-21503294,0,None,15637665,None,67777355,None,20197010,30590619,-4225001,None,None,None,None,43231545,None,-4559345,-4225001,1865585,20197010,-21503294,None,USD,811977754,6380849,None,19012674,294705079,517272675,0,6418506,0,369772411,6419000,7034463,32275367,10262901,54865079,239840000,239840000,-31290918,23254500,10262901,713757000,503857363,0,713757000,239840000,0,48446573,0,0,0,0,369772411,0,None,31480170,None,19807871,None,239840000,None,239840000,None,None,None,178791182,811977754,10262901,None,9140273,USD,-64053964,527338,-66227695,93700,-5300000,-3871062,-240000,739376,-21503294,-14644993,55453764,739376,2305682,0,1428938,0,0,71575603,2267431,None,-765404,-15410397,111.01,114.36
9,2018-03-31,USD,151857413,103180519,17408194,151857413,48676894,29142770,0,0,48676894,0,80720640,None,48676894,17408194,-5051685,None,None,None,0,5051685,0,19534124,-7551685,-37140959,29142770,29142770,None,USD,840987037,6644301,None,None,299879185,541107852,0,14534970,0,391275705,14535000,7034463,44449823,32086304,54979185,244900000,244900000,-26055080,25591418,32086304,725180728,527429088,0,725180728,244900000,0,54979185,0,0,0,0,391275705,0,None,14210186,None,30239637,None,244900000,None,244900000,None,None,None,175887227,840987037,32086304,None,9119443,USD,58764468,14335051,49652023,-6750272,-131950000,-115922467,-559658,714355,29142770,6182514,72452958,714355,2335249,0,16587191,0,0,25925533,2362173,None,932426,7114940,105.3,111.01
10,2017-12-31,USD,136933767,121641794,101372000,136933767,15291973,1680217,0,0,15291973,0,72886385,None,15291973,43754905,5001000,None,None,None,0,5000504,0,13611756,-5000504,0,1680217,1680217,None,USD,906091036,6791985,None,None,417150272,488940764,0,5403210,0,362132935,None,7034463,65242000,24971364,40300272,376850000,376850000,-31065078,24972580,24971364,790904508,475114316,0,790904508,376850000,0,40300272,0,0,0,0,362132935,0,None,15089779,None,36326357,None,376850000,None,376850000,None,None,None,157872907,906091036,24971364,None,8868396,USD,-98538899,-5431692,-101636703,-260746,56100000,57113595,-957699,-1748425,1680217,7075651,51598759,-1748425,2342334,0,1971294,0,0,54756325,2837058,None,-884564,6191087,80.72,105.3
11,2017-09-30,USD,131005531,114675467,92199000,131005531,16330064,9799345,0,0,16330064,0,70908751,None,16330064,38975972,4790000,None,None,None,0,4790744,0,6530719,0,-37140959,9799345,9799345,None,USD,857069130,6981251,None,None,366916821,490152309,0,12084685,0,360452718,None,7034463,74461000,18780277,46166821,320750000,320750000,-26124234,24357676,18780277,739470442,476136595,0,739470442,320750000,0,46166821,0,0,0,0,360452718,0,None,13580050,None,46864971,None,320750000,None,320750000,None,None,None,155823825,857069130,18780277,None,8840040,USD,-51819428,509356,-61268543,-7492778,20200000,21630160,-957699,-2403938,9799345,4247431,43885814,-2403938,2301962,0,1430160,0,0,33679089,1956337,None,-9665,4237766,82.89,80.72
12,2017-06-30,USD,128909423,108003849,89541000,128909423,20905574,13067686,0,0,20905574,0,72917089,None,20905574,30840058,4247000,None,None,None,0,4246702,0,7837888,0,0,13067686,13067686,None,USD,826763870,4584458,None,None,348301356,478462514,0,15008259,0,350653373,None,8432463,66760000,14542511,47751356,300550000,300550000,-25304256,24400625,14542511,721060225,465445593,0,721060225,300550000,0,47751356,0,0,0,0,350653373,0,None,13471542,None,40272046,None,300550000,None,300550000,None,None,None,153113397,826763870,14542511,None,8816250,USD,-51779690,1177472,-56555425,-2759835,4993800,5714355,-420000,2579191,13067686,-752133,50088937,2579191,2216238,0,720555,0,0,31048350,2015900,None,94234,-657899,74.91,82.89
13,2017-03-31,USD,144570810,95847030,88809000,144570810,48723780,31850842,0,0,48723780,0,70020152,None,48723780,20702303,5124000,None,None,None,0,5124575,0,16872938,-21504208,0,31850842,31850842,None,USD,800588775,6614182,None,None,339525198,461063577,0,12519417,0,344605347,12519000,6067220,65503000,15200410,44388998,295136200,295136200,-27782875,24184207,15200410,695700589,448382175,0,695700589,295136200,0,44388998,0,0,0,0,344605347,0,None,13797098,None,39025069,None,295136200,None,295136200,None,None,None,144241105,800588775,15200410,None,8782949,USD,61391556,3001595,38698806,-20756807,-102800000,-102801176,-50887,492233,31850842,-729495,63372875,-1053283,2230998,0,49711,0,0,27342723,1935943,None,-55754,-785249,51.78,74.91
14,2016-12-31,USD,130814842,116496052,109375000,130814842,14318790,9640033,0,0,14318790,0,71236778,None,14318790,39984838,5275000,None,None,None,0,5274436,0,4678757,0,0,9640033,9640033,None,USD,860937330,2588118,None,None,438947061,421990269,0,None,0,312754505,None,6067220,65291000,15985659,41010861,None,None,-34101796,23762356,15985659,755897641,413334931,0,None,397936200,0,41010861,0,0,0,0,312754505,0,None,13024333,None,43612003,None,397936200,None,397936200,None,None,None,143337560,860937330,15985659,None,8781817,USD,-84708586,2221887,-86267313,140825,37350000,33011270,-108582,-992716,9640033,252,53256295,-992716,2218949,0,-4230148,0,0,40168142,1699552,None,-269881,-269629,64.28,51.78
15,2016-09-30,USD,129268976,104845410,97476000,129268976,24423566,15491465,0,0,24423566,0,63455788,None,24423566,35870744,5518000,None,None,None,0,5518878,0,8932101,0,0,15491465,15491465,None,USD,817398334,2696588,None,None,399582153,417816181,0,None,0,308110281,None,6067220,63169000,16255288,38995953,None,None,-30474892,23898428,16255288,714076297,409052373,0,None,360586200,0,38995953,0,0,0,0,308110281,0,None,12513517,None,41890996,None,360586200,None,360586200,None,None,None,140180792,817398334,16255288,None,8792680,USD,-39280395,-6043867,-40658716,409054,25000,-31348,-234624,1183027,15491465,6321945,47012009,1183027,2433350,0,178276,0,0,33948034,1787375,None,-190432,6131513,49.04,64.28
