,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,83377000,93435000,None,83377000,-10058000,-7111000,None,None,-10058000,-700000,93435000,None,-10058000,14231000,12127000,-2247000,125883000,113756000,None,None,None,-2247000,None,None,-7811000,-7111000,None,USD,13573357000,89687000,2354550000,None,11751563000,1823669000,None,11062500000,576000,878585000,181387000,472828000,9273792000,965539000,11174944000,106395000,None,72780000,99320000,10139049000,2315053000,1261154000,2195389000,9173510000,189398000,None,6049000,None,None,576000,None,878585000,-178950000,None,457420000,None,3434308000,None,189398000,387221000,576619000,None,None,None,1050678000,13573357000,965539000,None,None,USD,-894495000,59551000,-808197000,86597000,346424000,1240850000,901176000,41170000,-7811000,450657000,18004000,-48119000,-8044000,-6080000,-670000,None,-14088000,36515000,299000,-14088000,None,450657000,28.7,
1,2020-03-31,USD,100351000,88496000,None,100351000,11855000,10927000,None,None,11855000,-360000,88496000,None,11855000,19930000,17705000,1288000,133855000,116150000,1800000,None,None,1288000,None,None,10567000,10927000,None,USD,12278890000,92935000,2372748000,None,10445471000,1834594000,None,9809354000,576000,891776000,144228000,472828000,8516938000,539098000,9935122000,119971000,None,70534000,102382000,578232000,10616261000,1268831000,2048400000,39134000,181314000,None,5797000,None,None,576000,None,891776000,-178950000,None,416252000,None,11700658000,None,181314000,329035000,510349000,None,None,None,1050658000,12278890000,539098000,None,51000000,USD,-117240000,3046000,-119598000,173000,7672771000,-9466000,-7638329000,8670000,10567000,-66642000,62422000,6449000,-5937000,-6160000,-37748000,None,-1040000,49337000,2531000,-1040000,None,-66642000,24.92,28.7
2,2019-12-31,USD,157749000,98126000,None,157749000,59623000,45704000,None,None,59623000,-280000,98126000,None,59623000,19731000,19781000,14199000,137350000,117569000,None,None,None,14199000,-57705000,None,45424000,45704000,None,USD,12256302000,95917000,2253737000,121966000,10406811000,1850306000,None,9781857000,575000,917377000,141831000,472828000,8548526000,592849000,9897635000,112675000,33465000,23501000,104465000,630943000,10656897000,1281561000,1944914000,38094000,181613000,2605000,3103000,None,None,575000,None,917377000,-140211000,None,295252000,None,11625359000,None,181613000,327563000,509176000,None,None,None,1049064000,12256302000,592849000,None,50000000,USD,35534000,6606000,33260000,1223000,10524775000,-56638000,-10536662000,3439000,44813000,-8547000,14831000,-15976000,-5762000,-6255000,-38496000,None,677000,-15527000,3497000,677000,None,-8547000,43.99,24.92
3,2019-09-30,USD,179058000,109561000,None,179058000,69497000,53882000,None,None,69497000,-287000,109561000,None,69497000,18360000,20429000,15902000,141262000,120833000,None,None,None,15902000,-8707000,None,53595000,53882000,None,USD,12272673000,98892000,2204042000,106199000,10416216000,1856992000,None,9533193000,575000,877928000,131812000,472958000,8596604000,602929000,9908349000,365675000,None,32219000,105042000,641700000,10661977000,1285142000,1908821000,38771000,189108000,3693000,9481000,None,None,575000,None,877928000,-100765000,None,292104000,None,11630973000,None,189108000,318759000,507867000,None,None,None,1047035000,12272673000,602929000,None,53000000,USD,46600000,27171000,41664000,255000,6668050000,34008000,-6589939000,1947000,152328000,242940000,167268000,5872000,24119000,-6351000,-37752000,None,2013000,-41667000,5191000,-555000,None,58474000,44.1,43.99
4,2019-06-30,USD,153908000,107848000,None,153908000,46060000,36200000,None,None,46060000,-231000,107848000,None,46060000,18437000,19671000,10091000,142903000,123232000,None,None,None,10091000,-4068000,None,35969000,36200000,None,USD,12156595000,101984000,2056680000,92505000,10320207000,1836611000,None,9709710000,573000,830397000,112554000,473712000,8676854000,537699000,9832449000,115675000,None,22688000,103787000,578483000,10608328000,1260915000,1796870000,40784000,184456000,3703000,7064000,None,None,573000,None,830397000,-60112000,None,290301000,None,11578112000,None,184456000,303302000,487758000,None,None,None,1043065000,12156595000,537699000,None,54000000,USD,-171648000,-2119000,-113843000,59621000,8005810000,-81787000,-8076900000,27213000,-62246000,-310453000,-114823000,-11611000,-49638000,-6406000,-4291000,None,-343000,8566000,1816000,2225000,None,-125987000,41.3,44.1
5,2019-03-31,USD,116782000,97592000,None,116782000,19190000,13023000,None,None,19190000,-93000,97592000,None,19190000,13264000,16263000,6260000,99577000,83314000,None,None,None,6260000,-5090000,None,12930000,13023000,None,USD,12184417000,104770000,1766313000,74334000,10394740000,1789752000,None,9777979000,569000,800511000,115175000,475493000,8857113000,660241000,9865550000,81240000,None,2256000,106103000,700682000,10409333000,1209489000,1523196000,40441000,220853000,2233000,6331000,None,None,569000,None,800511000,-52078000,None,388036000,None,11483735000,None,220853000,308337000,529190000,None,None,None,1038494000,12184417000,660241000,None,39000000,USD,258593000,467000,332742000,77843000,6838350000,-328277000,-7154284000,-9346000,13023000,27055000,22590000,-10179000,12698000,-3451000,-8892000,None,-941000,7522000,3694000,-941000,None,27055000,38.6,41.3
6,2018-12-31,USD,99554000,61350000,16426000,99554000,38204000,29718000,0,0,38204000,-75000,61350000,None,38204000,13172000,13120000,None,None,None,500000,0,0,8486000,-7401000,0,29718000,29718000,None,USD,7248870000,20016000,None,48319000,6427950000,820920000,None,5640431000,569000,791031000,82338000,166000000,4934797000,640016000,5642331000,265790000,265790000,-15394000,44956000,662017000,6284167000,634904000,None,22001000,213348000,2668000,1900000,None,None,569000,None,791031000,-305096000,None,71707000,None,6586846000,None,213348000,572271000,785619000,None,None,None,349810000,7248870000,640016000,None,32000000,USD,-163764000,-2878000,-165223000,-857000,2408575000,46462000,-2337451000,-12999000,29718000,-90615000,28146000,-16723000,6004000,-3452000,-21210000,None,None,12695000,590000,-670000,None,-90615000,37.91,38.6
7,2018-09-30,USD,101282000,52454000,16034000,101282000,48828000,38935000,0,0,48828000,-75000,52454000,None,48828000,11694000,12318000,None,None,None,0,0,0,9893000,7449000,0,38935000,38935000,None,USD,7159842000,20577000,None,57186000,6361020000,798822000,0,5723916000,567000,764765000,80115000,166007000,4954040000,727912000,6069500000,338465000,None,-32001000,46348000,749243000,6106782000,612238000,0,21331000,206624000,2004000,7119000,0,0,567000,0,764765000,-282409000,None,70885000,None,6410599000,None,206624000,84896000,291520000,None,None,None,347900000,7159842000,727912000,None,32000000,USD,-42589000,11242000,-42461000,1246000,4605477000,2760000,-4599478000,10516000,38935000,7892000,47593000,-3414000,6937000,-3499000,260000,0,0,-5169000,1118000,-938000,None,7892000,47.15,37.91
8,2018-06-30,USD,93478000,57831000,13660000,93478000,35647000,28740000,0,0,35647000,-75000,57831000,None,35647000,11750000,11162000,None,None,None,0,0,0,6907000,-1196000,0,28740000,28740000,None,USD,7112547000,21252000,None,52065000,6343570000,768977000,0,5436555000,566000,729329000,71864000,166007000,4934685000,733285000,6071025000,630339000,901020000,-25713000,47433000,753678000,6054892000,581718000,0,20393000,196011000,2609000,4131000,0,0,566000,0,729329000,-279955000,None,69285000,None,6358869000,None,196011000,76534000,272545000,None,None,None,344750000,7112547000,733285000,None,32000000,USD,-129122000,-26644000,-131455000,-820000,5769676000,126485000,-5641588000,-26079000,28740000,-7609000,-2639000,-416000,7571000,-3472000,1869000,0,0,-11466000,1525000,-424000,None,-7609000,53.3,47.15
9,2018-03-31,USD,101531000,53412000,13549000,101531000,48119000,37350000,0,0,48119000,0,53412000,None,48119000,11472000,9899000,None,None,None,0,0,0,10769000,640000,0,37350000,37350000,None,USD,6987931000,21783000,None,35906000,6241652000,746279000,0,5327515000,564000,704081000,106940000,166007000,1404412000,739943000,5918127000,587162000,936545000,-20820000,48168000,1667730000,5014730000,558489000,907818000,19969000,220035000,18504000,3450000,0,0,564000,0,704081000,-277375000,None,69513000,None,5320201000,None,220035000,103490000,323525000,None,None,None,339829000,6987931000,1647761000,None,32000000,USD,-117031000,16212000,-20771000,98527000,8074411000,-54480000,-8125197000,16438000,37350000,-12777000,62474000,-16553000,6014000,-2826000,-868000,13471000,0,20015000,2267000,-564000,None,-12777000,47.9,53.3
10,2017-12-31,USD,237500000,360120000,12894000,334951000,-193050000,29675000,0,0,18032000,0,35972000,None,47296000,55632000,24574000,None,None,None,0,12000000,0,27864000,-20453000,0,-1667000,29675000,None,USD,6999540000,22437000,None,50460000,6275195000,724345000,0,5247604000,563000,669557000,89785000,166000000,1417815000,755150000,5248641000,681536000,681536000,-8152000,47983000,1612677000,4971062000,535908000,838122000,19405000,199805000,33558000,1037000,0,0,563000,0,669557000,-273894000,None,179374000,None,5386856000,None,199805000,826749000,1026554000,None,None,None,336271000,6999540000,1593272000,None,32000000,USD,-50612000,0,-388786000,6448000,-301573000,160561000,479552000,-636000,50244000,-98057000,130168000,None,11635000,-9425000,3421000,15327000,0,52221000,7728000,None,None,None,47.85,47.9
11,2017-09-30,USD,85674000,54163000,11777000,85674000,31511000,20569000,0,0,31511000,0,54163000,None,31511000,-15296000,861000,None,None,None,0,0,0,10942000,0,0,20569000,20569000,None,USD,6875344000,23109000,None,37102000,6134483000,740861000,0,5051719000,562000,680554000,79456000,166007000,1400181000,766642000,5753413000,697812000,1005864000,-3123000,48345000,1594864000,4851250000,551745000,810433000,17789000,235496000,23237000,3882000,0,0,562000,0,680554000,-271353000,None,191769000,None,5280480000,None,235496000,145574000,381070000,None,None,None,334221000,6875344000,1577075000,None,32000000,USD,-111134000,3443000,-113301000,679000,5117178000,53418000,-5059114000,2913000,20569000,-11946000,47937000,-1051000,7617000,-2201000,-1750000,25835000,0,17711000,2846000,-1047000,None,-11946000,48.75,47.85
12,2017-06-30,USD,84147000,52727000,9863000,84147000,31420000,20570000,0,0,31420000,0,52727000,None,31420000,-1298000,297000,None,None,None,0,0,0,10850000,0,0,20570000,20570000,None,USD,6822427000,23976000,None,52167000,6099804000,722623000,0,4834050000,581000,662186000,103000000,166007000,1412350000,781143000,5660106000,823651000,1165366000,-3858000,47505000,1616380000,4777738000,532640000,818495000,16742000,274103000,37546000,2405000,0,0,581000,0,662186000,-268191000,None,190821000,None,5206047000,None,274103000,165595000,439698000,None,None,None,331905000,6822427000,1599638000,None,32000000,USD,-36770000,7000,-35047000,3733000,6149600000,-86631000,-6230611000,-7636000,20570000,-109952000,11726000,-8162000,8402000,-2200000,-3420000,10279000,285000,-9061000,2010000,-30000,None,-109952000,45.35,48.75
13,2017-03-31,USD,79033000,51506000,9885000,79033000,27527000,18937000,0,0,27527000,0,51506000,None,27527000,2162000,7723000,None,None,None,0,0,0,8590000,0,0,18937000,18937000,None,USD,6852899000,24412000,None,46106000,6148898000,704001000,0,5376830000,581000,643816000,71219000,165960000,1363315000,875265000,5677856000,298095000,548672000,-6787000,49194000,1681102000,4745156000,513629000,789125000,16712000,267754000,32976000,2931000,0,0,581000,0,643816000,-264980000,None,187075000,None,5171797000,None,267754000,203288000,471042000,None,None,None,331371000,6852899000,1664390000,None,32000000,USD,-82046000,243000,-82569000,1957000,6131439000,67744000,-6059772000,36000,18937000,33340000,48165000,-3023000,7789000,-2199000,-1724000,19603000,315000,23904000,2480000,315000,None,33340000,45.95,45.35
14,2016-12-31,USD,279986000,175850000,11862000,285820000,-70095000,18110000,0,0,27180000,0,28206000,None,44143000,28924000,21606000,None,None,None,0,12000000,0,9070000,-12816000,0,26650000,18110000,None,USD,6765270000,23708000,None,71809000,6077934000,687336000,0,4738438000,580000,627078000,72049000,167539000,1391728000,860171000,4739589000,1267447000,1267447000,-7617000,48871000,1671741000,4644511000,496089000,794543000,17027000,283211000,58373000,1151000,0,0,580000,0,627078000,-262162000,None,208900000,None,5093529000,None,283211000,1055134000,1338345000,None,None,None,329457000,6765270000,1654714000,None,31000000,USD,-85636000,350000,-276593000,4423000,274001000,457157000,202830000,-3380000,18110000,260744000,80180000,None,9915000,-7632000,0,0,0,-8052000,9873000,None,None,None,46.35,45.95
