,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,290071000,259368000,None,290071000,30703000,21659000,None,None,30703000,None,259368000,None,30703000,27246000,66685000,9044000,329816000,263131000,None,None,None,9044000,None,None,21659000,19609000,2050000,USD,43540017000,41368000,9197680000,None,39549799000,3990218000,None,35651874000,58294000,1921048000,1098645000,644213000,32043881000,4360071000,38351400000,1228416000,8458000,-597000,769909000,36901919000,4029014000,2892137000,3194961000,32541848000,1198399000,None,1471110000,None,None,58294000,412500000,1921048000,-44891000,None,1153594000,None,6638098000,None,1198399000,None,1198399000,None,None,None,1643864000,43540017000,4360071000,None,None,USD,-4514360000,35073000,-4528612000,2495000,10901000,4514099000,4244067000,36743000,21659000,-4370000,10143000,10929000,26694000,-18169000,277300000,None,45123000,-84212000,16747000,None,None,-4370000,43.62,
1,2020-03-31,USD,321724000,234641000,None,321724000,87083000,62812000,None,None,87083000,None,234641000,None,87083000,24160000,82624000,24271000,344067000,261443000,None,None,None,24271000,None,None,62812000,60762000,2050000,USD,38799847000,44185000,7428581000,None,35099454000,3700393000,None,31461660000,58266000,1917558000,890336000,643441000,28559224000,2292861000,33922206000,1174894000,12127000,-7603000,764583000,31360593000,4230150000,2887767000,3570959000,29067732000,1177248000,None,1285652000,None,None,58266000,125000000,1917558000,-44891000,None,1756895000,None,7439254000,None,1177248000,None,1177248000,None,None,None,1652063000,38799847000,2292861000,None,58000000,USD,-1431715000,-7829000,-1448882000,4218000,88073000,1891643000,1858778000,-7549000,62812000,62951000,-379810000,-223998000,25138000,-18167000,-37041000,None,-214272000,-235933000,21385000,None,None,62951000,32.86,43.62
2,2019-12-31,USD,366273000,249591000,None,366273000,116682000,85964000,None,None,116682000,None,249591000,None,116682000,29630000,87852000,30718000,349731000,261879000,None,None,None,-218090000,-4861000,None,334772000,83914000,2050000,USD,36620583000,47057000,7166635000,680403000,32929333000,3691250000,None,30107138000,57951000,1899630000,692707000,645220000,27223451000,2450727000,31821498000,674870000,20520000,-34678000,985520000,3528441000,31262457000,2873973000,3106214000,1077714000,1107835000,15175000,1039490000,None,None,57951000,125000000,1899630000,-6931000,None,151888000,None,33092142000,None,1107835000,None,1107835000,None,None,None,1650278000,36620583000,2450727000,None,57821891,USD,-1076517000,-3072000,-1229785000,-122697000,4530000,778499000,790600000,-4702000,85964000,-162338000,288948000,37456000,25628000,-16499000,-132000,None,46492000,142972000,30571000,None,None,-162338000,70.9,32.86
3,2019-09-30,USD,369155000,234554000,None,369155000,134601000,99121000,None,None,134601000,None,234554000,None,134601000,24138000,89775000,35480000,354627000,264852000,None,None,None,35480000,-4240000,None,99121000,97071000,2050000,USD,34911902000,43657000,6462104000,736799000,31371577000,3540325000,None,28710379000,56825000,1830165000,600107000,584315000,26239278000,2709561000,30271318000,574847000,9677000,-38877000,721856000,29360776000,3833792000,2787353000,2270059000,26651215000,1100033000,17739000,986092000,None,None,56825000,125000000,1830165000,-6799000,None,367506000,None,5551126000,None,1100033000,226000,1100259000,None,None,None,1574011000,34911902000,2709561000,None,57000000,USD,-968805000,-58059000,-978854000,10104000,-5417000,1171860000,1193648000,-59433000,99121000,147822000,-45184000,-66613000,23046000,-16222000,-149000,None,-42547000,-42679000,20153000,None,None,147822000,64.63,70.9
4,2019-06-30,USD,339780000,229607000,None,339780000,110173000,81466000,None,None,110173000,None,229607000,None,110173000,24776000,80612000,28707000,346814000,266202000,None,None,None,28707000,-8374000,None,81466000,79416000,2050000,USD,33641769000,46588000,5578812000,666963000,30194819000,3446950000,None,27518815000,56794000,1747266000,644634000,584911000,25797000000,1738039000,29087175000,574823000,10182000,-45429000,711214000,27919742000,3775193000,2690451000,2186154000,26181703000,1107644000,20100000,993537000,None,None,56794000,125000000,1747266000,-6650000,None,604121000,None,5722027000,None,1107644000,None,1107644000,None,None,None,1569969000,33641769000,1738039000,None,57000000,USD,-775106000,68547000,-778710000,14085000,337447000,874335000,553104000,69197000,81466000,30169000,-65456000,-109409000,23729000,-16216000,0,None,-109407000,-129789000,17689000,None,None,30169000,73.16,64.63
5,2019-03-31,USD,333019000,214374000,0,333019000,118645000,89146000,None,None,118645000,None,214374000,None,118645000,22228000,71984000,29499000,333970000,261986000,None,None,None,29499000,-7145000,None,89146000,87096000,2050000,USD,32358621000,46566000,5457256000,524021000,28986649000,3371972000,None,26804742000,56765000,1682016000,550269000,573658000,24592628000,1880617000,28221654000,576353000,16212000,-50344000,676037000,26839745000,3486440000,2626748000,2185782000,24959128000,764995000,21790000,840559000,None,None,56765000,125000000,1682016000,-6650000,None,736175000,None,5518876000,None,764995000,None,764995000,None,None,None,1565185000,32358621000,1880617000,None,57000000,USD,-1020347000,-19314000,-1031600000,2355000,-24463000,822538000,864190000,-20924000,89146000,-121377000,87685000,-25926000,22564000,-16173000,-1016000,None,-31524000,21215000,13608000,None,None,-121377000,67.33,73.16
6,2018-12-31,USD,318995000,211333000,76909000,318995000,107662000,79657000,0,0,107662000,0,211333000,None,107662000,19068000,66508000,29214000,320596000,254088000,1209000,0,0,-205929000,-7066000,0,313591000,77607000,2050000,USD,31244849000,49424000,4918213000,524351000,27977279000,3267570000,None,26094678000,56518000,1610574000,585531000,573141000,24123571000,1491736000,27190622000,426300000,162379000,-76872000,904377000,2201052000,27127203000,2520005000,1099594000,709316000,786631000,25100000,669644000,None,None,56518000,125000000,1610574000,-5634000,None,389652000,None,29043797000,None,786631000,None,786631000,None,None,None,1557984000,31244849000,1491736000,None,57000000,USD,-792779000,-90167000,-847812000,-39399000,28145000,843938000,828643000,-87127000,79657000,112207000,116081000,-31453000,20170000,-12763000,-87000,None,None,137874000,15634000,None,None,112207000,66.49,67.33
7,2018-09-30,USD,336451000,213637000,68441000,336451000,122814000,91948000,0,0,122814000,0,213637000,None,122814000,20848000,57399000,30866000,304962000,247563000,0,0,0,30866000,-8053000,0,91948000,89898000,2050000,USD,30142731000,27378000,4942976000,592990000,26962909000,3179822000,0,24916715000,56486000,1543680000,578130000,537560000,23457562000,1416980000,26196600000,615000000,1381309000,-93150000,664469000,27272377000,1305237000,2489884000,2164985000,23690412000,766309000,28597000,664885000,0,0,56486000,125000000,1543680000,-5547000,None,136469000,None,2671113000,None,766309000,None,766309000,None,None,None,1553353000,30142731000,3581965000,None,57000000,USD,-569674000,-29208000,-569446000,20549000,113601000,386420000,285773000,-28208000,91948000,-24649000,158377000,-45597000,18851000,-12762000,-192000,32919000,0,122383000,20321000,None,None,-24649000,84.94,66.49
8,2018-06-30,USD,328360000,206769000,50920000,328360000,121591000,89580000,0,0,121591000,0,206769000,None,121591000,20371000,45877000,32011000,284047000,238170000,0,0,0,32011000,-6021000,0,89580000,87530000,2050000,USD,29464588000,21414000,4838362000,696502000,26357717000,3106871000,0,24365479000,56437000,1464494000,597657000,509957000,22926387000,1525987000,25709302000,667000000,1384779000,-81216000,639345000,26617254000,1347408000,2450500000,1940787000,23150480000,648415000,35636000,676823000,0,0,56437000,125000000,1464494000,-5355000,None,135050000,None,2653174000,None,648415000,None,648415000,None,None,None,1547511000,29464588000,3466774000,None,57000000,USD,-828575000,79517000,-847229000,2084000,11142000,840041000,841648000,87399000,89580000,73178000,80366000,-72859000,19101000,-12749000,11378000,0,0,-34973000,20738000,None,None,73178000,87.05,84.94
9,2018-03-31,USD,302415000,194349000,44469000,302415000,108066000,81981000,0,0,108066000,0,194349000,None,108066000,19283000,36123000,None,None,None,0,0,0,26085000,-8259000,0,81981000,79931000,2050000,USD,28456772000,22413000,None,647636000,25425522000,3031250000,0,23279327000,56364000,1387663000,591426000,511497000,4247507000,1211787000,24785753000,915000000,1610468000,-73095000,626687000,25656431000,1306124000,2372340000,1895688000,22548956000,639769000,448103000,591426000,0,0,56364000,125000000,1387663000,-5355000,None,142845000,None,2609566000,None,639769000,None,639769000,None,None,None,1540673000,28456772000,3107475000,None,57000000,USD,-474871000,12857000,-499011000,-12560000,-15631000,430526000,459239000,14757000,81981000,-46127000,22358000,-4006000,16954000,-12713000,-369000,0,0,-85428000,11580000,None,None,-46127000,86.05,87.05
