,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,85698000,282749000,240267000,-240267000,-520713000,-637564000,None,None,-653931000,-97305000,158648000,2303000,-523016000,93568000,133218000,80938000,3983000,-129235000,None,30533000,None,80938000,-8247000,None,-734869000,-637564000,None,USD,14885675000,141299000,None,57544000,14611477000,619519000,None,954074000,1234000,-505090000,110051000,None,652607000,3797740000,1869851000,298050000,298050000,-908000,9415313000,4236381000,None,478220000,None,296318000,12477183000,84779000,617727000,None,None,1234000,None,-505090000,-1419435000,None,685735000,None,406947000,154392000,12477183000,264443000,12741626000,None,None,None,2543718000,14885675000,3797740000,None,107869865,USD,-50795000,-128149000,-50795000,1571000,1401488000,1397893000,-37000,None,-734869000,915611000,-431487000,44565000,186477000,-648000,-2910000,10444000,None,133800000,52366000,56245000,1075000,916686000,74.49,
1,2020-03-31,USD,953716000,-490249000,737660000,-737660000,-245626000,-402037000,None,None,-374453000,-48216000,261557000,1785000,-247411000,-774970000,128827000,75800000,7953000,-120874000,None,23164000,None,75800000,-33397000,None,-450253000,-402037000,None,USD,14273347000,143857000,None,67440000,13280867000,1242090000,None,913395000,1234000,132266000,106862000,None,728155000,2880971000,1884837000,235997000,235997000,-947000,9539407000,3415364000,None,1098233000,None,380771000,11133048000,86182000,735445000,None,None,1234000,None,132266000,-1416525000,None,687317000,None,487402000,156120000,11133048000,262982000,11396030000,None,None,None,2526062000,14273347000,2880971000,None,107884163,USD,-137154000,-70758000,-137154000,2162000,951915000,837997000,-37000,None,-450253000,524343000,-176500000,88630000,185690000,-107426000,-6455000,5135000,None,121340000,139316000,-56284000,3266000,527609000,60.19,74.49
2,2019-12-31,USD,1653459000,-1233701000,1007123000,-1007123000,252998000,-72942000,None,None,139949000,55472000,233048000,26420000,226578000,-1478405000,113049000,157419000,4470000,-108579000,None,11656000,None,157419000,19584000,None,-17470000,-72942000,None,USD,13871281000,146414000,None,522404000,12329809000,1743045000,None,11063434000,1228000,641818000,86201000,None,791779000,2358292000,1982884000,323876000,323876000,-1679000,9623832000,2856337000,None,1596631000,None,569558000,10079983000,88519000,942499000,None,None,1228000,None,641818000,-1410998000,None,229517000,None,562262000,159182000,10097742000,107760000,10346925000,None,None,None,2512676000,13871281000,2358292000,None,107363943,USD,-184855000,19291000,-184855000,103000,847679000,730575000,-37000,None,-17470000,666905000,121185000,-122020000,152883000,-106382000,-10685000,-20527000,-63666000,172694000,184958000,-63666000,None,668515000,138.87,60.19
3,2019-09-30,USD,1647762000,-1214454000,1036619000,-1036619000,161262000,-3496000,None,None,46610000,30379000,254658000,-16573000,177835000,-1474764000,114652000,19727000,6427000,-108225000,None,5652000,None,19727000,-31216000,None,26883000,-3496000,None,USD,13277058000,148972000,None,68045000,11611179000,1918751000,None,956744000,1228000,822070000,91191000,None,951409000,1676110000,1930384000,116118000,116118000,-2700000,9621268000,2111252000,None,1769779000,None,286611000,9421845000,80486000,857522000,None,None,1228000,None,822070000,-1409717000,None,675952000,None,719614000,149970000,9421845000,258950000,9680795000,None,None,None,2507870000,13277058000,1676110000,None,107362682,USD,-247182000,-29972000,-247182000,-4849000,372937000,154332000,-36000,-20691000,26883000,177591000,270441000,16731000,180307000,-189649000,-28920000,25638000,2919000,47935000,242333000,2919000,-1666000,175925000,108.72,138.87
4,2019-06-30,USD,1658332000,-1235445000,1016729000,-1016729000,233392000,94551000,None,None,140243000,47683000,209154000,14676000,218716000,-1518063000,93149000,-1991000,6265000,-86884000,None,73464000,None,-1991000,1481000,None,142234000,94551000,None,USD,13165274000,133066000,None,86975000,11314335000,2050821000,None,906455000,1228000,932907000,75683000,None,971907000,1501886000,1975348000,56605000,56605000,-1986000,9640704000,1967323000,None,1917755000,None,296696000,9095293000,81766000,1012288000,None,None,1228000,None,932907000,-1379644000,None,685241000,None,738940000,185780000,9095293000,243694000,9338987000,None,None,None,2498316000,13165274000,1501886000,None,107610356,USD,-325686000,12270000,-325686000,-963000,-28592000,-242786000,-2719000,-20691000,142234000,-322886000,245586000,-4626000,147537000,-189717000,-24477000,-29079000,-37053000,14303000,325723000,-37053000,2460000,-320426000,123.99,108.72
5,2019-03-31,USD,1651546000,-1261758000,1006582000,-1006582000,254596000,104872000,None,None,161416000,54859000,220096000,-580000,255176000,-1514989000,93180000,1685000,-87402000,-85893000,None,33135000,None,1685000,-10641000,None,159731000,104872000,None,USD,13161227000,133837000,None,91759000,11245984000,2078220000,None,916090000,1226000,945972000,77477000,None,979559000,1822891000,1877930000,36470000,36470000,-2591000,9361912000,2241827000,None,1944383000,None,259804000,9133562000,67373000,925370000,None,None,1226000,None,945972000,-1349413000,None,687123000,None,736528000,175206000,9133562000,234492000,9368054000,None,None,None,2483026000,13161227000,1822891000,None,107660449,USD,-1000000,-63499000,-310875000,404000,-260999000,-343109000,-10496000,-20691000,159731000,-390126000,263858000,9133000,144151000,-80773000,-1337000,-13939000,11088000,17193000,310279000,11088000,-2404000,-392530000,119.32,123.99
6,2018-12-31,USD,1687586000,406543000,1034760000,652826000,243514000,464866000,0,0,142797000,50644000,245456000,-2769000,246283000,138911000,100717000,None,None,None,390900000,22176000,0,-372713000,-163742000,0,515510000,464866000,None,USD,13216269000,222506000,None,83104000,11401480000,2034123000,None,955450000,1221000,921785000,91129000,None,966467000,2215001000,1882063000,11960000,11960000,-1950000,9385920000,2641376000,None,1811617000,None,276644000,9411140000,66627000,914653000,None,None,1221000,None,921785000,-1344012000,None,230015000,None,736452000,None,9411140000,108277000,9519417000,None,None,None,2457079000,13216269000,2215001000,None,107232026,USD,325363000,183895000,-293917000,27800000,484069000,99463000,-25001000,-20691000,515510000,269146000,463600000,63427000,113670000,82026000,-466632000,-6357000,-48119000,-358426000,321717000,-48119000,-2823000,266323000,98.91,119.32
7,2018-09-30,USD,1709072000,365614000,1052475000,656597000,308895000,156115000,0,0,215888000,63657000,211157000,17912000,290983000,137458000,93007000,None,None,None,0,16999000,0,-3884000,-75095000,0,219772000,156115000,None,USD,12377491000,223382000,None,91319000,10837208000,1804993000,0,836700000,1221000,537771000,94468000,0,592961000,1949253000,2047405000,236835000,236835000,-2083000,9221028000,2336320000,3800000,1581611000,0,232672000,8695335000,63076000,973870000,1540283000,2455357000,1221000,0,537771000,-1187273000,None,235447000,None,361314000,None,8695335000,94468000,8789803000,None,None,None,2455357000,12377491000,1949253000,None,108731082,USD,131793000,65126000,-180475000,63000,605053000,234528000,-305468000,None,219772000,498640000,444587000,4895000,145090000,-377934000,7409000,3481000,-5398000,11621000,312331000,-5398000,5387000,504027000,127.06,98.91
8,2018-06-30,USD,1605424000,340098000,985754000,619670000,285476000,155756000,0,0,195578000,49524000,192422000,5904000,279572000,137870000,89898000,None,None,None,0,9806000,0,-9702000,-83994000,0,205280000,155756000,None,USD,11816556000,224008000,None,86746000,9996961000,1712985000,0,839721000,1220000,462950000,116540000,0,578085000,1445163000,1746819000,179075000,179075000,-1938000,9053922000,1888458000,72083000,1488977000,59670000,230114000,8133602000,66765000,728023000,1819595000,2435720000,1220000,0,462950000,-1184967000,None,220519000,None,357566000,None,8133602000,116540000,8250142000,None,None,None,2435720000,11816556000,1504833000,None,108642371,USD,-2058000,-256732000,-340305000,-10859000,-1049541000,-351001000,-1652000,None,205280000,-584358000,106948000,8956000,146118000,-222417000,920957000,5156000,-471000,-1359000,327388000,-471000,-348000,-584706000,167.34,127.06
9,2018-03-31,USD,1715578000,783586000,1013286000,702292000,-150296000,-204307000,0,0,-248523000,66829000,172636000,-69002000,-81294000,599914000,98227000,None,None,None,0,11036000,0,-111045000,-630786000,0,-137478000,-204307000,None,USD,12215174000,212384000,None,91624000,11443786000,711562000,0,1036946000,1166000,388523000,110198000,0,566154000,2031662000,2098909000,121714000,121714000,-1874000,8887843000,2448299000,100494000,499178000,29208000,228226000,9234679000,67579000,940249000,771388000,1508714000,1166000,0,388523000,-1184967000,None,218184000,None,347970000,None,9234679000,110198000,9344877000,None,None,None,1508714000,12215174000,2060870000,None,103202045,USD,195628000,-35157000,-408113000,-89205000,-335120000,-307247000,75000000,None,-137478000,-769006000,-53646000,85944000,145718000,-51456000,4329000,-7492000,-5169000,-100012000,514536000,-5169000,-3949000,-772955000,182.36,167.34
