,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,15498000,8811000,13201000,2297000,-7176000,-6844000,2565000,None,-7176000,None,6246000,-662000,-6514000,-15498000,None,-332000,306000,306000,None,None,None,-332000,-968000,None,-6844000,-6844000,None,USD,358762000,None,None,3032000,15192000,343570000,None,1500000,246395000,97312000,1056000,None,75491000,229703000,14136000,None,None,-137000,24882000,258389000,None,343570000,None,25654000,None,None,12636000,None,None,246395000,None,97312000,None,None,75048000,None,443000,None,None,1056000,1056000,None,None,None,None,358762000,229703000,None,28897394,USD,-426000,5431000,-426000,None,None,278000,-62000,3270000,-6844000,-11716000,-11568000,-2878000,546000,None,340000,None,-10998000,3175000,426000,-10998000,None,-11806000,13.71,
1,2020-03-31,USD,12681000,5178000,9674000,3007000,-366000,-14000,1155000,None,-366000,None,4023000,1805000,-2171000,-12681000,None,-352000,1898000,1898000,None,None,None,-352000,-93000,None,-14000,-14000,None,USD,358373000,None,None,2882000,11291000,347082000,None,1500000,242942000,104156000,1056000,None,75443000,241540000,10235000,None,None,-16000,25034000,257896000,None,347082000,75000000,13917000,None,None,9791000,None,None,242942000,None,104156000,None,None,75000000,None,25034000,None,None,None,1056000,None,None,None,None,358373000,316540000,None,28852927,USD,-389000,-46985000,-389000,None,None,-412082000,-420000000,-4029000,-14000,-473144000,-60673000,-8007000,558000,None,7918000,None,-9681000,3456000,389000,-9681000,90000,-473054000,10.62,13.71
2,2019-12-31,USD,0,13311000,None,None,736319000,686495000,10337000,None,736319000,None,2974000,749630000,-13311000,None,None,49824000,185000,185000,None,None,None,49824000,749445000,None,686495000,686495000,None,USD,816877000,None,None,1669000,61246000,755631000,None,4500000,324808000,430929000,1056000,None,75443000,714594000,60190000,None,None,-106000,25171000,716263000,None,755631000,None,None,None,None,56746000,None,None,324808000,None,430929000,None,None,75000000,None,443000,None,None,None,1056000,None,None,None,None,816877000,714594000,None,41519633,USD,674994000,54727000,674994000,675000000,None,3172000,-62000,51488000,686495000,674420000,-3746000,-746595000,566000,None,3172000,None,None,1061000,6000,None,-164000,674256000,18.665,10.62
3,2019-09-30,USD,0,6111000,None,None,-6150000,-6150000,4533000,None,-6150000,None,1578000,-39000,-6111000,None,None,None,250000,250000,None,None,None,None,-289000,None,-6150000,-6150000,None,USD,66643000,None,None,573000,2021000,64622000,None,None,320130000,-255566000,None,None,None,40338000,2021000,None,None,58000,25732000,40911000,None,64622000,None,None,None,None,2021000,None,None,320130000,None,-255566000,None,None,25732000,None,25732000,None,None,None,0,None,None,None,None,66643000,40338000,None,41066467,USD,-161000,-332000,-161000,None,None,288000,-62000,153000,-6150000,-4857000,-4984000,105000,596000,None,288000,None,None,797000,161000,None,274000,-4583000,10.46,18.665
4,2019-06-30,USD,0,6006000,None,None,-5852000,-5852000,4693000,None,-5852000,None,1313000,154000,-6006000,None,None,None,51000,51000,None,None,None,None,103000,None,-5852000,-5852000,None,USD,71875000,None,None,678000,2462000,69413000,None,None,319045000,-249416000,None,None,None,44921000,2462000,None,None,-216000,26276000,45599000,None,69413000,None,None,None,None,2462000,None,None,319045000,None,-249416000,None,None,26276000,None,26276000,None,None,None,0,None,None,None,None,71875000,44921000,None,41003660,USD,-31000,-382000,-31000,None,None,37895000,102000,217000,-5852000,33001000,-4863000,288000,597000,None,37793000,None,None,486000,31000,None,-99000,32902000,7.58,10.46
5,2019-03-31,USD,0,5805000,None,None,-5864000,-5864000,4527000,None,-5864000,None,1278000,-59000,-5805000,None,None,None,78000,78000,None,None,None,None,-137000,None,-5864000,-5864000,None,USD,39824000,None,None,963000,2841000,36983000,None,None,280664000,-243564000,None,None,None,12019000,2841000,None,None,-117000,26842000,12982000,None,36983000,None,None,None,None,2841000,None,None,280664000,None,-243564000,None,None,26842000,None,26842000,None,None,None,0,None,None,None,None,39824000,12019000,None,36090125,USD,-6000,-212000,-6000,None,None,741000,200000,-84000,-5864000,-3942000,-4677000,227000,602000,None,541000,None,None,570000,6000,None,138000,-3804000,11.02,7.58
6,2018-12-31,USD,0,6108000,0,0,-6111000,-6111000,4843000,0,-6111000,0,1265000,-3000,-6108000,0,0,None,None,None,0,0,0,0,-3000,0,-6111000,-6111000,None,USD,44345000,None,None,1193000,2947000,41398000,None,3000,279353000,-237700000,3000,None,None,15823000,2944000,None,None,-255000,27329000,17016000,None,41398000,None,None,None,None,2944000,None,None,279353000,None,-237700000,None,None,None,None,27329000,None,None,None,None,None,None,None,None,44345000,15823000,None,35899772,USD,None,644000,-8000,None,None,741000,None,-871000,-6111000,-5124000,-5116000,-740000,617000,None,201000,None,None,474000,8000,None,98000,-5026000,5.08,11.02
7,2018-09-30,USD,0,5115000,0,0,-5051000,-5051000,3940000,0,-5051000,0,1175000,64000,-5115000,0,0,None,None,None,0,0,0,0,64000,0,-5051000,-5051000,None,USD,49244000,0,None,457000,2307000,46937000,0,7000,278879000,-231589000,7000,0,0,20849000,2300000,None,None,-353000,27938000,21306000,None,46937000,0,None,0,0,2300000,0,0,278879000,0,-231589000,0,None,None,None,27938000,None,None,None,None,None,None,None,None,49244000,20849000,None,35819772,USD,None,-458000,-32000,0,None,741000,None,577000,-5051000,-4027000,-3995000,457000,618000,0,0,0,0,439000,32000,None,27000,-4000000,3.18,5.08
8,2018-06-30,USD,0,5621000,0,0,-5907000,-5907000,3949000,0,-5907000,0,1672000,-286000,-5621000,0,0,None,None,None,0,0,0,0,-286000,0,-5907000,-5907000,None,USD,54290000,0,None,917000,2768000,51522000,12000,1301000,278441000,-226538000,12000,0,0,24849000,2756000,None,None,-381000,28524000,25766000,None,51522000,0,None,0,0,2756000,0,0,278441000,0,-226538000,0,None,None,None,28524000,None,None,None,12000,None,None,None,None,54290000,24849000,None,35819772,USD,None,349000,-48000,0,None,741000,None,439000,-5907000,-3948000,-3900000,411000,610000,0,0,0,0,637000,48000,None,381000,-3567000,4.48,3.18
9,2018-03-31,USD,0,4150000,0,0,-4069000,-4069000,2993000,0,-4069000,0,1157000,81000,-4150000,0,0,None,None,None,0,0,0,0,81000,0,-4069000,-4069000,None,USD,58860000,0,None,1333000,2450000,56410000,0,16000,277803000,-220631000,16000,0,0,28416000,2434000,None,None,-762000,29111000,29749000,None,56410000,0,None,0,0,2434000,0,0,277803000,0,-220631000,0,None,None,None,29111000,None,None,None,None,None,None,None,None,58860000,28416000,None,35519772,USD,None,-384000,-34000,0,None,201000,None,441000,-4069000,-3359000,-3526000,229000,588000,0,201000,0,0,110000,34000,None,7000,-3352000,5.35,4.48
