,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,2586000000,1606000000,558000000,2028000000,470000000,287000000,None,None,274000000,None,146000000,48000000,422000000,1460000000,196000000,-13000000,None,-196000000,None,None,None,-13000000,48000000,None,287000000,287000000,None,USD,53456000000,None,None,866000000,40071000000,13385000000,2973000000,965000000,1313000000,5538000000,14010000000,None,6800000000,1625000000,5473000000,2551000000,2511000000,-145000000,41124000000,4390000000,2721000000,13385000000,None,1412000000,19463000000,487000000,1957000000,None,None,1313000000,None,5538000000,None,None,5221000000,None,49066000000,1274000000,19463000000,15135000000,34598000000,None,None,None,6679000000,53456000000,1625000000,None,525204978,USD,-5000000,-112000000,-974000000,-7000000,2092000000,1885000000,10000000,-204000000,287000000,1390000000,479000000,-103000000,508000000,-217000000,None,-18000000,12000000,-95000000,962000000,12000000,None,1390000000,62.5,
1,2020-03-31,USD,2811000000,1768000000,588000000,2223000000,478000000,295000000,None,None,289000000,None,149000000,23000000,455000000,1619000000,189000000,-6000000,-171000000,-189000000,None,None,None,-6000000,23000000,None,295000000,295000000,None,USD,51133000000,None,None,851000000,37831000000,13302000000,3130000000,978000000,1313000000,5478000000,13819000000,None,6220000000,244000000,5839000000,2919000000,2867000000,-148000000,40776000000,2983000000,2468000000,13302000000,None,1400000000,17010000000,488000000,1942000000,None,None,1313000000,None,5478000000,None,None,4906000000,None,48150000000,1306000000,17010000000,14982000000,31992000000,None,None,None,6659000000,51133000000,244000000,None,525033594,USD,-5000000,-435000000,-1606000000,6000000,1170000000,933000000,-33000000,-164000000,295000000,-4000000,669000000,219000000,499000000,-204000000,None,33000000,7000000,51000000,1607000000,7000000,None,-4000000,60.3,62.5
2,2019-12-31,USD,2798000000,4080000000,-1732000000,4530000000,485000000,292000000,None,None,299000000,None,-72000000,35000000,450000000,4152000000,186000000,7000000,-168000000,-185000000,None,None,None,7000000,34000000,None,292000000,292000000,None,USD,50448000000,None,None,771000000,37209000000,13239000000,2935000000,1069000000,1311000000,5413000000,13608000000,None,6336000000,248000000,4568000000,1335000000,1297000000,-141000000,39483000000,3113000000,2753000000,13239000000,None,1550000000,17407000000,544000000,2164000000,None,None,1311000000,None,5413000000,None,None,5099000000,None,47335000000,1549000000,17407000000,15234000000,32641000000,None,None,None,6656000000,50448000000,248000000,None,524539000,USD,-10000000,132000000,-1214000000,3000000,95000000,-108000000,-33000000,50000000,292000000,-616000000,706000000,-38000000,483000000,-204000000,1000000,-24000000,-59000000,10000000,1207000000,-149000000,None,-616000000,63.49,60.3
3,2019-09-30,USD,3013000000,1666000000,589000000,2424000000,791000000,527000000,None,None,599000000,None,212000000,33000000,758000000,1454000000,192000000,72000000,-176000000,-192000000,None,None,None,72000000,33000000,None,527000000,527000000,None,USD,50240000000,None,None,748000000,37099000000,13141000000,3120000000,1083000000,1311000000,5336000000,13583000000,None,6388000000,864000000,5021000000,1859000000,1786000000,-142000000,38703000000,3600000000,2621000000,13141000000,None,1444000000,16819000000,544000000,2079000000,None,None,1311000000,None,5336000000,None,None,5316000000,None,46640000000,1598000000,16819000000,15259000000,32078000000,None,None,None,6636000000,50240000000,864000000,None,514865476,USD,-1421000000,197000000,-1421000000,-92000000,455000000,709000000,-3000000,49000000,527000000,511000000,1223000000,-47000000,482000000,-200000000,457000000,-85000000,-83000000,215000000,1329000000,-66000000,None,511000000,64.89,63.49
4,2019-06-30,USD,2577000000,646000000,1521000000,1056000000,441000000,238000000,None,None,262000000,None,207000000,31000000,410000000,439000000,179000000,24000000,-164000000,-179000000,None,None,None,24000000,31000000,None,238000000,238000000,None,USD,48584000000,None,None,727000000,36218000000,12366000000,3145000000,1056000000,1287000000,5024000000,13436000000,None,6405000000,353000000,5060000000,2216000000,2150000000,-135000000,37651000000,2939000000,2596000000,12366000000,None,1376000000,15996000000,483000000,1788000000,None,None,1287000000,None,5024000000,None,None,5398000000,None,45645000000,1647000000,15996000000,15162000000,31158000000,None,None,None,6190000000,48584000000,353000000,None,514865476,USD,-5000000,-314000000,-856000000,-6000000,772000000,574000000,2000000,-229000000,238000000,259000000,541000000,-76000000,470000000,-200000000,None,-59000000,236000000,23000000,845000000,259000000,None,259000000,59.49,64.89
5,2019-03-31,USD,3141000000,655000000,2000000000,1141000000,519000000,315000000,None,None,340000000,None,222000000,33000000,486000000,433000000,179000000,25000000,-164000000,-179000000,None,None,None,25000000,33000000,None,315000000,315000000,None,USD,47850000000,None,None,734000000,35521000000,12329000000,3180000000,1041000000,1287000000,4996000000,13370000000,None,5799000000,94000000,4424000000,1307000000,1254000000,-127000000,37114000000,2909000000,2529000000,12329000000,None,1636000000,16118000000,445000000,2076000000,None,None,1287000000,None,4996000000,None,None,5298000000,None,44941000000,1529000000,16118000000,14979000000,31097000000,None,None,None,6173000000,47850000000,94000000,None,514667625,USD,-5000000,-177000000,-852000000,-3000000,206000000,6000000,-13000000,-61000000,315000000,-53000000,793000000,120000000,469000000,-187000000,None,84000000,-114000000,4000000,844000000,-22000000,None,-53000000,56.21,59.49
6,2018-12-31,USD,2880000000,654000000,1887000000,993000000,373000000,214000000,0,0,209000000,0,212000000,34000000,339000000,442000000,164000000,None,None,None,0,0,0,-5000000,-37000000,0,214000000,214000000,None,USD,45987000000,None,None,784000000,33765000000,12222000000,3326000000,899000000,1285000000,4893000000,13502000000,None,6090000000,147000000,4460000000,1505000000,406000000,-124000000,36944000000,3094000000,2351000000,12222000000,None,1615000000,15803000000,548000000,2056000000,None,None,1285000000,None,4893000000,None,None,3598000000,None,42893000000,None,15803000000,13502000000,29305000000,None,None,None,6168000000,45987000000,147000000,None,511000000,USD,-5000000,156000000,-1280000000,-78000000,744000000,585000000,1000000,116000000,214000000,-66000000,629000000,13000000,476000000,-186000000,26000000,-102000000,-162000000,34000000,1197000000,-162000000,None,-66000000,49.27,56.21
7,2018-09-30,USD,3048000000,652000000,1700000000,1348000000,728000000,491000000,0,0,564000000,0,212000000,32000000,696000000,440000000,164000000,None,None,None,0,0,0,73000000,-121000000,0,491000000,491000000,None,USD,44835000000,0,None,756000000,32670000000,12165000000,3166000000,845000000,1283000000,4876000000,13324000000,0,6067000000,213000000,3838000000,1024000000,556000000,-119000000,35879000000,3003000000,2515000000,12165000000,0,1506000000,15508000000,528000000,1969000000,12165000000,6125000000,1283000000,0,4876000000,0,None,3438000000,None,41832000000,None,15508000000,13324000000,28832000000,None,None,None,6125000000,44835000000,213000000,None,513298952,USD,-5000000,108000000,-841000000,21000000,-349000000,-334000000,-3000000,106000000,491000000,-119000000,1056000000,36000000,474000000,-185000000,203000000,-64000000,-38000000,49000000,857000000,-38000000,None,-119000000,47.21,49.27
8,2018-06-30,USD,2658000000,583000000,1625000000,1033000000,483000000,265000000,0,0,319000000,0,206000000,33000000,450000000,377000000,164000000,None,None,None,0,0,0,54000000,-131000000,0,265000000,265000000,None,USD,44240000000,0,None,757000000,32590000000,11650000000,3177000000,836000000,1272000000,4580000000,13101000000,0,6029000000,332000000,4178000000,1565000000,856000000,-122000000,35289000000,3056000000,2445000000,11650000000,0,1456000000,15311000000,511000000,1777000000,11650000000,5920000000,1272000000,0,4580000000,0,None,3450000000,None,41184000000,None,15311000000,13101000000,28412000000,None,None,None,5920000000,44240000000,332000000,None,508898420,USD,-1000000,-192000000,-993000000,28000000,842000000,659000000,1000000,-191000000,265000000,216000000,550000000,42000000,413000000,-184000000,0,-17000000,16000000,23000000,1020000000,16000000,None,216000000,45.68,47.21
9,2018-03-31,USD,2951000000,599000000,1872000000,1079000000,510000000,291000000,0,0,350000000,0,216000000,30000000,480000000,383000000,160000000,None,None,None,0,0,0,59000000,-130000000,0,291000000,291000000,None,USD,43159000000,0,None,701000000,31598000000,11561000000,2965000000,699000000,1272000000,4510000000,8992000000,0,5698000000,116000000,4122000000,1512000000,457000000,-124000000,34679000000,2782000000,2453000000,11561000000,0,1473000000,14522000000,492000000,1911000000,11561000000,5903000000,1272000000,0,4510000000,0,None,3245000000,None,40377000000,None,14522000000,12954000000,27476000000,None,None,None,5903000000,43159000000,116000000,None,508661859,USD,-9000000,-222000000,-872000000,20000000,211000000,18000000,-18000000,-30000000,291000000,33000000,887000000,150000000,418000000,-175000000,0,118000000,88000000,44000000,883000000,88000000,None,33000000,45.48,45.68
10,2017-12-31,USD,2795753000,578273000,1791750000,1004003000,462909000,189326000,0,0,307482000,0,201288000,37179000,425730000,376985000,155427000,None,None,None,0,0,0,118156000,-500000000,0,189326000,189326000,None,USD,43030000000,0,None,719000000,31575000000,11455000000,3005000000,740000000,1269000000,4413000000,9064000000,0,5728000000,83000000,4088000000,1300000000,457000000,-125000000,34329000000,2973000000,2445000000,11455000000,0,1561000000,14520000000,610000000,2048000000,11455000000,5898000000,1269000000,0,4413000000,0,None,3283000000,None,40057000000,None,14520000000,12967000000,27487000000,None,None,None,5898000000,43030000000,83000000,None,507762881,USD,-14473000,181239000,-1057400000,19621000,395936000,213215000,291000,-245000000,189326000,-85365000,758820000,-31815000,408001000,-182955000,-57000,6158000,-94000000,172749000,1062548000,-166838000,None,-85365000,48.11,45.48
11,2017-09-30,USD,3016897000,578390000,1620148000,1396749000,854011000,492141000,0,0,696932000,0,207299000,35652000,818359000,371091000,157079000,None,None,None,0,0,0,204791000,0,0,492141000,492141000,None,USD,42468794000,0,None,681080000,31029417000,11439377000,0,742904000,1269407000,4386050000,5693732000,0,5619968000,167841000,3340406000,847074000,305415000,-104809000,33949952000,2898874000,2349389000,11439377000,0,1433278000,14572967000,616675000,1750428000,11439377000,5888729000,1269407000,0,4386050000,0,None,3270579000,None,39569920000,None,14572967000,13116044000,27689011000,None,None,None,5888729000,42468794000,167841000,None,507762881,USD,-5026000,24479000,-764522000,23163000,-21585000,-204380000,291000,151741000,492141000,106459000,1075361000,110574000,406207000,-182795000,0,-74591000,72838000,181952000,782659000,-65401000,None,106459000,47.32,48.11
