,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,13089000,50689000,None,13089000,-36681000,-35018000,43458000,None,-35018000,None,7231000,919000,-37600000,None,-2090000,0,2090000,2090000,None,None,None,None,492000,None,-35018000,-35018000,None,USD,644720000,15162000,None,10009000,74075000,570645000,None,46779000,572000,-339494000,None,None,8788000,109534000,66449000,None,None,1483000,16239000,603386000,1145000,555483000,474114000,9729000,None,None,19670000,None,None,572000,None,-339494000,None,None,8788000,None,41334000,9720000,None,7626000,7626000,None,None,None,908084000,644720000,583648000,None,57214253,USD,60959000,2156000,59408000,-929000,None,4000000,None,1594000,-35018000,35726000,-27682000,-2819000,1178000,None,4000000,None,-2100000,8222000,622000,-1401000,None,35726000,32.39,
1,2020-03-31,USD,32385000,41162000,None,32385000,-11218000,-8074000,33943000,None,-8074000,None,7219000,-2441000,-8777000,None,-3039000,0,3039000,3039000,None,None,None,None,-2336000,None,-8074000,-8074000,None,USD,666963000,14637000,None,8729000,73958000,593005000,None,48312000,570000,-304476000,None,None,9188000,73808000,65917000,None,None,1056000,16799000,588107000,38232000,578368000,497841000,7729000,None,None,17605000,None,None,570000,None,-304476000,None,None,9188000,None,78856000,10177000,None,8041000,8041000,None,None,None,895855000,666963000,571649000,None,57001253,USD,15176000,-1579000,12565000,-538000,None,1471000,None,-1471000,-8074000,23496000,9460000,1398000,800000,None,1471000,None,14749000,1951000,2073000,14964000,None,23496000,29.88,32.39
2,2019-12-31,USD,3516000,34088000,27340000,3516000,-30894000,-26912000,27338000,None,-27200000,None,6750000,-322000,-30572000,None,-3419000,-288000,3418000,3418000,None,None,None,-288000,-45000,None,-26912000,-26912000,None,USD,670250000,14421000,None,6547000,77049000,593201000,None,47374000,569000,-296402000,1926000,None,713000,50312000,66558000,None,None,1161000,15805000,558405000,71928000,578780000,479470000,22076000,None,None,19184000,None,None,569000,None,-296402000,None,None,9691000,None,111845000,10734000,None,10491000,10491000,None,None,None,887873000,670250000,529782000,None,56902301,USD,19390000,1843000,15727000,-753000,None,2973000,None,1715000,-26912000,-877000,-19577000,15579000,237000,None,2973000,None,-17224000,7284000,2910000,-17608000,None,-877000,34.39,29.88
3,2019-09-30,USD,21760000,36036000,29770000,21760000,-14466000,-10224000,29770000,None,-10574000,None,6266000,-190000,-14276000,None,-3699000,-350000,3699000,3699000,None,None,None,-350000,3000,None,-10224000,-10224000,None,USD,686244000,14027000,None,22533000,76007000,610237000,None,47776000,567000,-269490000,2613000,None,10589000,51189000,64312000,None,None,1436000,13868000,573765000,74397000,596210000,495292000,4751000,None,None,16536000,None,None,567000,None,-269490000,None,None,10187000,None,112479000,11279000,None,11695000,11695000,None,None,None,877724000,686244000,546481000,None,56714788,USD,25404000,517000,22060000,-768000,None,3049000,None,5487000,-10225000,18632000,-6477000,-11856000,-387000,None,3049000,None,5781000,9542000,2576000,5932000,None,18632000,33.73,34.39
4,2019-06-30,USD,19485000,39057000,33299000,19485000,-18315000,-16034000,33299000,None,-15984000,None,5758000,1257000,-19572000,None,-3615000,50000,3615000,3615000,None,None,None,50000,-27000,None,-16034000,-16034000,None,USD,684753000,13522000,None,11307000,76662000,608091000,None,47692000,565000,-259266000,3300000,None,11128000,32557000,63712000,None,None,1629000,12128000,527009000,121368000,594569000,472613000,10532000,None,None,16020000,None,None,565000,None,-259266000,None,None,10726000,None,157744000,11864000,None,12950000,12950000,None,None,None,865163000,684753000,505170000,None,56529398,USD,-99865000,4733000,-102430000,-1113000,None,3973000,None,-1344000,-16033000,10699000,109156000,-16042000,-268000,None,3973000,None,127611000,9340000,1452000,127426000,None,10699000,40.93,33.73
5,2019-03-31,USD,111939000,33695000,28183000,111939000,79375000,80045000,28183000,None,80945000,None,5512000,1131000,78244000,None,-2886000,900000,2886000,2886000,None,None,None,900000,-185000,None,80045000,80045000,None,USD,697003000,12737000,None,9433000,87438000,609565000,None,61231000,564000,-243232000,3896000,None,11265000,21858000,73321000,1987000,1987000,345000,11456000,488671000,172874000,596828000,318498000,138882000,10221000,None,12090000,None,None,564000,None,-243232000,None,None,11265000,None,208332000,12208000,None,14117000,14117000,None,None,None,851888000,697003000,340356000,None,56349389,USD,15139000,-1368000,13673000,-1051000,None,667000,None,-3243000,80045000,-4388000,-18728000,23744000,395000,None,667000,None,-127489000,5914000,415000,-127458000,None,-4388000,31.06,40.93
6,2018-12-31,USD,11564000,32646000,27130000,11564000,-14179000,-18197000,27129000,0,-18197000,0,5517000,6903000,-21082000,0,2651000,None,None,None,0,0,0,0,2645000,0,-18197000,-18197000,None,USD,576732000,11969000,None,10375000,55051000,521681000,1198000,40394000,563000,-323277000,1198000,None,1115000,26246000,53853000,None,None,-971000,11813000,315727000,236912000,509712000,268115000,10991000,None,None,13459000,None,None,563000,None,-323277000,None,None,311000,None,261005000,None,None,None,1198000,None,None,None,845366000,576732000,294361000,None,56279542,USD,10277000,1803000,6866000,-624000,None,1165000,-14741000,5731000,-18199000,-8750000,-16781000,1568000,421000,None,1165000,None,-7725000,5262000,2787000,-7636000,None,-8750000,36.16,31.06
7,2018-09-30,USD,29039000,28388000,20953000,29039000,178000,3150000,20953000,0,3150000,0,7435000,-473000,651000,0,-2642000,None,None,None,0,0,0,0,2499000,0,3150000,3150000,None,USD,585586000,11677000,None,12095000,53313000,532273000,1286000,40373000,562000,-305078000,1286000,0,1073000,34996000,52027000,None,None,-2338000,9688000,286920000,276990000,520596000,236605000,3224000,0,0,11654000,0,0,562000,0,-305078000,0,None,311000,None,298666000,None,None,None,1286000,None,None,None,839127000,585586000,271601000,None,56212449,USD,7291000,817000,5862000,-420000,None,4153000,None,-87000,3151000,-296000,-10311000,-19846000,478000,0,4153000,0,-1180000,6298000,1009000,-1209000,None,-296000,38.97,36.16
8,2018-06-30,USD,0,28290000,23332000,-23332000,-25673000,-25869000,23332000,0,-25869000,0,4958000,2617000,-28290000,0,3000,None,None,None,0,0,0,0,2421000,0,-25869000,-25869000,None,USD,591457000,11531000,None,12074000,72278000,519179000,1122000,60317000,558000,-308229000,1122000,0,1027000,35292000,71156000,None,None,-2008000,9401000,269527000,300733000,507648000,220116000,2045000,0,0,10839000,0,0,558000,0,-308229000,0,None,265000,None,321930000,None,None,None,1122000,None,None,None,828858000,591457000,255408000,None,55821310,USD,-188606000,-2295000,-190169000,-493000,None,2308000,-1000,-4435000,-25868000,-216280000,-28419000,-5461000,748000,0,2308000,0,-184000,4927000,1070000,-470000,None,-216280000,37.01,38.97
9,2018-03-31,USD,0,30649000,26087000,-26087000,-29882000,-29493000,26087000,0,-29493000,0,4562000,767000,-30649000,0,4000,None,None,None,0,0,0,0,1156000,0,-29493000,-29493000,None,USD,612272000,11316000,None,6649000,74608000,537664000,1177000,60297000,556000,-282361000,1177000,0,1027000,251572000,73431000,None,None,-2201000,8921000,470919000,120851000,526348000,210838000,1860000,0,0,13134000,0,0,556000,0,-282361000,0,None,265000,None,141353000,None,None,None,1177000,None,None,None,821670000,612272000,462410000,None,55616875,USD,15409000,628000,12674000,-389000,None,246615000,-14740000,-1979000,-29493000,235044000,-24245000,-801000,1210000,0,246615000,0,44000,4476000,2346000,-265000,None,235044000,29.98,37.01
