,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,CNY,1621816000.0,1714528000.0,1537071000.0,84745000.0,-91010000.0,-92733000.0,None,None,-93077000.0,-3925000.0,181509000.0,None,-92712000.0,-4052000.0,2067000.0,0,1121000,-946000,None,None,None,None,581000.0,None,-93077000.0,-92733000.0,None,CNY,1885609000,None,None,None,1294409000,595125000.0,None,None,55000,-2100680000,4836000,None,3426000,703713000,1235031000,None,149700000,90189000,116168000,1757890000,140000,587140000.0,None,140897000,None,599863000,852959000,None,None,None,None,None,None,None,3426000,None,127719000,54542000,None,4836000,59378000,None,None,None,None,None,None,None,None,CNY,-2922000.0,0.0,-2922000.0,-2922000,None,None,95154000,None,-92733000.0,218486000.0,126036000.0,None,None,None,None,None,None,218769000.0,0.0,None,None,None,6.35,
1,2020-03-31,CNY,1575668000.0,1689363000.0,1488070000.0,87598000.0,-123855000.0,-124612000.0,None,None,-125459000.0,-3580000.0,202047000.0,None,-113695000.0,-754000.0,1604000.0,0,288000,-1316000,None,None,None,None,-10448000.0,None,-125459000.0,-124612000.0,None,CNY,1648770000,8144000,None,34921000,979058000,673292000.0,None,None,55000,-2007947000,5388000,None,4332000,490093000,912821000,39666000,39666000,90719000,126847000,1509307000,140000,665148000.0,None,76774000,None,646024000,637369000,None,None,None,None,None,-34972000,None,4332000,None,139463000,60849000,None,5388000,66237000,None,None,None,2625437000,None,490093000,None,82000000,CNY,-4169000.0,0.0,-4169000.0,-4169000,None,-64459000,-64459000,None,-124612000.0,-172708000.0,-111947000.0,None,None,None,None,None,None,12665000.0,0.0,None,None,None,6.61,6.35
2,2019-12-31,CNY,1347840000.0,1515912000.0,1305348000.0,42492000.0,-157149000.0,-157591000.0,0.07,0,-158313000.0,-2733000.0,206993000.0,0,-168072000.0,3571000.0,1164000.0,0,325000,-839000,0,0,0,0,10598000.0,0,-158313000.0,-157591000.0,0,CNY,1610293000,8022000,None,6994000,836370000,776656000.0,0,20675000,55000,-1883335000,5936000,0,3009000,581281000,773423000,95081000,95081000,76441000,117691000,1481431000,140000,768634000.0,0,122996000,0,486271000,444334000,0,0,0,0,0,-22991000,0,3009000,0,128862000,88110000,0,5936000,62947000,0,0,0,2606486000,0,581281000,0,82000000,CNY,109817000.0,232076000.0,109817000.0,-127858000,95081000,108987000,-74366000,-23221000,-157591000.0,40989000.0,-71544000.0,0,0,0,0,0,0,178427000.0,0.0,0,0,0,6.73,6.61
3,2019-09-30,CNY,1110451000.0,1228546000.0,1063122000.0,47329000.0,-121806000.0,-123299000.0,0.04,0,-123915000.0,-2011000.0,165421000.0,0,-118095000.0,3000.0,2109000.0,0,1117000,-992000,0,0,0,0,-4828000.0,0,-123915000.0,-123299000.0,0,CNY,1674091000,7933000,None,79248000,731311000,944791000.0,0,0,54000,-1725744000,6486000,0,4068000,577485000,666113000,92891000,92557000,100010000,114231000,1547719000,140000,936858000.0,127854000,63631000,0,441434000,412298000,0,0,0,0,0,-18252000,0,4068000,0,126372000,58378000,0,6820000,65198000,0,0,0,2588723000,0,705339000,0,82000000,CNY,186857000.0,0.0,186857000.0,186857000,95081000,99935000,57645000,-23221000,-123299000.0,-21488000.0,-288023000.0,0,0,0,0,0,0,-164724000.0,0.0,0,0,0,4.87,6.73
4,2019-06-30,CNY,838161000.0,939000000.0,796066000.0,42095000.0,-100626000.0,-100226000.0,0.05,0,-100696000.0,-1395000.0,143268000.0,0,-100839000.0,-334000.0,70000.0,0,1419000,1349000,0,0,0,0,-1206000.0,0,-100696000.0,-100226000.0,0,CNY,1739102000,4834000,None,54669000,702875000,1037622000.0,0,0,54000,-1602445000,7035000,0,3322000,623552000,639347000,53835000,37253000,67295000,84871000,1645935000,140000,1032788000.0,309022000,36450000,0,420917000,470954000,0,0,0,0,0,0,0,3322000,0,93167000,39911000,0,23617000,63528000,0,0,0,2572718000,0,932574000,0,82000000,CNY,-52570000.0,0.0,-52570000.0,-52570000,95081000,42290000,21491000,-23221000,-100226000.0,-113232000.0,-93495000.0,0,0,0,0,0,0,6731000.0,0.0,0,0,0,5.56,4.87
5,2019-03-31,CNY,655601000.0,762108000.0,622334000.0,33267000.0,-118624000.0,-118490000.0,0.08,0,-118903000.0,-925000.0,118025000.0,0,-117507000.0,496000.0,279000.0,0,-1183000,1662000,0,0,0,0,-14058000.0,0,-118903000.0,-118490000.0,0,CNY,1604307000,5009000,None,78835000,507177000,1097130000.0,0,0,54000,-1502219000,7587000,0,3369000,712618000,459843000,78389000,19777000,46168000,86287000,1509502000,140000,1092121000.0,249236000,36505000,0,265398000,257558000,0,0,0,0,0,0,0,3369000,0,94805000,40672000,0,66199000,106871000,0,0,0,2553127000,0,961854000,0,82000000,CNY,-6429000.0,0.0,-6429000.0,-6429000,95081000,20799000,20799000,-23221000,-118490000.0,-62287000.0,-59320000.0,0,0,0,0,0,0,59170000.0,0.0,0,0,0,6.49,5.56
6,2018-12-31,CNY,36199.2,44785.49,36129.46,69.75,-8586.29,-8175.72,1327.69,0,-8193.9,-33.25,7292.37,0,-8586.29,35.98,-18.12,8000,None,None,0,0,0,0.52,392.38,0,-8194.42,-8175.72,0,CNY,100428.78,292.44,None,1575.12,20954.07,79507.96,0,3291.50,3.51,-89863.29,528.31,0,219.25,55444.30,20425.76,0,0,4355.91,1318.47,97875.16,723.46,79215.53,16417.88,10418.65,0,13692.29,13784.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135033.94,0,494303.99,0,0,CNY,-2411.59,-1413.29,6750.35,9722.66,0,0.07,-45127.29,-1926.72,-8175.72,-1726.57,-8297.29,0,344,0,0,-1867.11,323.29,4397.73,542.73,0,0,0,6.14,6.49
7,2018-09-30,USD,72445952.04,91357277.0,73195125.86,-749173.81,-18911324.96,-18325350.49,2934385.42,0,-18403237.78,-32610.75,15108969.41,0,-18911324.96,118796.31,-40617.86,None,None,None,0,0,0,0,508087.18,0,-18403237.78,-18325350.49,0,USD,246591885.16,673615.86,None,21104106.92,52337055.42,194287440.49,0,0,7861.52,-183120732.58,0,0,0,128161132.06,52337055.42,0,0,9861841.05,2899445.33,241397021.36,1621802.62,193613824.63,51904089.45,5891773.06,0,34335919.87,36040414.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000,USD,-5406105.78,0.0,-21795483.99,-21795483.99,0,101162777.16,101162777.16,-4319177.74,-18325350.49,57154275.07,-24177670.37,0,771156.95,0,0,-4185531.89,724715.75,-5852319.88,1216643.13,0,0,0,13.52,6.14
8,2018-06-30,USD,60098980.2,0.0,58958458.31,1140521.9,-14410167.97,-12953059.39,2619376.12,0,-13048590.28,46640.67,12973455.31,0,-14410167.97,-42141.57,-41841.63,None,None,None,0,0,0,0,1361577.68,0,-13048590.28,-12953059.39,0,USD,160869676.06,669616.08,None,5934313.14,51220755.85,-158056538.69,0,7703509.30,3749.25,-169760497.90,0,0,0,73146220.76,51220755.85,0,0,7170065.99,2660917.82,155868476.30,1670665.87,-158726154.77,30499400.12,18981103.78,0,27307438.51,35095980.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,21424415.12,7956658.67,20841031.79,-22452159.57,0,41664517.10,104210707.86,2961157.77,-12953059.39,58613677.26,-4586382.72,0,406418.72,0,0,-2302939.41,-1259298.14,581733.65,316736.65,0,0,0,nan,13.52
9,2018-03-31,USD,52576228.01,59291457.69,48307937.27,4268290.74,-6715229.68,-6680041.4,2098877.48,0,-6758060.66,150943.4,8951675.82,None,-6715229.68,-67032.88,0.0,None,None,None,0,0,0,0,-42830.98,0,-6758060.66,-6680041.4,None,USD,123127935.67,731948.09,None,5928508.88,40091553.22,-157052463.98,0,6212721.92,3980.57,-166482286.44,0,0,0,15429185.57,40091553.22,0,0,6116073.56,2620492,118001751.45,1773744.13,-157784412.07,53587771.67,16509035.90,0,26547249.42,28813788.71,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-7412148.71,8410954.54,-7761483.96,-23837433.33,0,44235172.36,110640394.87,-2083751.29,-6680041.4,-11266141.23,-2961388.42,None,419711.81,0,0,-3610222.12,-756627.66,1314067.35,632752.17,None,None,None,nan,nan
