,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,CNY,5840092000.0,5744849000.0,3769095000.0,2070997000.0,954114000.0,6997985000.0,693458000.0,None,822458000.0,28343000.0,1322539000.0,None,95243000.0,-40243000.0,131656000.0,187246000,162519000,30863000,None,None,None,187246000.0,696352000.0,6343255000,611668000.0,6981030000.0,None,CNY,52730669000.0,4526177000.0,None,None,11953707000.0,40748619000.0,None,None,104000.0,17691628000.0,879369000.0,13138748000.0,559049000.0,4756617000.0,5708587000.0,None,1062770000,919491000,2536592000.0,20972287000,10997816000,23083694000,14097325000.0,946684000,5293255000,None,132177000.0,None,None,None,None,None,None,None,346928000,None,31758382000,171797000,None,None,6245120000,None,None,None,None,None,None,None,None,CNY,None,None,None,None,None,None,None,None,6997985000.0,None,None,None,None,None,None,None,None,None,0,None,None,None,88.55,
1,2020-03-31,CNY,7149445000.0,6963050000.0,4945823000.0,2203622000.0,806317000.0,386665000.0,722222000.0,None,681802000.0,5574197000.0,1327142000.0,None,186395000.0,-32137000.0,124515000.0,182012000,200133000,75618000,None,None,None,182012000.0,419789000.0,6343255000,486686000.0,369985000.0,None,CNY,52689414000.0,4763799000.0,None,307910000,13265367000.0,33849850000.0,None,None,104000.0,10638829000.0,1008472000.0,13149132000.0,700173000.0,4018886000.0,6910099000.0,370565000,370565000,1191898000,2607127000.0,28469395000,2999788000,15936919000,22240343000.0,898513000,5190612000,None,132081000.0,None,None,None,None,None,-320858000,None,408745000,None,24220019000,287657000,5190612000,5689000,6355268000,None,None,None,22189916000,None,26259229000,None,81000000,CNY,None,0,None,None,None,None,None,None,386665000.0,None,None,None,None,None,None,None,None,None,0,None,None,None,53.26,88.55
2,2019-12-31,CNY,7618159000.0,7338667000.0,5101009000.0,2517150000.0,578403000.0,172797000.0,802267000.0,0,453829000.0,5351880000.0,1494681000.0,0,279492000.0,9181000.0,124574000.0,192184000,225531000,100957000,0,0,0,192184000.0,73380000.0,6343255000,264821000.0,155971000.0,0,CNY,52209483000.0,4916407000.0,None,72794000,13791717000.0,33065886000.0,0,8.09,104000.0,10272122000.0,982746000.0,12947192000.0,651041000.0,3893538000.0,7637621000.0,557203000,557203000,890209000,2531967000.0,28799969000,2362907000,15202287000,22393074000.0,836788000,5008571000,0,124551000.0,0,0,0,0,0,-168072000,0,394026000,0,23409514000,278343000,5008571000,11495000,6154096000,0,0,0,21921562000,0,26286612000,0,78000000,CNY,0,0,0,0,0,0,0,0,172797000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.79,53.26
3,2019-09-30,CNY,6882214000.0,6721926000.0,4713175000.0,2169039000.0,366573000.0,109928000.0,673058000.0,0,243117000.0,5252171000.0,1488411000.0,0,160288000.0,-152718000.0,123456000.0,86571000,203137000,79681000,0,0,0,86571000.0,3148000.0,6343255000,177807000.0,93231000.0,0,CNY,50565922000.0,5063739000.0,None,424094000,12330680000.0,32983071000.0,0,5.26,103000.0,10157351000.0,928766000.0,13126509000.0,726203000.0,3979081000.0,6261108000.0,288574000,288574000,1162927000,2427384000.0,27575251000,1646836000,14792823000,20931115000.0,820933000,4974947000,0,193364000.0,0,0,0,0,0,0,0,399738000,0,22990671000,277748000,4974947000,1239000,6069572000,0,0,0,21560965000,0,24910196000,0,81000000,CNY,0,0,0,0,0,0,0,0,109928000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.23,52.79
4,2019-06-30,CNY,6295247000.0,6223322000.0,4173841000.0,2121406000.0,256636000.0,42077000.0,655421000.0,0,244368000.0,4992390000.0,1435467000.0,0,71925000.0,-41407000.0,12268000.0,143896000,156619000,144351000,0,0,0,143896000.0,28092000.0,0,107419000.0,25790000.0,0,CNY,49549737000.0,5172310000.0,None,586151000,12177383000.0,32379964000.0,0,8.20,104000.0,10057138000.0,919298000.0,12758974000.0,620422000.0,11010997000.0,6334766000.0,281588000,281588000,600217000,2276941000.0,27186497000,1534593000,14448680000,13509344000.0,629508000,4736225000,0,215254000.0,0,0,0,0,0,0,0,276233000,0,22363240000,298273000,4736225000,0,5842617000,0,0,0,21620780000,0,24520341000,0,81000000,CNY,0,0,0,0,0,0,0,0,42077000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.69,56.23
5,2019-03-31,CNY,4780584000.0,4307033000.0,3160325000.0,1620259000.0,3273016000.0,3120433000.0,404736000.0,0,3266797000.0,2850605000.0,810660000.0,0,473551000.0,-48745000.0,6219000.0,123971000,2793246000,142070000,0,0,0,123971000.0,2651176000.0,0,3149982000.0,3104338000.0,0,CNY,39921809000.0,5306047000.0,None,901039000,10098471000.0,29823338000.0,0,100004000,104000.0,10126262000.0,901382000.0,12497140000.0,359997000.0,8936229000.0,6594871000.0,1289250000,1289250000,228389000,1964501000.0,18133234000,1436281000,11599626000,6309799000.0,1336808000,0,0,235556000.0,0,0,0,0,0,0,0,246938000,0,21788575000,275488000,0,0,1073520000,0,0,0,19048058000,0,15246028000,0,70000000,CNY,1502650000,0,1502650000,-88737000,1278601000,1379037000,100436000,0,3120433000.0,3847766000,966079000,0,0.59,0,0,0,0,-2246914000,0,0,0,0,84.01,69.69
6,2018-12-31,CNY,2073144.1,1752136.98,1324197.92,748946.18,321007.12,305556.78,126109.17,0,344769.82,1276176.67,289858.08,0,321007.12,11971.81,-2119.64,107114000,None,None,0,0,0,47848.82,23762.7,0,296921.0,305556.78,0,CNY,11510826.39,830577.4,None,154219.70,1961462.3,8273187.43,0,723344.82,35.74,3133752.69,240279.59,5254.64,232059.25,2682146.07,1721182.7,0,3065.77,150162.24,579077.81,7366071.30,2497786,7437355.39,3710389.67,819315.86,0,0,51187.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34318465.09,0,43971057.10,0,65000000,USD,419118267.06,0,218456058.73,-12900632.41,185883695.57,200485134.84,14601439.27,0,99442756.41,557248964.16,140449080.47,0,15796321.87,0,0,0,0,-326657556.15,0,0,0,0,59.86,84.01
7,2018-09-30,USD,596961958.97,508024137.78,389363944.74,207598014.24,88937821.19,94729869.41,45731922.14,0,110024312.48,409803461.98,80155046.66,0,88937821.19,-7226775.76,-714816.05,None,None,None,0,0,0,10908442.4,21086491.29,0,99115870.08,94729869.41,0,USD,3443907321.41,272435761.18,None,150036250.35,458609966.66,2575493892.76,0,138377178.30,11646.7,921045727.85,15302741.34,1712792.44,34720697.64,716434072.41,443307225.32,0,1001324.81,50962162.79,173003100.93,2297386917.85,664648051.36,2301345339.14,1390597621.16,40318973.93,0,0,15964128.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000000,USD,419704028.30,0,218761373.73,-12918662.38,186143487.31,200765333.61,14621846.29,0,94729869.41,558027777.37,140645372.62,0,15818398.87,0,0,0,0,-327114093.96,0,0,0,0,74.92,59.86
8,2018-06-30,USD,565871325.73,0.0,346996400.72,218874925.02,107044391.12,-20528944.21,44383023.4,0,-19355728.85,401636322.74,72534793.04,0,107044391.12,-5087282.54,-232153.57,None,None,None,0,0,0,22108428.31,-126400119.98,0,-41464157.17,-20528944.21,0,USD,3424861277.74,280483953.21,None,203017996.40,533893221.36,2489331733.65,0,149112327.53,11997.6,851211907.62,20735302.94,1758848.23,41342381.52,534242501.5,513157918.42,0,992501.50,10528794.24,171769046.19,2296865026.99,632642021.60,2207088932.21,1528248050.39,31316136.77,0,40341.93,12799340.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000000,USD,432349280.14,0,225352429.51,-13307888.42,191751799.64,206814187.16,15062387.52,0,-20528944.21,574840581.88,144882873.43,0,16294991,0,0,0,0,-336969706.06,0,0,0,0,100.47,74.92
9,2018-03-31,USD,517304513.97,422342488.66,320961229.2,196343284.77,94962025.32,70716981.13,39720563.65,0,99971976.75,10209855.9,63630921.11,None,94962025.32,-1970225.3,-78226733.54,None,None,None,0,0,0,23604012.42,5009951.44,0,76367964.33,70716981.13,None,USD,2919683783.14,295441923.41,None,122619377.44,1090490088.37,1818983838.87,0,307666746.28,12737.84,925526311.6,501987580.61,1859883.77,37638245.36,650667462.78,587501154.37,0.41,0.41,-34569699.86,173007563.09,2213134623.04,198601544.46,1521682031.69,1411989650.51,27815301.33,1001353.40,42830.98,10828755.67,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,65000000,USD,0,0,0,0,0,0,0,0,70716981.13,0,0,None,0,0,0,0,0,0,0,None,None,None,105.2,100.47
