,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,512000000,430000000,None,512000000,82000000,66000000,None,None,82000000,None,430000000,None,82000000,86000000,32000000,16000000,595000000,563000000,None,None,None,16000000,None,None,66000000,57000000,9000000,USD,76447000000,1014000000,17812000000,None,68872000000,7575000000,None,65684000000,2675000000,3979000000,698000000,None,55554000000,2149000000,65684000000,None,None,355000000,1173000000,71467000000,918000000,5995000000,15049000000,54269000000,1353000000,None,None,None,None,None,566000000,3979000000,None,None,1875000000,None,4980000000,4000000,1353000000,1835000000,3188000000,None,None,None,2675000000,76447000000,17198000000,None,163978000,USD,-5224000000,46000000,-5176000000,102000000,-3335000000,4771000000,8159000000,42000000,66000000,-160000000,245000000,159000000,18000000,-196000000,-73000000,None,None,-44000000,54000000,None,None,-160000000,25.02,
1,2020-03-31,USD,532000000,-514000000,-51000000,583000000,1179000000,1200000000,None,None,1202000000,None,-274000000,82000000,1097000000,-240000000,-23000000,2000000,622000000,548000000,None,None,None,2000000,None,None,1200000000,6000000,8000000,USD,71467000000,1014000000,18281000000,None,63995000000,14685000000,None,24380000000,2668000000,3979000000,633000000,None,50526000000,730000000,24380000000,None,None,7472000000,1144000000,64888000000,587000000,5892000000,14231000000,49927000000,1795000000,None,None,None,None,None,566000000,3979000000,None,None,1569000000,None,4314000000,4000000,1795000000,3765000000,5560000000,None,None,None,2668000000,71467000000,14961000000,None,163852000,USD,-2087000000,-13000000,-2125000000,-10000000,1712000000,1997000000,433000000,-151000000,14000000,25000000,153000000,138000000,45000000,66000000,2000000,None,None,-31000000,28000000,None,None,25000000,22.8,25.02
2,2019-12-31,USD,588000000,-314000000,None,396000000,793000000,1494000000,None,None,1072000000,None,-307000000,83000000,710000000,-7000000,-279000000,52000000,647000000,559000000,None,None,None,-422000000,-41000000,None,1494000000,174000000,-59000000,USD,69172000000,1014000000,16911000000,518000000,61819000000,7353000000,None,57085000000,2735000000,4009000000,693000000,1014000000,49793000000,1448000000,57085000000,1000000000,1000000000,43000000,1142000000,63387000000,50015000000,5773000000,13725000000,48214000000,1723000000,8000000,57085000000,None,None,None,566000000,4009000000,None,None,1828000000,None,53999000000,4000000,1723000000,3011000000,4734000000,None,None,None,2735000000,69172000000,15173000000,None,165057000,USD,-260000000,52000000,978000000,-85000000,4177000000,542000000,954000000,12000000,183000000,1871000000,351000000,325000000,45000000,456000000,1920000000,None,None,245000000,211000000,None,None,-91000000,25.78,22.8
3,2019-09-30,USD,581000000,-281000000,-69000000,650000000,1019000000,994000000,None,None,1060000000,None,-273000000,88000000,931000000,-8000000,-41000000,66000000,677000000,567000000,None,None,None,66000000,-5000000,None,994000000,214000000,8000000,USD,70361000000,1014000000,17957000000,141000000,62852000000,14969000000,None,23770000000,None,3892000000,626000000,None,49834000000,1945000000,23770000000,None,None,7509000000,1146000000,65751000000,1123000000,5929000000,14971000000,48835000000,1242000000,4000000,56139000000,None,None,None,566000000,3892000000,None,None,50162000000,None,53445000000,4000000,1242000000,4579000000,5821000000,None,None,None,3002000000,70361000000,16916000000,None,170373000,USD,62000000,7000000,112000000,84000000,-1445000000,20000000,1808000000,-11000000,222000000,258000000,126000000,20000000,50000000,-69000000,-274000000,None,None,-173000000,34000000,None,None,258000000,26.0,25.78
4,2019-06-30,USD,548000000,-294000000,-66000000,614000000,1003000000,994000000,None,None,1052000000,None,-274000000,95000000,908000000,-20000000,-49000000,58000000,684000000,569000000,None,None,None,58000000,-6000000,None,994000000,189000000,9000000,USD,70065000000,1014000000,18102000000,105000000,62466000000,15173000000,None,22947000000,None,3737000000,610000000,None,49669000000,1172000000,22947000000,None,None,7599000000,1133000000,65304000000,1161000000,6019000000,15515000000,48617000000,1236000000,5000000,54332000000,None,None,None,566000000,3737000000,None,None,50070000000,None,53378000000,None,1236000000,6023000000,7259000000,None,None,None,3271000000,70065000000,16687000000,None,176935000,USD,286000000,-30000000,-802000000,3000000,1577000000,542000000,-213000000,-164000000,198000000,2000000,262000000,-95000000,49000000,-193000000,-548000000,None,None,141000000,85000000,None,None,2000000,25.7,26.0
5,2019-03-31,USD,572000000,-289000000,-57000000,629000000,1014000000,995000000,None,None,1056000000,None,-287000000,96000000,918000000,-2000000,-42000000,61000000,675000000,576000000,None,None,None,61000000,-5000000,None,995000000,205000000,8000000,USD,69195000000,1014000000,18268000000,69000000,61607000000,15298000000,None,54535000000,None,3603000000,623000000,None,48634000000,1238000000,54535000000,None,None,7588000000,1125000000,64828000000,1062000000,6008000000,15984000000,47606000000,1228000000,6000000,54535000000,None,None,None,566000000,3603000000,None,None,48772000000,None,51973000000,None,1228000000,5844000000,7072000000,None,None,None,3541000000,69195000000,17222000000,None,182513000,USD,-940000000,-43000000,87000000,-4000000,-709000000,-123000000,435000000,-114000000,213000000,-78000000,-42000000,-71000000,44000000,66000000,4000000,None,None,-186000000,25000000,None,None,-78000000,25.69,25.7
6,2018-12-31,USD,1120000000,2477000000,None,1033000000,-1658000000,-1806000000,None,None,-1742000000,None,2477000000,-214000000,-1444000000,55000000,None,None,None,None,2000000,None,None,64000000,-6000000,None,-1806000000,217000000,9000000,USD,68746000000,1015000000,None,396000000,61168000000,7578000000,None,54101000000,None,3456000000,651000000,1014000000,47745000000,1233000000,54101000000,None,None,-250000000,1124000000,16850000000,48132000000,5997000000,15617000000,None,724000000,4000000,54101000000,None,None,None,566000000,3456000000,None,None,2399000000,None,52670000000,None,724000000,6343000000,7067000000,None,None,None,3806000000,68746000000,16850000000,None,187554000,USD,-1917000000,-31000000,-1967000000,-11000000,2208000000,1713000000,-1685000000,-3000000,226000000,97000000,351000000,-14000000,52000000,-408000000,-683000000,None,None,118000000,39000000,None,None,97000000,24.33,25.69
7,2018-09-30,USD,576000000,-264000000,-38000000,614000000,964000000,923000000,None,None,992000000,None,-264000000,86000000,878000000,None,-28000000,None,None,None,None,None,None,69000000,None,None,923000000,215000000,8000000,USD,66731000000,1015000000,None,None,59178000000,15467192169,None,53785000000,192169,3296000000,None,None,None,1107000000,53785000000,None,None,7553000000,1111000000,62469000000,1088000000,5972000000,15552000000,45810000000,879000000,None,None,None,None,192169,566000000,3296000000,None,None,46858000000,None,50072000000,None,879000000,4514000000,5393000000,None,None,None,4052000000,66731000000,16659000000,None,192169000,USD,-409000000,20000000,-410000000,35000000,-377000000,72000000,2204000000,None,223000000,49000000,387000000,79000000,49000000,276000000,250000000,None,None,16000000,36000000,None,None,49000000,25.09,24.33
8,2018-06-30,USD,543000000,-266000000,-29000000,572000000,923000000,896000000,None,None,952000000,None,-266000000,85000000,838000000,None,-29000000,None,None,None,None,None,None,56000000,None,None,896000000,187000000,10000000,USD,66457000000,1015000000,None,None,58836000000,15557000000,None,53580000000,4231000000,3139000000,None,None,None,1166000000,53580000000,None,None,7621000000,1099000000,62108000000,1138000000,6040000000,15712000000,45230000000,383000000,None,None,None,None,4231000000,566000000,3139000000,None,None,46327000000,None,49579000000,None,383000000,4873000000,5256000000,None,None,None,None,66457000000,16878000000,None,195392000,USD,98000000,81000000,100000000,28000000,1191000000,-265000000,-1282000000,None,197000000,-2000000,163000000,-100000000,49000000,-55000000,-119000000,None,None,-64000000,26000000,None,None,-2000000,25.09,25.09
9,2018-03-31,USD,582000000,-269000000,-20000000,602000000,957000000,914000000,None,None,984000000,None,-269000000,86000000,871000000,None,-27000000,None,None,None,None,None,None,70000000,None,None,914000000,231000000,7000000,USD,66481000000,None,None,None,58837000000,15555000000,None,52963000000,4346000000,2999000000,None,1016000000,None,1187000000,52963000000,None,None,7644000000,1098000000,62077000000,1163000000,6062000000,15807000000,45083000000,383000000,None,None,None,None,4346000000,566000000,2999000000,None,None,46210000000,None,49487000000,None,383000000,5491000000,5874000000,None,None,None,None,66481000000,16994000000,None,197050000,USD,-369000000,4000000,-429000000,-32000000,-10000000,76000000,247000000,None,238000000,-78000000,275000000,48000000,43000000,-49000000,-112000000,None,None,-58000000,28000000,None,None,-78000000,25.36,25.09
