,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-12-31,USD,4645268,56694862,1575233,3070035,-41591447,-46430330,32095437,None,-46180084,None,23024192,None,-52049594,None,None,0,4987730,2867827,None,None,None,None,3001683,None,-46430330,-46430330,None,USD,355153000,8803000,None,6735917,60493000,294660000,None,2394000,4000,-444698000,2881000,None,15064000,75932000,46635000,6450000,6450000,4620000,36424000,292464000,2398000,285857000,200000000,3791000,None,6005000,22660000,None,None,None,None,None,None,None,510000,None,62689000,15328000,None,None,13858000,None,None,None,734734000,None,275932000,None,64000000,USD,49639876,-13643000,49639876,350000,181304,761219,-27713,19722544,-46430330,7223848,-40017838,None,1288147,None,216401000,None,None,8746801,1960124,None,None,None,41.59,
1,2019-09-30,USD,4919549,70187042,1291993,3627556,-68452278,-65366947,51197098,None,-65168020,None,17697951,None,-65267493,None,None,0,1842900,1842898,None,None,None,None,-1743425,None,-65366947,-65366947,None,USD,391628712,8623882,None,4190512,54515724,337112988,None,2282376,4065,-398267178,2762026,None,15769363,68707541,41050594,6362310,6362312,6970210,35282745,329304621,2648101,328489106,251600000,3917134,None,889434,20456435,None,None,None,None,None,None,None,510218,None,62324091,14492168,None,None,13465130,None,None,None,728405890,None,320307540,None,None,USD,None,0,49639876,-51250000,181304,218540780,-27713,19722544,-65366947,6266150,-40017838,None,2477850,None,215821090,None,None,8746801,13281880,None,None,None,32.35,41.59
2,2019-06-30,USD,3420180,44649548,881770,2538410,-42939457,-83273720,29464233,None,-82970900,None,29488860,None,-85878920,None,-138384,None,3228270,None,None,None,None,None,1302595,None,-41636862,-41636862,None,USD,446460503,663667,None,5971200,53130385,393330118,None,9526288,393330118,None,2514473,None,11560263,91602489,45969326,5818440,5818436,393330120,29605082,401797923,2833568,392666451,301600000,2483131,None,141103,27725527,None,None,None,None,None,None,None,44662580,None,44662580,7545661,None,None,7161059,None,None,None,None,None,393202490,None,None,USD,None,0,49639876,None,181304,None,-27713,19722544,-41636862,None,-40017838,None,None,None,None,None,None,8746801,0,None,None,None,34.87,32.35
3,2019-03-31,USD,1710092,44649548,440887,1269205,-42939457,-41636862,29464233,None,-41636862,None,14744429,None,-42939457,None,-138384,None,None,None,None,None,None,None,1302595,None,-41636862,-41636862,None,USD,446460503,663667,None,5971200,53130385,393330118,None,9526288,393330118,None,2514473,None,11560263,91602489,45969326,None,None,None,29605082,401797923,2833568,392666451,301600000,2483131,None,141103,27725527,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,49639876,None,181304,None,-27713,19722544,-41636862,None,-40017838,None,None,None,None,None,None,8746801,0,None,None,None,29.51,34.87
4,2018-12-31,USD,129450,50450595,43590,85860,-50385869,-97584470,42822884,0,-97204360,0,15211830,None,-100771740,0,-19836,None,2812990,None,0,0,0,0,1593635,0,-48792234,-97584470,None,USD,301987150,321570,None,5749260,50905440,251081710,None,2503604,3480,-249626510,2063942,None,832590,26173580,48841490,3642620,None,2661730,20494480,269144400,3149855,250760147,200350000,89710,None,3820,37432035,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,498043010,None,263301610,None,None,USD,None,0,None,None,None,None,None,None,-48792234,None,None,None,None,None,None,None,None,None,0,None,None,None,23.22,29.51
5,2018-09-30,USD,64726,34228112,21795,42931,-34228112,-34227170,29992954,0,-34079350,0,4235160,None,-34228110,0,-138384,None,870610,None,0,0,0,0,942,0,-34227170,-34227170,None,USD,301987149,321566,None,5749260,50905436,251081713,None,2503604,3481,-249626508,2063942,None,8876849,62951607,48841494,None,None,2661729,20494482,269144397,3149855,250760147,200350000,89708,None,3822,37432035,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,-212418730,-202406700,None,142369640,None,None,-75717600,-124702420,-52908130,None,1150540,None,140915990,None,None,None,10012030,None,None,None,19.48,23.22
6,2018-06-30,USD,0,20498172,0,0,-20498172,-20745214,17316128,0,-20745214,0,3182044,None,-20498172,0,-19836,None,None,None,0,0,0,0,-247042,0,-20745214,-20745214,None,USD,210812374,None,None,4690984,11881114,198931260,None,3776643,198931260,None,1622225,None,5439300,127715473,10258889,755675,755675,198931260,19466017,182406457,3500600,198931260,50000000,None,None,None,5726571,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,177715470,None,None,USD,None,0,None,None,None,None,None,None,-20745214,None,None,None,None,None,None,None,None,None,0,None,None,None,23.25,19.48
7,2018-03-31,USD,0,20498172,0,0,-20498172,-20745214,17316128,0,-20745214,0,3182044,None,-20498172,0,-19836,None,None,None,0,0,0,0,-247042,0,-20745214,-20745214,None,USD,210812374,None,None,4690984,11881114,198931260,None,3776643,198931260,None,1622225,None,5439300,127715473,10258889,755675,755675,None,19466017,182406457,3500600,198931260,50000000,None,None,None,5726571,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,None,None,None,None,-20745214,None,None,None,None,None,None,None,None,None,0,None,None,None,21.35,23.25
8,2017-12-31,USD,0,38152819,0,0,-38152819,-37401830,18469000,0,-37401830,0,26080000,None,-38152819,0,-39672,None,None,None,0,0,0,0,750988,0,-37401830,-37401830,None,USD,249634000,20000,None,955000,14463000,235171000,None,3102000,3000,-110551613,2394000,None,7165000,229660000,12069000,None,None,449890,11854000,230614654,1650348,235150871,None,None,None,None,8967000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,345269690,None,229660150,None,None,USD,-1400000,8444000,-10434231,None,None,187859000,-2730299,-2584888,-50384176,145711378,-32367181,None,548127,None,161490494,None,None,9993719,9102000,None,None,None,21.23,21.35
9,2017-09-30,USD,0,25695518,0,0,-25695518,-25192088,-11409406,0,-25192088,0,-20988377,None,-25695518,0,0,None,None,None,0,0,0,0,503431,0,-25192088,-25192088,None,USD,249634228,20089,None,954506,14463268,235170960,None,778955,2995,-110551613,2394124,None,5495373,229660148,12069144,None,None,449890,11853764,230614654,1650348,235150871,None,None,None,None,8967685,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-950000,3255354,-3393344,None,None,79009870,-1252653,-724792,-12982346,68549068,-7345084,None,198675,None,80712523,None,None,2908027,2477393,None,None,None,27.0,21.23
