,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,7698000,None,None,-7705000,-7895000,4932000,None,-7895000,None,2766000,-7000,-7698000,None,190000,0,5000,-185000,None,None,None,None,-12000,None,-7895000,-7895000,None,USD,47712000,None,None,699000,29248000,18464000,None,10498000,6000,-315405000,8000,None,458000,10547000,16546000,725000,3810000,None,30712000,11246000,None,18464000,None,None,6509000,None,11508000,None,None,6000,None,-315405000,None,None,5754000,None,36466000,6525000,None,6517000,6517000,None,None,None,333863000,47712000,10547000,None,57245251,USD,-3323000,-688000,-3323000,None,1235000,3312000,None,-248000,-7895000,-8010000,-7999000,-292000,515000,None,2077000,None,None,361000,3323000,None,None,-8010000,0.856,
1,2020-03-31,USD,0,-8596000,None,None,-8483000,-8689000,-5514000,None,-8689000,None,-3082000,113000,-8596000,None,206000,0,10000,-196000,None,None,None,None,103000,None,-8689000,-8689000,None,USD,55335000,None,None,623000,31365000,23970000,None,5849000,5000,-307510000,10000,None,458000,18557000,20608000,None,4665000,None,30164000,19180000,None,23970000,None,None,5129000,None,14759000,None,None,5000,None,-307510000,None,None,6036000,None,36200000,6802000,5139000,10757000,10757000,None,None,None,331475000,55335000,18557000,None,54361635,USD,-1384000,-259000,-1384000,None,-1102000,22069000,None,10000,-8689000,12241000,-8444000,-275000,415000,None,23171000,None,None,364000,1384000,None,None,12241000,0.562,0.856
2,2019-12-31,USD,0,65648000,5643000,-5643000,-8774000,-8940000,45127000,None,-8940000,None,20521000,-28000,-8746000,None,166000,0,4000,-162000,None,None,None,None,-32000,None,-8940000,-8940000,None,USD,37670000,None,None,497000,28278000,9392000,None,5712000,2000,-298821000,None,None,458000,6316000,16237000,4554000,4554000,None,24636000,6813000,None,9392000,0,None,6095000,None,10525000,None,None,2000,None,-298821000,None,None,6221000,None,30857000,7104000,6110000,12041000,12041000,None,None,None,308211000,37670000,6316000,None,23503214,USD,-821000,1786000,-821000,13924000,580000,8112000,None,-81000,-8940000,-176000,-7467000,-168000,970000,None,7532000,None,None,173000,821000,-1288000,None,-176000,1.52,0.562
3,2019-09-30,USD,0,-9557000,6486000,-6486000,-9582000,-9863000,-6486000,None,-9863000,None,-3071000,-25000,-9557000,None,281000,0,41000,-240000,None,None,None,None,-66000,None,-9863000,-9863000,None,USD,36668000,None,None,779000,26289000,10379000,None,5013000,2000,-289900000,20000,None,476000,6492000,14126000,3917000,3917000,None,22936000,7271000,None,10379000,0,None,5907000,None,9113000,None,None,2000,None,-289900000,None,None,6506000,None,29442000,7332000,5927000,12163000,12163000,None,None,None,300258000,36668000,6492000,None,18230803,USD,-1226000,451000,-1226000,13924000,1424000,2202000,None,-351000,-9863000,-7760000,-8736000,73000,377000,None,19250000,None,None,650000,4726000,None,None,-7760000,1.56,1.52
4,2019-06-30,USD,0,9407000,6640000,-6640000,-8925000,-9360000,6640000,None,-9360000,None,2767000,82000,-9407000,None,35000,0,82000,47000,None,None,None,None,47000,None,-9360000,-9360000,None,USD,45787000,None,None,105000,26780000,19007000,None,4173000,2000,-280018000,25000,None,472000,14252000,15295000,3147000,3147000,None,26584000,18731000,None,19007000,3488000,None,5091000,None,5985000,None,None,2000,None,-280018000,None,None,472000,None,27056000,7395000,5116000,25000,11485000,None,None,None,299023000,45787000,17740000,None,17000000,USD,-773000,-19000,-773000,10424000,1556000,20028000,None,-2593000,-9360000,8110000,-11145000,-503000,400000,None,18472000,None,None,427000,2197000,None,None,8110000,3.27,1.56
5,2019-03-31,USD,0,9487000,6616000,-6616000,-9025000,-9426000,6616000,None,-9426000,None,2871000,102000,-9487000,None,41000,0,39000,39000,None,None,None,None,22000,None,-9426000,-9426000,None,USD,35523000,None,None,163000,25872000,9651000,None,3436000,1000,-270658000,30000,None,476000,6142000,15160000,2451000,2451000,1000,23088000,11959000,None,9651000,4896000,None,4044000,None,3678000,None,None,1000,None,-270658000,None,None,476000,None,23564000,7623000,4074000,30000,10712000,None,None,None,280307000,35523000,11038000,None,12000000,USD,4984000,1637000,4984000,9000000,-513000,-513000,None,581000,-9426000,-2998000,-7469000,-206000,164000,None,None,None,None,362000,4016000,None,None,-2998000,4.77,3.27
6,2018-12-31,USD,0,-10253000,7270000,-7270000,-9740000,-10147000,-7270000,0,-10147000,0,-2472000,385000,-9740000,0,279000,None,None,None,0,-511000,0,0,-407000,0,-10147000,-10147000,None,USD,35780000,None,None,358000,17070000,18710000,1287000,582000,1000,-261232000,1287000,None,504000,9140000,11287000,2331000,None,-5000,11916000,23360000,None,18710000,13862000,None,4478000,None,8956000,None,None,1000,None,-261232000,None,None,504000,None,12420000,18000,18000,4478000,5783000,None,None,None,279946000,35780000,23002000,None,11973039,USD,3707000,-457000,2314000,15000,6536000,1616000,-351000,1661000,-10147000,-2822000,-6752000,589000,858000,None,45604000,None,None,784000,1408000,1621000,None,-2822000,2.12,4.77
7,2018-09-30,USD,0,-8252000,5899000,-5899000,-8243000,-8169000,-5899000,0,-8169000,0,-2353000,9000,-8252000,0,-74000,None,None,None,0,0,0,0,83000,0,-8169000,-8169000,None,USD,38855000,0,None,1069000,10355000,28500000,1428000,1336000,1000,-251085000,1428000,0,690000,11962000,5662000,1336000,1336000,None,7620000,30545000,None,28500000,17514000,None,3265000,0,4326000,0,0,1000,0,-251085000,0,None,690000,None,8310000,None,None,3265000,4693000,None,None,None,279584000,38855000,29476000,None,11973039,USD,4030000,-39000,2054000,100000,-3233000,1688000,4920000,671000,-8169000,-4235000,-7977000,-277000,-348000,0,1000,0,55000,857000,1976000,-1000,None,-4235000,4.09,2.12
8,2018-06-30,USD,0,-8805000,6533000,-6533000,-8803000,-8836000,-6533000,0,-8836000,0,-2272000,2000,-8805000,0,33000,None,None,None,0,0,0,0,-31000,0,-8836000,-8836000,None,USD,45226000,0,None,869000,9146000,36080000,918000,62000,1000,-242916000,918000,0,587000,16197000,8228000,3600000,3600000,None,6132000,38507000,None,36080000,21441000,None,0,0,4566000,0,0,1000,0,-242916000,0,None,587000,None,6719000,None,None,None,918000,None,None,None,278995000,45226000,37638000,None,11973039,USD,-21475000,-1150000,-23130000,100000,-1556000,44047000,-351000,79000,-8836000,12660000,-8257000,950000,192000,0,45603000,0,56000,531000,1655000,56000,None,12660000,4.08,4.09
9,2018-03-31,USD,0,-8066000,5806000,-5806000,-8065000,-8206000,-5806000,0,-8206000,0,-2260000,1000,-8066000,0,141000,None,None,None,0,0,0,0,-140000,0,-8206000,-8206000,None,USD,10372000,0,None,1970000,11391000,-1019000,716000,3094000,0,-234080000,716000,0,455000,3537000,10675000,5160000,5160000,None,4410000,5507000,None,-1019000,0,None,0,0,5515000,0,0,0,0,-234080000,0,None,455000,None,4865000,None,None,None,716000,None,None,None,233061000,10372000,3537000,None,1973039,USD,-21475000,1744000,-451000,200000,-1527000,-1527000,-351000,473000,-8206000,-8114000,-6136000,-362000,235000,0,0,0,0,453000,451000,None,None,-8114000,5.04,4.08
