,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,19263000,15178000,4061000,15202000,4370000,3017000,None,None,4080000,-89000,11117000,None,4085000,None,5000,1063000,None,-5000,None,None,None,1063000,None,None,3017000,3017000,None,USD,36759000,None,None,None,9802000,27046000,None,None,34000,20310000,None,None,685000,16916000,6020000,None,None,None,6241000,29833000,None,27046000,None,7264000,None,4707000,2201000,None,None,None,None,None,None,None,None,None,6926000,5531000,None,None,3782000,None,None,None,None,None,None,None,None,USD,-357000,27000,-357000,None,-16000,37000,None,323000,3017000,2331000,2651000,None,285000,0,0,-907000,-715000,621000,357000,None,None,None,24.87,
1,2020-03-31,USD,15228000,12770000,3401000,11827000,2710000,2937000,None,None,2454000,-89000,9369000,None,2458000,None,None,-483000,-4000,-4000,None,None,None,-483000,None,None,2937000,2937000,None,USD,33222000,None,None,None,9914000,23397000,None,None,34000,17293000,None,None,1260000,14585000,5834000,None,None,None,6264000,25698000,None,23397000,None,6549000,None,3429000,2292000,None,None,None,None,None,-3846000,None,7524000,None,7524000,5811000,126000,None,4080000,None,None,None,9916000,None,14585000,None,34000000,USD,-297000,162000,-297000,None,-11000,210000,None,-765000,2937000,545000,632000,None,252000,0,0,-1501000,-716000,263000,297000,None,None,None,11.07,24.87
2,2019-12-31,USD,14162000,10431000,2821000,11341000,4611000,2947000,None,None,3725000,-89000,7610000,None,3731000,None,6000,778000,-6000,-6000,None,None,None,778000,0,None,2947000,2947000,None,USD,28277000,None,None,None,8624000,19742000,None,60000,34000,14356000,None,None,842000,14040000,5197000,None,None,None,4869000,22566000,None,19742000,None,5833000,None,2378000,2133000,None,None,None,None,None,-3846000,None,5711000,None,5711000,4683000,145000,None,3427000,None,None,None,9198000,None,14040000,None,34000000,USD,-28000,785000,-28000,None,-15000,36000,None,313000,2947000,2106000,2098000,None,378000,0,0,-2360000,-3042000,3077000,28000,None,None,None,7.87,11.07
3,2019-09-30,USD,11817000,9322000,2261000,9556000,2495000,2033000,None,None,2496000,-89000,7061000,None,2495000,None,-6000,463000,1000,1000,None,None,None,463000,1000,None,2033000,2033000,None,USD,24724000,None,None,None,8332000,16481000,None,140000,34000,11409000,None,None,1033000,11934000,4519000,None,None,None,5053000,18638000,None,16481000,None,4254000,None,2129000,1945000,None,None,None,None,None,-3846000,None,6086000,None,6086000,4903000,154000,None,3813000,None,None,None,8884000,None,11934000,None,34000000,USD,9000,0,9000,None,-15000,30000,None,313000,2033000,1880000,1841000,None,200000,-3000,0,-2360000,-3042000,-392000,9000,None,None,None,9.51,7.87
4,2019-06-30,USD,10297000,7713000,1948000,8349000,2584000,2162000,None,None,2584000,-89000,5765000,None,2584000,None,0,422000,None,0,None,None,None,422000,None,None,2162000,2162000,None,USD,21839000,None,None,None,7772000,14156000,None,11000,34000,9376000,None,None,933000,10054000,3828000,None,None,None,5154000,15752000,None,14156000,None,3540000,None,1325000,1829000,None,None,None,None,None,-3846000,None,6087000,None,6087000,4923000,4000,None,3944000,None,None,None,8592000,None,10054000,None,34000000,USD,-95000,0,-95000,None,-15000,130000,None,313000,2162000,635000,600000,None,100000,0,0,-2360000,-3042000,-1662000,95000,None,None,None,8.99,9.51
5,2019-03-31,USD,9196000,6940000,1784000,7412000,3136000,2350000,None,None,3136000,-89000,5156000,None,2256000,None,0,786000,None,0,None,None,None,786000,880000,None,2350000,2350000,None,USD,18865000,None,None,None,7247000,11707000,None,689000,34000,7214000,None,None,886000,9419000,4453000,689000,689000,None,3707000,14272000,None,11707000,None,3147000,2787000,968000,1561000,None,None,None,None,None,-3846000,None,2900000,None,4593000,3497000,7000,2787000,2794000,None,None,None,8305000,None,9419000,None,34000000,USD,-46000,0,-46000,None,-4000,-2427000,None,313000,2350000,-709000,1764000,None,100000,-2259000,-171000,-2360000,-3042000,-686000,46000,None,None,None,4.5,8.99
6,2018-12-31,USD,9337000,6457000,1831000,7506000,2880000,2622000,None,None,2879000,-89000,4626000,None,2880000,None,-1000,None,None,None,None,None,None,257000,-1000,None,2622000,2622000,None,USD,16184000,None,None,None,6886000,9387000,None,3895000,34000,4871000,531000,None,1039000,10128000,6355000,None,None,None,819000,14326000,None,9387000,None,2791000,None,837000,1552000,None,None,None,None,None,-3675000,None,None,None,None,None,10000,None,None,None,None,None,8157000,None,10128000,None,34000000,USD,None,-569000,-191000,None,-33000,-418000,None,428000,2622000,2032000,2641000,None,348000,-2259000,None,-414000,-606000,125000,191000,None,None,None,2.94,4.5
7,2018-09-30,USD,8131000,5311000,1641000,6490000,2820000,2591000,None,None,2819000,-89000,3670000,None,2820000,None,-1000,None,None,None,None,None,None,228000,-1000,None,2591000,2591000,None,USD,13297000,None,None,364000,4144000,9242000,None,880000,34000,4519000,622000,None,314000,8096000,3522000,None,None,None,829000,12154000,None,9242000,None,2898000,None,796000,1842000,None,None,None,None,None,-3289000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34000000,USD,None,0,-230000,None,-30000,-1086000,None,428000,2591000,1811000,3127000,None,348000,-2259000,None,-414000,-606000,536000,230000,None,None,None,2.98,2.94
8,2018-06-30,USD,7573000,4858000,1330000,6243000,2715000,2418000,None,None,2678000,-89000,3528000,None,2715000,None,-37000,None,None,None,None,None,None,260000,-37000,None,2418000,2418000,None,USD,11393000,None,None,579000,3851000,7631000,None,880000,33000,1928000,584000,None,370000,6285000,3267000,64000,64000,None,778000,10245000,None,7631000,None,2863000,None,518000,1631000,None,None,None,None,None,-2211000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34000000,USD,None,0,-501000,None,-83000,-227000,None,428000,2418000,1919000,2647000,None,74000,-2259000,67000,-414000,-606000,155000,501000,None,None,None,3.1,2.98
9,2018-03-31,USD,6876000,4921000,1236000,5640000,1955000,1921000,None,None,1840000,-89000,3685000,None,1955000,None,-115000,None,None,None,None,None,None,-81000,-115000,None,1921000,1921000,None,USD,9309000,None,None,615000,4094000,5304000,329000,880000,33000,-490000,341000,None,375000,4366000,3753000,7000,7000,None,575000,8359000,None,5304000,None,2668000,None,710000,2112000,None,None,None,None,None,-2000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34000000,USD,None,0,-160000,None,-361000,-2032000,None,428000,1921000,-1199000,993000,None,26000,None,86000,-414000,-606000,-954000,160000,None,None,None,3.39,3.1
10,2017-12-31,USD,8134000,4543000,1530000,6604000,3591000,3307000,100000,None,3347000,-89000,3013000,None,3591000,None,244000,None,None,None,None,None,None,40000,-244000,None,3307000,3307000,None,USD,8929000,None,None,198000,4027000,4991000,None,1418000,33000,-2411000,12000,None,370000,5565000,4015000,231000,231000,None,188000,8371000,None,4991000,None,2185000,None,423000,2243000,None,None,None,None,None,-243000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33000000,USD,None,-1216000,62000,None,-410000,-593000,None,-473000,3307000,2991000,8260000,None,52000,None,86000,-316000,843000,780000,87000,None,None,None,3.18,3.39
11,2017-09-30,USD,6820000,3885000,1235000,5473000,2935000,2201000,None,None,2245000,-89000,2538000,None,2936000,None,691000,None,None,None,None,None,None,44000,-691000,None,2200000,2201000,None,USD,5984000,8000,None,211000,4434000,1639000,None,1785000,33000,-5718000,12000,None,94000,2574000,4388000,393000,393000,None,338000,5552000,None,1631000,None,2409000,34000,358000,2092000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34000000,USD,None,0,-104000,45000,-310000,-310000,None,-473000,2201000,2434000,4738000,None,200000,None,86000,-316000,843000,447000,149000,None,None,None,1.85,3.18
12,2017-06-30,USD,5042000,3108000,953000,4022000,1934000,1504000,None,None,1540000,-89000,2088000,None,1934000,None,394000,None,None,None,None,None,None,36000,-394000,None,1504000,1504000,None,USD,3521000,21000,None,125000,5175000,-1565000,None,1539000,32000,-7919000,478000,None,76000,140000,4624000,711000,711000,None,497000,2948000,None,-1586000,None,2505000,73000,178000,2447000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33000000,USD,57000,0,12000,-45000,-2201000,-2201000,None,None,1504000,-322000,1890000,None,-20000,None,86000,None,None,383000,57000,None,None,None,0.6,1.85
